Jaz Data File
++++++++++++++++++++++++++++++++++++
Date: Wed Feb 07 06:39:38 2024
User: jaz
Dark Spectrum Present: Yes
Reference Spectrum Present: Yes
Processed Spectrum Present: Yes
Spectrometers: JAZA3692
Integration Time (usec): 43100 (JAZA3692)
Spectra Averaged: 1 (JAZA3692)
Boxcar Smoothing: 0 (JAZA3692)
Correct for Electrical Dark: No (JAZA3692)
Strobe/Lamp Enabled: Yes (JAZA3692)
Correct for Detector Non-linearity: No (JAZA3692)
Correct for Stray Light: No (JAZA3692)
Number of Pixels in Processed Spectrum: 2048
>>>>>Begin Processed Spectral Data<<<<<
W	D	R	S	P
190.244385	0.000000	0.000000	0.000000	0.000000
190.627136	0.000000	0.000000	0.000000	0.000000
191.009842	1165.066650	1165.066650	1176.444214	0.000000
191.392532	1169.617676	1219.679199	1149.138062	-40.908890
191.775177	1231.056763	1215.128052	1221.954712	57.142418
192.157791	1199.199463	1258.363037	1146.862427	-88.461586
192.540390	1246.985352	1210.577026	1265.189575	-50.000168
192.922943	1276.567139	1251.536499	1192.372925	336.364624
193.305481	1253.812012	1281.118164	1292.495850	141.667114
193.687958	1221.954712	1217.403687	1212.852539	200.002686
194.070419	1253.812012	1246.985352	1171.893188	1199.983887
194.452866	1301.597900	1285.669312	1283.393677	114.286484
194.835251	1262.914063	1274.291626	1199.199463	-560.002136
195.217621	1196.923950	1231.056763	1203.750488	19.999928
195.599960	1256.087524	1228.781250	1237.883301	66.666817
195.982254	1272.016113	1228.781250	1260.638550	26.315716
196.364517	1299.322388	1274.291626	1199.199463	399.999512
196.746750	1242.434326	1201.474976	1224.230225	44.444313
197.128952	1246.985352	1224.230225	1221.954712	110.000000
197.511139	1312.975464	1221.954712	1328.904175	-17.500088
197.893280	1256.087524	1290.220337	1206.026001	-146.666855
198.275391	1160.515625	1274.291626	1187.821899	24.000031
198.657471	1224.230225	1224.230225	1240.158813	0.000000
199.039520	1199.199463	1201.474976	1226.505737	1200.005371
199.421539	1285.669312	1265.189575	1199.199463	422.221497
199.803513	1358.485962	1306.148926	1215.128052	273.912933
200.185471	1301.597900	1338.006226	1249.260864	-143.750183
200.567383	1165.066650	1278.842651	1319.802124	136.000092
200.949265	1240.158813	1335.730713	1240.158813	0.000000
201.331131	1212.852539	1299.322388	1206.026001	-7.894703
201.712967	1294.771362	1319.802124	1194.648438	-399.999512
202.094742	1283.393677	1278.842651	1203.750488	1750.005371
202.476517	1253.812012	1324.353149	1162.791138	-129.032333
202.858231	1358.485962	1237.883301	1235.607788	101.886787
203.239944	1267.465088	1253.812012	1237.883301	216.667557
203.621582	1301.597900	1262.914063	1260.638550	105.882332
204.003235	1260.638550	1233.332275	1267.465088	-24.999887
204.384827	1201.474976	1242.434326	1265.189575	155.555695
204.766388	1249.260864	1315.250977	1190.097412	-89.655029
205.147934	1253.812012	1315.250977	1160.515625	-151.852142
205.529449	1253.812012	1269.740601	1174.168701	-500.002289
205.910904	1237.883301	1219.679199	1210.577026	150.000671
206.292343	1242.434326	1217.403687	1246.985352	-18.181818
206.673767	1215.128052	1233.332275	1260.638550	249.999664
207.055115	1235.607788	1208.301514	1217.403687	66.666367
207.436462	1180.995239	1215.128052	1244.709839	186.666718
207.817780	1297.046875	1262.914063	1201.474976	280.000061
208.199051	1160.515625	1283.393677	1287.944824	103.703789
208.580307	1235.607788	1274.291626	1190.097412	-117.647003
208.961517	1233.332275	1272.016113	1226.505737	-17.647003
209.342712	1171.893188	1242.434326	1190.097412	25.806536
209.723846	1165.066650	1308.424438	1253.812012	61.904808
210.104965	1196.923950	1240.158813	1206.026001	21.052572
210.486069	1231.056763	1256.087524	1258.363037	109.090866
210.867111	1253.812012	1344.832764	1219.679199	-37.500034
211.248123	1201.474976	1315.250977	1174.168701	-24.000031
211.629120	1210.577026	1244.709839	1233.332275	66.666786
212.010071	1237.883301	1322.077637	1203.750488	-40.540508
212.390991	1297.046875	1249.260864	1265.189575	66.666580
212.771881	1242.434326	1301.597900	1174.168701	-115.384552
213.152756	1299.322388	1235.607788	1208.301514	142.857178
213.533569	1292.495850	1294.771362	1174.168701	-5200.021484
213.914368	1203.750488	1369.863525	1206.026001	1.369858
214.295135	1158.240112	1274.291626	1192.372925	29.411777
214.675858	1256.087524	1237.883301	1233.332275	124.999832
215.056549	1233.332275	1310.699951	1194.648438	-50.000000
215.437225	1237.883301	1258.363037	1194.648438	-211.110443
215.817841	1217.403687	1251.536499	1290.220337	213.333282
216.198441	1190.097412	1235.607788	1226.505737	80.000053
216.579025	1196.923950	1258.363037	1185.546387	-18.518444
216.959549	1199.199463	1338.006226	1142.311401	-40.983639
217.340057	1242.434326	1219.679199	1265.189575	-100.000534
217.720535	1224.230225	1169.617676	1210.577026	25.000113
218.100967	1199.199463	1290.220337	1215.128052	17.499929
218.481369	1183.270874	1258.363037	1174.168701	-12.121335
218.861740	1251.536499	1210.577026	1217.403687	83.333138
219.242065	1244.709839	1276.567139	1201.474976	-135.714142
219.622391	1253.812012	1237.883301	1160.515625	585.712097
220.002670	1237.883301	1281.118164	1221.954712	-36.842003
220.382919	1228.781250	1240.158813	1272.016113	380.001068
220.763123	1249.260864	1290.220337	1240.158813	-22.222090
221.143295	1281.118164	1292.495850	1228.781250	-459.996124
221.523453	1242.434326	1290.220337	1233.332275	-19.047522
221.903549	1226.505737	1290.220337	1251.536499	39.285755
222.283630	1242.434326	1338.006226	1194.648438	-49.999935
222.663696	1246.985352	1224.230225	1194.648438	230.000534
223.043701	1219.679199	1281.118164	1267.465088	77.777824
223.423676	1192.372925	1272.016113	1144.586914	-60.000122
223.803635	1219.679199	1215.128052	1158.240112	1349.969116
224.183548	1194.648438	1331.179688	1199.199463	3.333321
224.563431	1201.474976	1281.118164	1165.066650	-45.714298
224.943283	1246.985352	1244.709839	1240.158813	300.000000
225.323105	1192.372925	1340.281738	1142.311401	-33.846207
225.702881	1267.465088	1308.424438	1269.740601	5.555539
226.082642	1196.923950	1328.904175	1201.474976	3.448263
226.462357	1251.536499	1342.557251	1215.128052	-40.000160
226.842041	1221.954712	1301.597900	1199.199463	-28.571495
227.221695	1281.118164	1333.455200	1322.077637	78.260971
227.601318	1212.852539	1317.526489	1206.026001	-6.521716
227.980911	1196.923950	1385.792114	1237.883301	21.686741
228.360474	1215.128052	1376.690063	1246.985352	19.718311
228.739990	1196.923950	1365.312500	1226.505737	17.567575
229.119476	1221.954712	1456.333252	1290.220337	29.126226
229.498932	1246.985352	1467.710938	1208.301514	-17.525761
229.878372	1228.781250	1481.364014	1178.719727	-19.819849
230.257736	1242.434326	1554.180664	1215.128052	-8.759132
230.637115	1192.372925	1542.803101	1228.781250	10.389609
231.016449	1240.158813	1588.313477	1231.056763	-2.614370
231.395737	1278.842651	1549.629639	1187.821899	-33.613415
231.774994	1206.026001	1467.710938	1210.577026	1.739124
232.154221	1219.679199	1424.476074	1210.577026	-4.444488
232.533417	1203.750488	1460.884399	1221.954712	7.079667
232.912582	1237.883301	1495.017212	1196.923950	-15.929191
233.291702	1240.158813	1513.221313	1215.128052	-9.166678
233.670792	1215.128052	1372.139038	1272.016113	36.231899
234.049866	1237.883301	1408.547363	1212.852539	-14.666686
234.428894	1276.567139	1444.955688	1237.883301	-22.972961
234.807892	1206.026001	1435.853638	1221.954712	6.930720
235.186874	1251.536499	1372.139038	1219.679199	-26.415115
235.565781	1194.648438	1433.578125	1253.812012	24.761919
235.944687	1192.372925	1435.853638	1240.158813	19.626150
236.323547	1201.474976	1449.506714	1196.923950	-1.834856
236.702377	1208.301514	1563.282837	1244.709839	10.256406
237.081177	1180.995239	1501.843750	1246.985352	20.567373
237.459946	1322.077637	1474.537476	1285.669312	-23.880600
237.838669	1260.638550	1492.741699	1260.638550	0.000000
238.217361	1260.638550	1472.261963	1149.138062	-52.688164
238.596039	1219.679199	1458.608887	1206.026001	-5.714316
238.974670	1251.536499	1510.945801	1176.444214	-28.947414
239.353271	1244.709839	1504.119263	1151.413574	-35.964870
239.731842	1199.199463	1447.231201	1190.097412	-3.669712
240.110367	1256.087524	1545.078613	1224.230225	-11.023627
240.488876	1228.781250	1522.323364	1206.026001	-7.751954
240.867340	1219.679199	1595.140137	1233.332275	3.636351
241.245789	1253.812012	1586.037964	1242.434326	-3.424683
241.624176	1208.301514	1711.191650	1242.434326	6.787330
242.002548	1294.771362	1649.752563	1276.567139	-5.128222
242.380890	1292.495850	1822.692139	1185.546387	-20.171673
242.759186	1192.372925	1843.171875	1262.914063	10.839160
243.137451	1251.536499	1934.192627	1297.046875	6.666662
243.515686	1253.812012	2088.927979	1276.567139	2.724787
243.893890	1185.546387	2043.417725	1274.291626	10.344819
244.272049	1267.465088	2148.091553	1251.536499	-1.808779
244.650192	1237.883301	2075.274902	1194.648438	-5.163040
245.028290	1221.954712	1895.508789	1242.434326	3.040530
245.406357	1203.750488	1847.722900	1242.434326	6.007064
245.784393	1199.199463	1804.488037	1215.128052	2.631569
246.162384	1251.536499	1843.171875	1272.016113	3.461526
246.540359	1242.434326	1925.090576	1203.750488	-5.666664
246.918289	1240.158813	2002.458252	1167.342163	-9.552238
247.296204	1251.536499	2186.775391	1244.709839	-0.729938
247.674057	1215.128052	2464.388916	1312.975464	7.832424
248.051895	1237.883301	2691.941162	1326.628662	6.103290
248.429703	1233.332275	2767.033203	1272.016113	2.522254
248.807465	1285.669312	2839.849854	1322.077637	2.342606
249.185196	1278.842651	2546.307861	1349.383789	5.565528
249.562897	1240.158813	2373.368164	1260.638550	1.807233
249.940567	1180.995239	2311.929199	1333.455200	13.480890
250.318192	1174.168701	2102.581299	1281.118164	11.519605
250.695801	1210.577026	2088.927979	1276.567139	7.512955
251.073349	1185.546387	1945.570313	1338.006226	20.059874
251.450882	1235.607788	1927.366089	1281.118164	6.578942
251.828400	1281.118164	1879.580200	1276.567139	-0.760453
252.205872	1251.536499	1931.917114	1253.812012	0.334447
252.583313	1235.607788	2025.213501	1249.260864	1.729100
252.960693	1185.546387	2091.203613	1244.709839	6.532654
253.338074	1278.842651	2291.449463	1237.883301	-4.044941
253.715408	1260.638550	2239.112549	1299.322388	3.953486
254.092682	1240.158813	2047.968750	1256.087524	1.971839
254.469955	1142.311401	1890.957764	1246.985352	13.981762
254.847198	1217.403687	1936.468262	1160.515625	-7.911398
255.224365	1215.128052	1913.713013	1292.495850	11.074930
