Jaz Data File
++++++++++++++++++++++++++++++++++++
Date: Wed Feb 07 06:40:20 2024
User: jaz
Dark Spectrum Present: Yes
Reference Spectrum Present: Yes
Processed Spectrum Present: Yes
Spectrometers: JAZA3692
Integration Time (usec): 43100 (JAZA3692)
Spectra Averaged: 1 (JAZA3692)
Boxcar Smoothing: 0 (JAZA3692)
Correct for Electrical Dark: No (JAZA3692)
Strobe/Lamp Enabled: Yes (JAZA3692)
Correct for Detector Non-linearity: No (JAZA3692)
Correct for Stray Light: No (JAZA3692)
Number of Pixels in Processed Spectrum: 2048
>>>>>Begin Processed Spectral Data<<<<<
W	D	R	S	P
190.244385	0.000000	0.000000	0.000000	0.000000
190.627136	0.000000	0.000000	0.000000	0.000000
191.009842	1165.066650	1165.066650	1169.617676	0.000000
191.392532	1169.617676	1219.679199	1158.240112	-22.727161
191.775177	1231.056763	1215.128052	1224.230225	42.856815
192.157791	1199.199463	1258.363037	1158.240112	-69.230690
192.540390	1246.985352	1210.577026	1272.016113	-68.750107
192.922943	1276.567139	1251.536499	1146.862427	518.183777
193.305481	1253.812012	1281.118164	1119.556274	-491.668457
193.687958	1221.954712	1217.403687	1158.240112	1400.005371
194.070419	1253.812012	1246.985352	1217.403687	533.325562
194.452866	1301.597900	1285.669312	1124.107300	1114.289551
194.835251	1262.914063	1274.291626	1260.638550	-20.000000
195.217621	1196.923950	1231.056763	1196.923950	0.000000
195.599960	1256.087524	1228.781250	1174.168701	300.000000
195.982254	1272.016113	1228.781250	1256.087524	36.842003
196.364517	1299.322388	1274.291626	1219.679199	318.181244
196.746750	1242.434326	1201.474976	1221.954712	49.999851
197.128952	1246.985352	1224.230225	1185.546387	270.000549
197.511139	1312.975464	1221.954712	1178.719727	147.500137
197.893280	1256.087524	1290.220337	1178.719727	-226.666931
198.275391	1160.515625	1274.291626	1128.658325	-28.000017
198.657471	1224.230225	1224.230225	1219.679199	0.000000
199.039520	1199.199463	1201.474976	1155.964600	-1900.005371
199.421539	1285.669312	1265.189575	1212.852539	355.555237
199.803513	1358.485962	1306.148926	1246.985352	213.043411
200.185471	1301.597900	1338.006226	1206.026001	-262.500122
200.567383	1165.066650	1278.842651	1217.403687	46.000065
200.949265	1240.158813	1335.730713	1201.474976	-40.476162
201.331131	1212.852539	1299.322388	1190.097412	-26.315678
201.712967	1294.771362	1319.802124	1169.617676	-499.999512
202.094742	1283.393677	1278.842651	1231.056763	1150.002686
202.476517	1253.812012	1324.353149	1178.719727	-106.451767
202.858231	1358.485962	1237.883301	1174.168701	152.830170
203.239944	1267.465088	1253.812012	1231.056763	266.667572
203.621582	1301.597900	1262.914063	1265.189575	94.117668
204.003235	1260.638550	1233.332275	1260.638550	-0.000000
204.384827	1201.474976	1242.434326	1178.719727	-55.555687
204.766388	1249.260864	1315.250977	1155.964600	-141.379150
205.147934	1253.812012	1315.250977	1140.035889	-185.185608
205.529449	1253.812012	1269.740601	1274.291626	128.571426
205.910904	1237.883301	1219.679199	1217.403687	112.500000
206.292343	1242.434326	1217.403687	1217.403687	100.000000
206.673767	1215.128052	1233.332275	1240.158813	137.499756
207.055115	1235.607788	1208.301514	1153.689087	299.999542
207.436462	1180.995239	1215.128052	1208.301514	80.000069
207.817780	1297.046875	1262.914063	1155.964600	413.333282
208.199051	1160.515625	1283.393677	1167.342163	5.555539
208.580307	1235.607788	1274.291626	1128.658325	-276.470673
208.961517	1233.332275	1272.016113	1137.760376	-247.058990
209.342712	1171.893188	1242.434326	1176.444214	6.451591
209.723846	1165.066650	1308.424438	1240.158813	52.380943
210.104965	1196.923950	1240.158813	1196.923950	0.000000
210.486069	1231.056763	1256.087524	1212.852539	-72.727409
210.867111	1253.812012	1344.832764	1133.209351	-132.500183
211.248123	1201.474976	1315.250977	1133.209351	-60.000023
211.629120	1210.577026	1244.709839	1174.168701	-106.666641
212.010071	1237.883301	1322.077637	1226.505737	-13.513454
212.390991	1297.046875	1249.260864	1165.066650	276.190094
212.771881	1242.434326	1301.597900	1137.760376	-176.922958
213.152756	1299.322388	1235.607788	1224.230225	117.857071
213.533569	1292.495850	1294.771362	1199.199463	-4100.016113
213.914368	1203.750488	1369.863525	1203.750488	0.000000
214.295135	1158.240112	1274.291626	1249.260864	78.431335
214.675858	1256.087524	1237.883301	1237.883301	100.000000
215.056549	1233.332275	1310.699951	1228.781250	-5.882334
215.437225	1237.883301	1258.363037	1265.189575	133.333130
215.817841	1217.403687	1251.536499	1167.342163	-146.666855
216.198441	1190.097412	1235.607788	1165.066650	-55.000122
216.579025	1196.923950	1258.363037	1217.403687	33.333401
216.959549	1199.199463	1338.006226	1178.719727	-14.754134
217.340057	1242.434326	1219.679199	1272.016113	-130.000534
217.720535	1224.230225	1169.617676	1183.270874	74.999886
218.100967	1199.199463	1290.220337	1140.035889	-65.000008
218.481369	1183.270874	1258.363037	1203.750488	27.272638
218.861740	1251.536499	1210.577026	1233.332275	44.444477
219.242065	1244.709839	1276.567139	1174.168701	-221.428482
219.622391	1253.812012	1237.883301	1176.444214	485.712860
220.002670	1237.883301	1281.118164	1196.923950	-94.736855
220.382919	1228.781250	1240.158813	1192.372925	-320.001068
220.763123	1249.260864	1290.220337	1206.026001	-105.555222
221.143295	1281.118164	1292.495850	1183.270874	-859.992920
221.523453	1242.434326	1290.220337	1155.964600	-180.951965
221.903549	1226.505737	1290.220337	1180.995239	-71.428680
222.283630	1242.434326	1338.006226	1208.301514	-35.714275
222.663696	1246.985352	1224.230225	1190.097412	250.000534
223.043701	1219.679199	1281.118164	1174.168701	-74.074326
223.423676	1192.372925	1272.016113	1135.484863	-71.428658
223.803635	1219.679199	1215.128052	1194.648438	549.987915
224.183548	1194.648438	1331.179688	1199.199463	3.333321
224.563431	1201.474976	1281.118164	1178.719727	-28.571495
224.943283	1246.985352	1244.709839	1219.679199	1200.000000
225.323105	1192.372925	1340.281738	1151.413574	-27.692299
225.702881	1267.465088	1308.424438	1183.270874	-205.555542
226.082642	1196.923950	1328.904175	1201.474976	3.448263
226.462357	1251.536499	1342.557251	1178.719727	-80.000191
226.842041	1221.954712	1301.597900	1201.474976	-25.714359
227.221695	1281.118164	1333.455200	1190.097412	-173.912704
227.601318	1212.852539	1317.526489	1206.026001	-6.521716
227.980911	1196.923950	1385.792114	1212.852539	8.433707
228.360474	1215.128052	1376.690063	1149.138062	-40.844990
228.739990	1196.923950	1365.312500	1146.862427	-29.729767
229.119476	1221.954712	1456.333252	1246.985352	10.679578
229.498932	1246.985352	1467.710938	1249.260864	1.030924
229.878372	1228.781250	1481.364014	1178.719727	-19.819849
230.257736	1242.434326	1554.180664	1137.760376	-33.576641
230.637115	1192.372925	1542.803101	1196.923950	1.298697
231.016449	1240.158813	1588.313477	1237.883301	-0.653592
231.395737	1278.842651	1549.629639	1151.413574	-47.058788
231.774994	1206.026001	1467.710938	1244.709839	14.782600
232.154221	1219.679199	1424.476074	1201.474976	-8.888917
232.533417	1203.750488	1460.884399	1187.821899	-6.194667
232.912582	1237.883301	1495.017212	1203.750488	-13.274333
233.291702	1240.158813	1513.221313	1237.883301	-0.833330
233.670792	1215.128052	1372.139038	1146.862427	-43.478249
234.049866	1237.883301	1408.547363	1224.230225	-7.999971
234.428894	1276.567139	1444.955688	1203.750488	-43.243233
234.807892	1206.026001	1435.853638	1158.240112	-20.792055
235.186874	1251.536499	1372.139038	1210.577026	-33.962364
235.565781	1194.648438	1433.578125	1180.995239	-5.714316
235.944687	1192.372925	1435.853638	1210.577026	7.476609
236.323547	1201.474976	1449.506714	1206.026001	1.834856
236.702377	1208.301514	1563.282837	1242.434326	9.615382
237.081177	1180.995239	1501.843750	1192.372925	3.546124
237.459946	1322.077637	1474.537476	1244.709839	-50.746346
237.838669	1260.638550	1492.741699	1160.515625	-43.137253
238.217361	1260.638550	1472.261963	1162.791138	-46.236572
238.596039	1219.679199	1458.608887	1190.097412	-12.380960
238.974670	1251.536499	1510.945801	1228.781250	-8.771948
239.353271	1244.709839	1504.119263	1235.607788	-3.508759
239.731842	1199.199463	1447.231201	1169.617676	-11.926614
240.110367	1256.087524	1545.078613	1256.087524	0.000000
240.488876	1228.781250	1522.323364	1133.209351	-32.558155
240.867340	1219.679199	1595.140137	1162.791138	-15.151526
241.245789	1253.812012	1586.037964	1253.812012	0.000000
241.624176	1208.301514	1711.191650	1180.995239	-5.429869
242.002548	1294.771362	1649.752563	1192.372925	-28.846157
242.380890	1292.495850	1822.692139	1219.679199	-13.733904
242.759186	1192.372925	1843.171875	1194.648438	0.349649
243.137451	1251.536499	1934.192627	1174.168701	-11.333348
243.515686	1253.812012	2088.927979	1196.923950	-6.811996
243.893890	1185.546387	2043.417725	1192.372925	0.795753
244.272049	1267.465088	2148.091553	1237.883301	-3.359175
244.650192	1237.883301	2075.274902	1208.301514	-3.532611
245.028290	1221.954712	1895.508789	1237.883301	2.364857
245.406357	1203.750488	1847.722900	1221.954712	2.826864
245.784393	1199.199463	1804.488037	1221.954712	3.759405
246.162384	1251.536499	1843.171875	1287.944824	6.153845
246.540359	1242.434326	1925.090576	1237.883301	-0.666664
246.918289	1240.158813	2002.458252	1165.066650	-9.850743
247.296204	1251.536499	2186.775391	1267.465088	1.703157
247.674057	1215.128052	2464.388916	1299.322388	6.739532
248.051895	1237.883301	2691.941162	1385.792114	10.172141
248.429703	1233.332275	2767.033203	1319.802124	5.637986
248.807465	1285.669312	2839.849854	1283.393677	-0.146420
249.185196	1278.842651	2546.307861	1237.883301	-3.231596
249.562897	1240.158813	2373.368164	1310.699951	6.224899
249.940567	1180.995239	2311.929199	1258.363037	6.841053
250.318192	1174.168701	2102.581299	1251.536499	8.333343
250.695801	1210.577026	2088.927979	1251.536499	4.663224
251.073349	1185.546387	1945.570313	1269.740601	11.077837
251.450882	1235.607788	1927.366089	1269.740601	4.934211
251.828400	1281.118164	1879.580200	1217.403687	-10.646369
252.205872	1251.536499	1931.917114	1192.372925	-8.695659
252.583313	1235.607788	2025.213501	1278.842651	5.475500
252.960693	1185.546387	2091.203613	1183.270874	-0.251255
253.338074	1278.842651	2291.449463	1208.301514	-6.966291
253.715408	1260.638550	2239.112549	1287.944824	2.790700
254.092682	1240.158813	2047.968750	1201.474976	-4.788730
254.469955	1142.311401	1890.957764	1281.118164	18.541033
254.847198	1217.403687	1936.468262	1269.740601	7.278472
