Jaz Data File
++++++++++++++++++++++++++++++++++++
Date: Wed Feb 07 06:44:04 2024
User: jaz
Dark Spectrum Present: Yes
Reference Spectrum Present: Yes
Processed Spectrum Present: Yes
Spectrometers: JAZA3692
Integration Time (usec): 40000 (JAZA3692)
Spectra Averaged: 1 (JAZA3692)
Boxcar Smoothing: 0 (JAZA3692)
Correct for Electrical Dark: No (JAZA3692)
Strobe/Lamp Enabled: Yes (JAZA3692)
Correct for Detector Non-linearity: No (JAZA3692)
Correct for Stray Light: No (JAZA3692)
Number of Pixels in Processed Spectrum: 2048
>>>>>Begin Processed Spectral Data<<<<<
W	D	R	S	P
190.244385	0.000000	0.000000	0.000000	0.000000
190.627136	0.000000	0.000000	0.000000	0.000000
191.009842	1083.147949	1133.209351	1096.801025	27.272661
191.392532	1112.729614	1119.556274	1101.352051	-166.663681
191.775177	1108.178589	1076.321289	1087.698975	64.285469
192.157791	1074.045776	1146.862427	1115.005249	56.250145
192.540390	1196.923950	1101.352051	1203.750488	-7.142830
192.922943	1142.311401	1117.280762	1130.933838	45.454544
193.305481	1085.423462	1274.291626	1210.577026	66.265038
193.687958	1201.474976	1078.596802	1137.760376	51.851845
194.070419	1180.995239	1158.240112	1112.729614	300.001068
194.452866	1130.933838	1167.342163	1110.454102	-56.250145
194.835251	1140.035889	1199.199463	1085.423462	-92.307518
195.217621	1155.964600	1133.209351	1149.138062	29.999840
195.599960	1092.250000	1165.066650	1121.831787	40.625031
195.982254	1162.791138	1099.076538	1151.413574	17.857075
196.364517	1101.352051	1133.209351	1201.474976	314.285645
196.746750	1085.423462	1192.372925	1140.035889	51.063770
197.128952	1162.791138	1133.209351	1135.484863	92.307724
197.511139	1165.066650	1110.454102	1149.138062	29.166536
197.893280	1151.413574	1174.168701	1115.005249	-160.000534
198.275391	1110.454102	1140.035889	1071.770264	-130.769104
198.657471	1199.199463	1171.893188	1124.107300	274.999664
199.039520	1146.862427	1137.760376	1092.250000	600.001343
199.421539	1180.995239	1174.168701	1155.964600	366.666656
199.803513	1124.107300	1119.556274	1133.209351	-200.000000
200.185471	1206.026001	1137.760376	1180.995239	36.666714
200.567383	1117.280762	1180.995239	1099.076538	-28.571566
200.949265	1126.382813	1158.240112	1110.454102	-50.000191
201.331131	1165.066650	1208.301514	1094.525513	-163.158005
201.712967	1183.270874	1144.586914	1046.739624	352.940216
202.094742	1124.107300	1169.617676	1162.791138	85.000038
202.476517	1160.515625	1149.138062	1119.556274	360.001068
202.858231	1153.689087	1133.209351	1130.933838	111.111046
203.239944	1165.066650	1149.138062	1135.484863	185.715057
203.621582	1171.893188	1137.760376	1085.423462	253.333145
204.003235	1174.168701	1140.035889	1187.821899	-40.000214
204.384827	1153.689087	1203.750488	1044.463989	-218.182266
204.766388	1174.168701	1092.250000	1064.943726	133.333389
205.147934	1133.209351	1228.781250	1103.627563	-30.952391
205.529449	1060.392700	1231.056763	1108.178589	27.999971
205.910904	1135.484863	1135.484863	1060.392700	0.000000
206.292343	1167.342163	1126.382813	1124.107300	105.555542
206.673767	1169.617676	1149.138062	1101.352051	333.334534
207.055115	1185.546387	1231.056763	1103.627563	-180.000320
207.436462	1112.729614	1162.791138	1165.066650	104.545433
207.817780	1137.760376	1171.893188	1071.770264	-193.333359
208.199051	1126.382813	1158.240112	1044.463989	-257.143036
208.580307	1174.168701	1142.311401	1108.178589	207.142822
208.961517	1112.729614	1115.005249	1101.352051	-499.973175
209.342712	1051.290649	1130.933838	1028.535400	-28.571495
209.723846	1117.280762	1121.831787	1099.076538	-400.002686
210.104965	1160.515625	1151.413574	1117.280762	475.001343
210.486069	1099.076538	1149.138062	1049.015137	-99.999756
210.867111	1140.035889	1162.791138	1128.658325	-49.999733
211.248123	1137.760376	1183.270874	1089.974487	-104.999702
211.629120	1167.342163	1185.546387	1067.219238	-549.998352
212.010071	1121.831787	1217.403687	1180.995239	61.904652
212.390991	1165.066650	1146.862427	1144.586914	112.499916
212.771881	1117.280762	1192.372925	1142.311401	33.333225
213.152756	1110.454102	1167.342163	1058.117188	-91.999817
213.533569	1149.138062	1124.107300	1096.801025	209.090866
213.914368	1142.311401	1108.178589	1105.903076	106.666641
214.295135	1180.995239	1099.076538	1078.596802	125.000076
214.675858	1140.035889	1185.546387	1101.352051	-84.999809
215.056549	1130.933838	1094.525513	1137.760376	-18.749937
215.437225	1119.556274	1115.005249	1067.219238	1150.005371
215.817841	1171.893188	1217.403687	1092.250000	-174.999603
216.198441	1190.097412	1149.138062	1103.627563	211.111374
216.579025	1190.097412	1160.515625	1028.535400	546.153625
216.959549	1158.240112	1196.923950	1144.586914	-35.294323
217.340057	1135.484863	1151.413574	1042.188477	-585.712097
217.720535	1124.107300	1135.484863	1085.423462	-340.001068
218.100967	1144.586914	1194.648438	1087.698975	-113.636055
218.481369	1153.689087	1160.515625	1094.525513	-866.670227
218.861740	1137.760376	1212.852539	1126.382813	-15.151465
219.242065	1094.525513	1199.199463	1133.209351	36.956509
219.622391	1099.076538	1199.199463	1108.178589	9.090876
220.002670	1099.076538	1165.066650	1103.627563	6.896526
220.382919	1089.974487	1251.536499	1124.107300	21.126757
220.763123	1099.076538	1171.893188	1103.627563	6.249979
221.143295	1146.862427	1192.372925	1092.250000	-119.999626
221.523453	1112.729614	1146.862427	1112.729614	0.000000
221.903549	1096.801025	1199.199463	1049.015137	-46.666618
222.283630	1108.178589	1165.066650	1135.484863	48.000008
222.663696	1140.035889	1144.586914	1167.342163	600.002686
223.043701	1169.617676	1224.230225	1128.658325	-74.999886
223.423676	1178.719727	1130.933838	1171.893188	14.285678
223.803635	1135.484863	1092.250000	1099.076538	84.210571
224.183548	1121.831787	1203.750488	1135.484863	16.666616
224.563431	1124.107300	1187.821899	1149.138062	39.285755
224.943283	1215.128052	1265.189575	1208.301514	-13.636297
225.323105	1074.045776	1178.719727	1071.770264	-2.173905
225.702881	1133.209351	1221.954712	1058.117188	-84.615311
226.082642	1080.872437	1140.035889	1046.739624	-57.692394
226.462357	1089.974487	1151.413574	1112.729614	37.036888
226.842041	1103.627563	1153.689087	1126.382813	45.454567
227.221695	1178.719727	1208.301514	1051.290649	-430.768677
227.601318	1096.801025	1212.852539	1130.933838	29.411777
227.980911	1130.933838	1240.158813	1049.015137	-74.999969
228.360474	1083.147949	1171.893188	1092.250000	10.256382
228.739990	1096.801025	1210.577026	1105.903076	7.999974
229.119476	1121.831787	1228.781250	1126.382813	4.255305
229.498932	1069.494751	1240.158813	1146.862427	45.333313
229.878372	1067.219238	1331.179688	1105.903076	14.655165
230.257736	1153.689087	1358.485962	1110.454102	-21.111155
230.637115	1087.698975	1308.424438	1153.689087	29.896919
231.016449	1135.484863	1312.975464	1060.392700	-42.307686
231.395737	1096.801025	1237.883301	1112.729614	11.290283
231.774994	1124.107300	1215.128052	1096.801025	-30.000053
232.154221	1140.035889	1303.873413	1142.311401	1.388884
232.533417	1142.311401	1342.557251	1078.596802	-31.818188
232.912582	1128.658325	1231.056763	1110.454102	-17.777834
233.291702	1151.413574	1306.148926	1089.974487	-39.705914
233.670792	1155.964600	1231.056763	1083.147949	-96.969704
234.049866	1158.240112	1217.403687	1096.801025	-103.846138
234.428894	1096.801025	1144.586914	1042.188477	-114.285934
234.807892	1176.444214	1226.505737	1142.311401	-68.181732
235.186874	1126.382813	1274.291626	1169.617676	29.230755
235.565781	1101.352051	1244.709839	1062.668213	-26.984119
235.944687	1126.382813	1274.291626	1121.831787	-3.076913
236.323547	1146.862427	1303.873413	1074.045776	-46.376785
236.702377	1115.005249	1256.087524	1074.045776	-29.032331
237.081177	1124.107300	1258.363037	1130.933838	5.084727
237.459946	1215.128052	1290.220337	1149.138062	-87.878525
237.838669	1233.332275	1231.056763	1187.821899	2000.005371
238.217361	1206.026001	1274.291626	1158.240112	-69.999931
238.596039	1119.556274	1342.557251	1049.015137	-31.632658
238.974670	1119.556274	1240.158813	1160.515625	33.962261
239.353271	1137.760376	1353.934937	1087.698975	-23.157860
239.731842	1149.138062	1253.812012	1094.525513	-52.173965
240.110367	1155.964600	1376.690063	1076.321289	-36.082520
240.488876	1162.791138	1303.873413	1099.076538	-45.161308
240.867340	1060.392700	1424.476074	1051.290649	-2.499991
241.245789	1146.862427	1356.210449	1155.964600	4.347867
241.624176	1083.147949	1406.271851	1144.586914	19.014057
242.002548	1153.689087	1415.373901	1019.433350	-51.304367
242.380890	1121.831787	1447.231201	1112.729614	-2.797231
242.759186	1046.739624	1542.803101	1206.026001	32.110081
243.137451	1067.219238	1699.814087	1137.760376	11.151077
243.515686	1169.617676	1699.814087	1096.801025	-13.733901
243.893890	1151.413574	1652.028076	1212.852539	12.272710
244.272049	1115.005249	1670.232300	1094.525513	-3.688534
244.650192	1105.903076	1588.313477	1142.311401	7.547168
245.028290	1130.933838	1604.242188	1085.423462	-9.615376
245.406357	1130.933838	1558.731689	1162.791138	7.446812
245.784393	1119.556274	1570.109375	1121.831787	0.505049
246.162384	1206.026001	1570.109375	1133.209351	-19.999992
246.540359	1162.791138	1604.242188	1137.760376	-5.670110
246.918289	1137.760376	1626.997314	1135.484863	-0.465115
247.296204	1196.923950	1770.355225	1201.474976	0.793648
247.674057	1153.689087	2018.386963	1174.168701	2.368413
248.051895	1187.821899	2195.877686	1219.679199	3.160271
248.429703	1226.505737	2168.571289	1153.689087	-7.729467
248.807465	1153.689087	2161.744873	1162.791138	0.902931
249.185196	1155.964600	2045.693237	1180.995239	2.813289
249.562897	1108.178589	1902.335449	1165.066650	7.163328
249.940567	1101.352051	1961.498901	1190.097412	10.317467
250.318192	1160.515625	1781.732788	1137.760376	-3.663010
250.695801	1144.586914	1695.262939	1149.138062	0.826465
251.073349	1096.801025	1647.477051	1089.974487	-1.239665
251.450882	1160.515625	1529.150024	1169.617676	2.469127
251.828400	1167.342163	1556.456177	1231.056763	16.374275
252.205872	1101.352051	1683.885376	1171.893188	12.109374
252.583313	1110.454102	1736.222412	1237.883301	20.363640
252.960693	1158.240112	1654.303589	1155.964600	-0.458714
253.338074	1128.658325	1834.069824	1126.382813	-0.322579
253.715408	1140.035889	1804.488037	1174.168701	5.136986
254.092682	1176.444214	1890.957764	1176.444214	0.000000
254.469955	1185.546387	1695.262939	1219.679199	6.696430
254.847198	1085.423462	1624.721802	1167.342163	15.189867
255.224365	1023.984375	1638.375000	1078.596802	8.888877
