Jaz Data File
++++++++++++++++++++++++++++++++++++
Date: Wed Feb 07 06:55:06 2024
User: jaz
Dark Spectrum Present: Yes
Reference Spectrum Present: Yes
Processed Spectrum Present: Yes
Spectrometers: JAZA3692
Integration Time (usec): 43800 (JAZA3692)
Spectra Averaged: 1 (JAZA3692)
Boxcar Smoothing: 0 (JAZA3692)
Correct for Electrical Dark: No (JAZA3692)
Strobe/Lamp Enabled: Yes (JAZA3692)
Correct for Detector Non-linearity: No (JAZA3692)
Correct for Stray Light: No (JAZA3692)
Number of Pixels in Processed Spectrum: 2048
>>>>>Begin Processed Spectral Data<<<<<
W	D	R	S	P
190.244385	0.000000	0.000000	0.000000	0.000000
190.627136	0.000000	0.000000	0.000000	0.000000
191.009842	892.004150	873.799988	844.218201	262.500122
191.392532	855.595825	892.004150	869.248962	37.500042
191.775177	960.269775	844.218201	905.657288	47.058807
192.157791	967.096313	969.371887	960.269775	-299.991943
192.540390	892.004150	894.279663	896.555176	200.000000
192.922943	939.790100	935.239075	878.351013	1350.005371
193.305481	980.749451	928.412476	898.830688	156.521774
193.687958	917.034912	937.514587	907.932800	-44.444611
194.070419	967.096313	905.657288	939.790100	44.444412
194.452866	948.892151	935.239075	980.749451	-233.334229
194.835251	932.963501	985.300537	948.892151	30.434757
195.217621	917.034912	907.932800	912.483826	50.000336
195.599960	962.545288	939.790100	828.289551	590.000549
195.982254	932.963501	944.341125	955.718750	200.000000
196.364517	973.922913	955.718750	946.616638	150.000168
196.746750	967.096313	976.198425	928.412476	-424.998505
197.128952	967.096313	892.004150	903.381775	84.848450
197.511139	864.697876	919.310425	898.830688	62.499943
197.893280	962.545288	889.728638	944.341125	25.000000
198.275391	953.443237	907.932800	846.493713	235.000000
198.657471	903.381775	937.514587	944.341125	119.999931
199.039520	948.892151	935.239075	946.616638	16.666666
199.421539	917.034912	998.953613	862.422363	-66.666763
199.803513	951.167725	973.922913	876.075500	-330.000458
200.185471	953.443237	983.024963	857.871338	-323.077484
200.567383	967.096313	985.300537	912.483826	-299.998993
200.949265	951.167725	1010.331238	914.759338	-61.538582
201.331131	898.830688	964.820801	903.381775	6.896619
201.712967	923.861450	898.830688	910.208313	54.545433
202.094742	903.381775	942.065613	932.963501	76.470505
202.476517	944.341125	887.453125	987.576050	-76.000076
202.858231	976.198425	973.922913	926.136963	2200.008057
203.239944	1044.463989	903.381775	896.555176	104.838737
203.621582	937.514587	1030.810913	1053.566162	124.390297
204.003235	953.443237	955.718750	937.514587	-700.002686
204.384827	951.167725	932.963501	901.106262	274.999176
204.766388	969.371887	903.381775	907.932800	93.103477
205.147934	873.799988	901.106262	910.208313	133.333191
205.529449	923.861450	910.208313	869.248962	399.999542
205.910904	910.208313	955.718750	914.759338	9.999960
206.292343	903.381775	978.473938	937.514587	45.454559
206.673767	885.177612	907.932800	948.892151	280.000061
207.055115	871.524475	985.300537	903.381775	28.000002
207.436462	948.892151	896.555176	869.248962	152.173843
207.817780	955.718750	917.034912	978.473938	-58.823502
208.199051	853.320313	910.208313	935.239075	144.000076
208.580307	832.840637	976.198425	910.208313	53.968239
208.961517	903.381775	957.994263	955.718750	95.833344
209.342712	905.657288	905.657288	962.545288	0.000000
209.723846	955.718750	969.371887	880.626526	-549.999756
210.104965	969.371887	957.994263	948.892151	180.000107
210.486069	914.759338	946.616638	946.616638	100.000000
210.867111	912.483826	962.545288	878.351013	-68.181816
211.248123	905.657288	885.177612	928.412476	-111.111076
211.629120	926.136963	917.034912	948.892151	-250.000671
212.010071	873.799988	971.647400	912.483826	39.534859
212.390991	857.871338	946.616638	866.973450	10.256444
212.771881	946.616638	937.514587	919.310425	300.000671
213.152756	876.075500	973.922913	939.790100	65.116287
213.533569	864.697876	930.687988	946.616638	124.137932
213.914368	876.075500	951.167725	885.177612	12.121244
214.295135	903.381775	896.555176	798.707825	1533.324951
214.675858	923.861450	967.096313	889.728638	-78.947426
215.056549	866.973450	901.106262	857.871338	-26.666750
215.437225	832.840637	907.932800	901.106262	90.909119
215.817841	910.208313	932.963501	853.320313	-250.000137
216.198441	973.922913	855.595825	889.728638	71.153847
216.579025	880.626526	932.963501	873.799988	-13.043432
216.959549	942.065613	878.351013	896.555176	71.428589
217.340057	932.963501	1003.504700	835.116150	-138.709503
217.720535	889.728638	860.146851	889.728638	-0.000000
218.100967	953.443237	923.861450	880.626526	246.153870
218.481369	939.790100	948.892151	901.106262	-425.001343
218.861740	910.208313	939.790100	841.942688	-230.769104
219.242065	912.483826	944.341125	923.861450	35.714340
219.622391	869.248962	935.239075	894.279663	37.930988
220.002670	896.555176	896.555176	841.942688	0.000000
220.382919	926.136963	928.412476	973.922913	2100.008057
220.763123	944.341125	937.514587	914.759338	433.335114
221.143295	873.799988	973.922913	866.973450	-6.818157
221.523453	921.585938	928.412476	889.728638	-466.668457
221.903549	848.769287	942.065613	898.830688	53.658493
222.283630	892.004150	926.136963	914.759338	66.666611
222.663696	932.963501	1001.229126	923.861450	-13.333285
223.043701	980.749451	939.790100	810.085388	416.666901
223.423676	862.422363	930.687988	848.769287	-19.999928
223.803635	944.341125	946.616638	871.524475	-3200.010742
224.183548	980.749451	955.718750	939.790100	163.636459
224.563431	935.239075	1012.606750	971.647400	47.058834
224.943283	946.616638	987.576050	882.902100	-155.555313
225.323105	951.167725	960.269775	826.014038	-1375.005371
225.702881	901.106262	898.830688	932.963501	-1399.965088
226.082642	853.320313	903.381775	851.044800	-4.545438
226.462357	905.657288	1046.739624	926.136963	14.516116
226.842041	907.932800	1055.841675	907.932800	0.000000
227.221695	857.871338	980.749451	882.902100	20.370399
227.601318	935.239075	978.473938	905.657288	-68.421143
227.980911	921.585938	1028.535400	930.687988	8.510610
228.360474	917.034912	939.790100	939.790100	100.000000
228.739990	905.657288	957.994263	857.871338	-91.304375
229.119476	946.616638	1042.188477	937.514587	-9.523779
229.498932	971.647400	1119.556274	953.443237	-12.307688
229.878372	871.524475	1171.893188	914.759338	14.393930
230.257736	928.412476	1171.893188	932.963501	1.869152
230.637115	855.595825	1112.729614	939.790100	32.743374
231.016449	946.616638	1158.240112	1026.259888	37.634411
231.395737	853.320313	1115.005249	969.371887	44.347824
231.774994	912.483826	1083.147949	873.799988	-22.666649
232.154221	921.585938	1183.270874	921.585938	0.000000
232.533417	894.279663	1051.290649	860.146851	-21.739124
232.912582	926.136963	1037.637451	857.871338	-61.224506
233.291702	821.463013	1030.810913	989.851563	80.434792
233.670792	910.208313	1049.015137	862.422363	-34.426224
234.049866	926.136963	1058.117188	871.524475	-41.379295
234.428894	853.320313	1074.045776	917.034912	28.865993
234.807892	932.963501	1089.974487	857.871338	-47.826057
235.186874	880.626526	1135.484863	935.239075	21.428591
235.565781	989.851563	1046.739624	987.576050	-3.999983
235.944687	957.994263	1103.627563	896.555176	-42.187527
236.323547	917.034912	1105.903076	851.044800	-34.939774
236.702377	960.269775	1039.912964	937.514587	-28.571417
237.081177	873.799988	1101.352051	912.483826	16.999994
237.459946	869.248962	1178.719727	873.799988	1.470583
237.838669	969.371887	1149.138062	894.279663	-41.772167
238.217361	955.718750	1140.035889	923.861450	-17.283960
238.596039	953.443237	1083.147949	932.963501	-15.789509
238.974670	937.514587	1133.209351	985.300537	24.418615
239.353271	901.106262	1126.382813	944.341125	19.191906
239.731842	930.687988	1169.617676	894.279663	-15.238091
240.110367	901.106262	1158.240112	903.381775	0.884953
240.488876	871.524475	1167.342163	944.341125	24.615381
240.867340	896.555176	1235.607788	944.341125	14.093963
241.245789	894.279663	1119.556274	903.381775	4.040416
241.624176	910.208313	1233.332275	942.065613	9.859158
242.002548	955.718750	1319.802124	894.279663	-16.875006
242.380890	882.902100	1308.424438	912.483826	6.951862
242.759186	907.932800	1454.057739	969.371887	11.250006
243.137451	894.279663	1481.364014	889.728638	-0.775191
243.515686	917.034912	1556.456177	932.963501	2.491095
243.893890	885.177612	1658.854614	880.626526	-0.588241
244.272049	948.892151	1479.088501	953.443237	0.858378
244.650192	926.136963	1567.833862	969.371887	6.737593
245.028290	844.218201	1415.373901	1010.331238	29.083670
245.406357	901.106262	1369.863525	932.963501	6.796106
245.784393	907.932800	1372.139038	937.514587	6.372553
246.162384	928.412476	1365.312500	948.892151	4.687497
246.540359	919.310425	1454.057739	887.453125	-5.957449
246.918289	901.106262	1636.099487	973.922913	9.907119
247.296204	894.279663	1656.579102	962.545288	8.955224
247.674057	926.136963	1952.396851	1023.984375	9.534369
248.051895	844.218201	2207.255127	1078.596802	17.195324
248.429703	914.759338	2129.887451	1064.943726	12.359551
248.807465	942.065613	2079.825928	1060.392700	10.400002
249.185196	835.116150	2002.458252	948.892151	9.746587
249.562897	917.034912	1781.732788	1035.361938	13.684205
249.940567	921.585938	1695.262939	996.678101	9.705880
250.318192	919.310425	1595.140137	948.892151	4.377098
250.695801	901.106262	1567.833862	969.371887	10.238908
251.073349	885.177612	1522.323364	901.106262	2.500001
251.450882	937.514587	1495.017212	955.718750	3.265305
251.828400	937.514587	1469.986450	903.381775	-6.410256
252.205872	935.239075	1510.945801	1003.504700	11.857708
252.583313	907.932800	1599.691162	939.790100	4.605264
252.960693	896.555176	1590.588989	994.402588	14.098364
253.338074	812.360901	1604.242188	960.269775	18.678164
253.715408	848.769287	1677.058838	971.647400	14.835164
254.092682	944.341125	1615.619751	969.371887	3.728818
254.469955	903.381775	1504.119263	976.198425	12.121210
254.847198	848.769287	1456.333252	892.004150	7.116101
255.224365	887.453125	1449.506714	1014.882263	22.672062
255.601563	869.248962	1415.373901	935.239075	12.083336
255.978683	960.269775	1424.476074	923.861450	-7.843135
256.355743	814.636475	1458.608887	914.759338	15.547694
256.732819	962.545288	1410.822876	964.820801	0.507612
257.109894	951.167725	1454.057739	932.963501	-3.619921
257.486877	914.759338	1451.782227	962.545288	8.898308
257.863831	930.687988	1583.762451	969.371887	5.923352
258.240753	901.106262	1670.232300	1044.463989	18.639042
258.617645	898.830688	1663.405762	1026.259888	16.666670
258.994507	914.759338	1795.385864	985.300537	8.010343
259.371307	923.861450	1947.845825	1010.331238	8.444444
259.748108	1019.433350	1929.641602	994.402588	-2.750004
260.124878	896.555176	2145.816162	1017.157776	9.653915
260.501617	946.616638	2327.857666	1067.219238	8.731467
260.878296	912.483826	2685.114502	1060.392700	8.344032
261.254944	887.453125	2778.410889	1033.086426	7.701563
