Jaz Data File
++++++++++++++++++++++++++++++++++++
Date: Wed Feb 07 06:38:05 2024
User: jaz
Dark Spectrum Present: Yes
Reference Spectrum Present: Yes
Processed Spectrum Present: Yes
Spectrometers: JAZA3692
Integration Time (usec): 40000 (JAZA3692)
Spectra Averaged: 1 (JAZA3692)
Boxcar Smoothing: 0 (JAZA3692)
Correct for Electrical Dark: No (JAZA3692)
Strobe/Lamp Enabled: Yes (JAZA3692)
Correct for Detector Non-linearity: No (JAZA3692)
Correct for Stray Light: No (JAZA3692)
Number of Pixels in Processed Spectrum: 2048
>>>>>Begin Processed Spectral Data<<<<<
W	D	R	S	P
190.244385	0.000000	0.000000	0.000000	0.000000
190.627136	0.000000	0.000000	0.000000	0.000000
191.009842	1221.954712	1244.709839	1180.995239	-180.001068
191.392532	1335.730713	1244.709839	1231.056763	114.999939
191.775177	1317.526489	1301.597900	1210.577026	671.430847
192.157791	1219.679199	1292.495850	1267.465088	65.624947
192.540390	1322.077637	1281.118164	1217.403687	255.554932
192.922943	1274.291626	1312.975464	1203.750488	-182.352997
193.305481	1333.455200	1312.975464	1319.802124	66.666267
193.687958	1281.118164	1272.016113	1262.914063	200.000000
194.070419	1290.220337	1285.669312	1312.975464	-500.000000
194.452866	1244.709839	1265.189575	1281.118164	177.777313
194.835251	1290.220337	1306.148926	1372.139038	514.287231
195.217621	1299.322388	1349.383789	1242.434326	-113.636574
195.599960	1312.975464	1301.597900	1340.281738	-240.001068
195.982254	1297.046875	1297.046875	1258.363037	0.000000
196.364517	1297.046875	1310.699951	1306.148926	66.666664
196.746750	1326.628662	1365.312500	1256.087524	-182.352997
197.128952	1290.220337	1353.934937	1219.679199	-110.714241
197.511139	1328.904175	1326.628662	1251.536499	3400.010742
197.893280	1331.179688	1335.730713	1233.332275	-2150.008057
198.275391	1310.699951	1312.975464	1240.158813	-3100.010742
198.657471	1276.567139	1297.046875	1299.322388	111.111046
199.039520	1244.709839	1349.383789	1231.056763	-13.043432
199.421539	1347.108276	1331.179688	1283.393677	400.001526
199.803513	1256.087524	1285.669312	1246.985352	-30.769516
200.185471	1253.812012	1358.485962	1287.944824	32.608700
200.567383	1335.730713	1272.016113	1281.118164	85.714340
200.949265	1283.393677	1287.944824	1221.954712	-1349.966431
201.331131	1326.628662	1335.730713	1233.332275	-1025.004028
201.712967	1299.322388	1315.250977	1274.291626	-157.143631
202.094742	1235.607788	1308.424438	1272.016113	50.000000
202.476517	1233.332275	1278.842651	1244.709839	24.999933
202.858231	1258.363037	1281.118164	1235.607788	-100.000534
203.239944	1301.597900	1292.495850	1165.066650	1500.005371
203.621582	1256.087524	1328.904175	1260.638550	6.249979
204.003235	1363.036987	1285.669312	1251.536499	144.117661
204.384827	1276.567139	1292.495850	1199.199463	-485.712097
204.766388	1281.118164	1274.291626	1183.270874	1433.336914
205.147934	1301.597900	1292.495850	1192.372925	1200.004028
205.529449	1403.996338	1312.975464	1242.434326	177.499954
205.910904	1283.393677	1258.363037	1192.372925	363.637329
206.292343	1210.577026	1322.077637	1244.709839	30.612221
206.673767	1308.424438	1281.118164	1178.719727	474.999664
207.055115	1242.434326	1372.139038	1322.077637	61.403561
207.436462	1328.904175	1326.628662	1262.914063	2900.010742
207.817780	1303.873413	1399.445313	1292.495850	-11.904716
208.199051	1251.536499	1328.904175	1231.056763	-26.470663
208.580307	1242.434326	1390.343262	1160.515625	-55.384552
208.961517	1267.465088	1306.148926	1187.821899	-205.882339
209.342712	1292.495850	1312.975464	1242.434326	-244.445633
209.723846	1242.434326	1221.954712	1235.607788	33.333332
210.104965	1322.077637	1285.669312	1260.638550	168.750107
210.486069	1267.465088	1306.148926	1194.648438	-188.235336
210.867111	1281.118164	1226.505737	1149.138062	241.666794
211.248123	1301.597900	1299.322388	1224.230225	3400.010742
211.629120	1322.077637	1319.802124	1283.393677	1700.010742
212.010071	1274.291626	1338.006226	1194.648438	-124.999901
212.390991	1262.914063	1283.393677	1287.944824	122.222816
212.771881	1294.771362	1351.659302	1194.648438	-176.000259
213.152756	1319.802124	1374.414551	1192.372925	-233.333710
213.533569	1306.148926	1333.455200	1315.250977	33.333183
213.914368	1226.505737	1369.863525	1351.659302	87.301544
214.295135	1267.465088	1317.526489	1276.567139	18.181774
214.675858	1249.260864	1365.312500	1299.322388	43.137283
215.056549	1322.077637	1328.904175	1190.097412	-1933.340454
215.437225	1285.669312	1299.322388	1162.791138	-900.003601
215.817841	1276.567139	1360.761475	1272.016113	-5.405382
216.198441	1358.485962	1340.281738	1233.332275	687.498047
216.579025	1353.934937	1385.792114	1231.056763	-385.715820
216.959549	1299.322388	1292.495850	1221.954712	1133.336914
217.340057	1278.842651	1344.832764	1249.260864	-44.827606
217.720535	1301.597900	1347.108276	1233.332275	-150.000137
218.100967	1294.771362	1301.597900	1215.128052	-1166.671997
218.481369	1317.526489	1335.730713	1256.087524	-337.498413
218.861740	1344.832764	1292.495850	1251.536499	178.260925
219.242065	1256.087524	1228.781250	1281.118164	-91.666260
219.622391	1256.087524	1303.873413	1221.954712	-71.428642
220.002670	1274.291626	1317.526489	1217.403687	-131.578857
220.382919	1344.832764	1228.781250	1183.270874	139.215668
220.763123	1308.424438	1322.077637	1292.495850	-116.665627
221.143295	1356.210449	1322.077637	1219.679199	400.000000
221.523453	1269.740601	1340.281738	1194.648438	-106.451591
221.903549	1251.536499	1356.210449	1278.842651	26.086864
222.283630	1297.046875	1333.455200	1290.220337	-18.749937
222.663696	1317.526489	1319.802124	1251.536499	-2899.849854
223.043701	1206.026001	1333.455200	1322.077637	91.071465
223.423676	1224.230225	1378.965576	1272.016113	30.882334
223.803635	1244.709839	1347.108276	1260.638550	15.555619
224.183548	1260.638550	1285.669312	1347.108276	345.453827
224.563431	1260.638550	1283.393677	1340.281738	350.001068
224.943283	1322.077637	1335.730713	1262.914063	-433.335114
225.323105	1246.985352	1353.934937	1246.985352	0.000000
225.702881	1260.638550	1308.424438	1215.128052	-95.238365
226.082642	1242.434326	1265.189575	1228.781250	-59.999680
226.462357	1365.312500	1383.516602	1201.474976	-900.003357
226.842041	1219.679199	1369.863525	1196.923950	-15.151547
227.221695	1319.802124	1315.250977	1231.056763	1949.955688
227.601318	1306.148926	1406.271851	1185.546387	-120.454468
227.980911	1276.567139	1463.159912	1206.026001	-37.804859
228.360474	1287.944824	1383.516602	1212.852539	-78.571609
228.739990	1283.393677	1440.404663	1237.883301	-28.985472
229.119476	1285.669312	1408.547363	1269.740601	-12.963024
229.498932	1283.393677	1424.476074	1178.719727	-74.193489
229.878372	1299.322388	1504.119263	1278.842651	-10.000024
230.257736	1262.914063	1515.496826	1178.719727	-33.333366
230.637115	1174.168701	1572.384888	1224.230225	12.571444
231.016449	1242.434326	1454.057739	1210.577026	-15.053769
231.395737	1267.465088	1542.803101	1246.985352	-7.438035
231.774994	1269.740601	1442.680176	1244.709839	-14.473703
232.154221	1276.567139	1476.812988	1226.505737	-24.999969
232.533417	1231.056763	1451.782227	1244.709839	6.185546
232.912582	1265.189575	1419.924927	1258.363037	-4.411751
233.291702	1299.322388	1392.618774	1251.536499	-51.219440
233.670792	1276.567139	1447.231201	1249.260864	-16.000015
234.049866	1251.536499	1444.955688	1208.301514	-22.352997
234.428894	1349.383789	1417.649414	1306.148926	-63.333286
234.807892	1292.495850	1410.822876	1240.158813	-44.230839
235.186874	1308.424438	1444.955688	1237.883301	-51.666660
235.565781	1203.750488	1504.119263	1262.914063	19.696980
235.944687	1274.291626	1490.466064	1249.260864	-11.578964
236.323547	1333.455200	1501.843750	1196.923950	-81.081078
236.702377	1287.944824	1481.364014	1265.189575	-11.764731
237.081177	1283.393677	1501.843750	1278.842651	-2.083325
237.459946	1269.740601	1515.496826	1272.016113	0.925923
237.838669	1265.189575	1535.976563	1287.944824	8.403377
238.217361	1206.026001	1565.558350	1196.923950	-2.531636
238.596039	1244.709839	1515.496826	1224.230225	-7.562998
238.974670	1299.322388	1561.007324	1303.873413	1.739124
239.353271	1297.046875	1488.190552	1281.118164	-8.333370
239.731842	1244.709839	1533.701050	1228.781250	-5.511790
240.110367	1308.424438	1488.190552	1292.495850	-8.860729
240.488876	1301.597900	1608.793213	1267.465088	-11.111111
240.867340	1356.210449	1590.588989	1201.474976	-66.019470
241.245789	1306.148926	1545.078613	1244.709839	-25.714296
241.624176	1303.873413	1508.670288	1285.669312	-8.888857
242.002548	1297.046875	1706.640625	1199.199463	-23.888893
242.380890	1351.659302	1758.977539	1203.750488	-36.312840
242.759186	1272.016113	1736.222412	1278.842651	1.470583
243.137451	1303.873413	1904.610962	1283.393677	-3.409099
243.515686	1274.291626	1966.049927	1322.077637	6.907906
243.893890	1274.291626	2011.560425	1308.424438	4.629629
244.272049	1210.577026	1981.978638	1328.904175	15.339240
244.650192	1331.179688	1843.171875	1360.761475	5.777781
245.028290	1308.424438	1827.243164	1262.914063	-8.771922
245.406357	1190.097412	1699.814087	1224.230225	6.696428
245.784393	1272.016113	1692.987427	1294.771362	5.405416
246.162384	1308.424438	1756.702026	1281.118164	-6.091376
246.540359	1278.842651	1793.110352	1269.740601	-1.769905
246.918289	1208.301514	1822.692139	1287.944824	12.962976
247.296204	1338.006226	2052.519775	1269.740601	-9.554140
247.674057	1294.771362	2245.938965	1317.526489	2.392336
248.051895	1338.006226	2393.847900	1353.934937	1.508627
248.429703	1347.108276	2443.909424	1367.588013	1.867224
248.807465	1278.842651	2473.491211	1256.087524	-1.904755
249.185196	1281.118164	2316.480225	1335.730713	5.274730
249.562897	1317.526489	2125.336426	1226.505737	-11.267595
249.940567	1358.485962	2098.030273	1306.148926	-7.076931
250.318192	1312.975464	1972.876587	1347.108276	5.172413
250.695801	1317.526489	1986.529663	1331.179688	2.040827
251.073349	1324.353149	1859.100464	1269.740601	-10.212776
251.450882	1303.873413	1827.243164	1233.332275	-13.478260
251.828400	1276.567139	1879.580200	1283.393677	1.132071
252.205872	1221.954712	1790.834839	1328.904175	18.799999
252.583313	1269.740601	1900.059814	1315.250977	7.220211
252.960693	1226.505737	1938.743774	1281.118164	7.667721
253.338074	1303.873413	2045.693237	1351.659302	6.441711
253.715408	1287.944824	2077.550537	1356.210449	8.645534
254.092682	1319.802124	1945.570313	1322.077637	0.363635
254.469955	1258.363037	1806.763550	1319.802124	11.203324
254.847198	1231.056763	1779.457275	1253.812012	4.149385
