Jaz Data File
++++++++++++++++++++++++++++++++++++
Date: Wed Feb 07 06:51:14 2024
User: jaz
Dark Spectrum Present: Yes
Reference Spectrum Present: Yes
Processed Spectrum Present: Yes
Spectrometers: JAZA3692
Integration Time (usec): 42900 (JAZA3692)
Spectra Averaged: 1 (JAZA3692)
Boxcar Smoothing: 0 (JAZA3692)
Correct for Electrical Dark: No (JAZA3692)
Strobe/Lamp Enabled: Yes (JAZA3692)
Correct for Detector Non-linearity: No (JAZA3692)
Correct for Stray Light: No (JAZA3692)
Number of Pixels in Processed Spectrum: 2048
>>>>>Begin Processed Spectral Data<<<<<
W	D	R	S	P
190.244385	0.000000	0.000000	0.000000	0.000000
190.627136	0.000000	0.000000	0.000000	0.000000
191.009842	907.932800	948.892151	937.514587	72.222305
191.392532	985.300537	1028.535400	926.136963	-136.842285
191.775177	917.034912	967.096313	923.861450	13.636331
192.157791	989.851563	903.381775	962.545288	31.578978
192.540390	992.127075	917.034912	1042.188477	-66.666611
192.922943	905.657288	1001.229126	935.239075	30.952410
193.305481	1003.504700	1035.361938	951.167725	-164.285980
193.687958	1010.331238	1023.984375	992.127075	-133.333191
194.070419	948.892151	1019.433350	983.024963	48.387062
194.452866	1064.943726	928.412476	1010.331238	39.999992
194.835251	1030.810913	1012.606750	932.963501	537.500183
195.217621	1008.055725	976.198425	985.300537	71.428490
195.599960	1039.912964	1003.504700	973.922913	181.250198
195.982254	1080.872437	976.198425	939.790100	134.782578
196.364517	1033.086426	971.647400	994.402588	62.962975
196.746750	962.545288	1003.504700	998.953613	88.888786
197.128952	1014.882263	994.402588	987.576050	133.333237
197.511139	1067.219238	1001.229126	1010.331238	86.206856
197.893280	992.127075	1010.331238	1021.708862	162.500122
198.275391	998.953613	935.239075	989.851563	14.285673
198.657471	1001.229126	1003.504700	964.820801	-1599.962402
199.039520	1049.015137	967.096313	1014.882263	41.666702
199.421539	948.892151	1037.637451	935.239075	-15.384562
199.803513	967.096313	973.922913	976.198425	133.333038
200.185471	1001.229126	948.892151	1008.055725	-13.043550
200.567383	1010.331238	1010.331238	994.402588	0.000000
200.949265	989.851563	989.851563	994.402588	0.000000
201.331131	930.687988	1044.463989	917.034912	-11.999961
201.712967	946.616638	1037.637451	937.514587	-9.999967
202.094742	976.198425	1030.810913	1008.055725	58.333363
202.476517	980.749451	1026.259888	980.749451	0.000000
202.858231	957.994263	1055.841675	992.127075	34.883717
203.239944	969.371887	994.402588	976.198425	27.272661
203.621582	955.718750	935.239075	1005.780212	-244.444611
204.003235	937.514587	969.371887	1010.331238	228.571320
204.384827	935.239075	1019.433350	996.678101	72.972923
204.766388	937.514587	1017.157776	969.371887	40.000031
205.147934	985.300537	1039.912964	983.024963	-4.166769
205.529449	1021.708862	953.443237	946.616638	110.000053
205.910904	976.198425	1044.463989	905.657288	-103.333412
206.292343	948.892151	1019.433350	885.177612	-90.322449
206.673767	930.687988	992.127075	919.310425	-18.518444
207.055115	998.953613	980.749451	914.759338	462.500122
207.436462	1010.331238	1012.606750	901.106262	-4800.016113
207.817780	1014.882263	1069.494751	939.790100	-137.499985
208.199051	967.096313	976.198425	910.208313	-624.997803
208.580307	994.402588	983.024963	1019.433350	-219.999893
208.961517	928.412476	971.647400	976.198425	110.526268
209.342712	983.024963	987.576050	944.341125	-849.991272
209.723846	976.198425	989.851563	973.922913	-16.666592
210.104965	1096.801025	1069.494751	962.545288	491.666260
210.486069	955.718750	1074.045776	971.647400	13.461549
210.867111	985.300537	1044.463989	955.718750	-50.000103
211.248123	962.545288	1046.739624	983.024963	24.324291
211.629120	962.545288	998.953613	930.687988	-87.500038
212.010071	994.402588	1044.463989	987.576050	-13.636331
212.390991	951.167725	1026.259888	951.167725	0.000000
212.771881	983.024963	923.861450	983.024963	-0.000000
213.152756	962.545288	992.127075	1033.086426	238.461380
213.533569	962.545288	944.341125	969.371887	-37.500210
213.914368	930.687988	960.269775	953.443237	76.923172
214.295135	989.851563	985.300537	989.851563	-0.000000
214.675858	989.851563	928.412476	953.443237	59.259224
215.056549	978.473938	992.127075	866.973450	-816.665710
215.437225	1019.433350	978.473938	992.127075	66.666664
215.817841	978.473938	1071.770264	976.198425	-2.439016
216.198441	1010.331238	985.300537	928.412476	327.273163
216.579025	928.412476	1028.535400	967.096313	38.636345
216.959549	1053.566162	1017.157776	960.269775	256.249725
217.340057	973.922913	1012.606750	951.167725	-58.823502
217.720535	1003.504700	1008.055725	1021.708862	400.001343
218.100967	1003.504700	1001.229126	957.994263	1999.954346
218.481369	994.402588	987.576050	944.341125	733.335999
218.861740	1003.504700	1067.219238	955.718750	-75.000069
219.242065	955.718750	978.473938	1019.433350	280.000336
219.622391	969.371887	1019.433350	973.922913	9.090876
220.002670	994.402588	1012.606750	948.892151	-250.000168
220.382919	976.198425	962.545288	955.718750	149.999771
220.763123	932.963501	996.678101	1012.606750	125.000000
221.143295	937.514587	1014.882263	917.034912	-26.470583
221.523453	992.127075	1005.780212	960.269775	-233.333191
221.903549	957.994263	1003.504700	944.341125	-30.000013
222.283630	1046.739624	1023.984375	962.545288	369.999634
222.663696	976.198425	1035.361938	926.136963	-84.615433
223.043701	923.861450	978.473938	942.065613	33.333332
223.423676	978.473938	1033.086426	957.994263	-37.499985
223.803635	967.096313	1012.606750	887.453125	-174.999832
224.183548	928.412476	996.678101	967.096313	56.666641
224.563431	962.545288	1014.882263	980.749451	34.782604
224.943283	946.616638	1008.055725	955.718750	14.814856
225.323105	937.514587	1058.117188	1042.188477	86.792397
225.702881	1008.055725	1033.086426	921.585938	-345.454926
226.082642	919.310425	1026.259888	971.647400	48.936172
226.462357	1017.157776	1035.361938	942.065613	-412.499969
226.842041	998.953613	967.096313	944.341125	171.428482
227.221695	926.136963	1019.433350	976.198425	53.658524
227.601318	937.514587	1021.708862	951.167725	16.216230
227.980911	989.851563	996.678101	987.576050	-33.333332
228.360474	976.198425	1021.708862	912.483826	-139.999969
228.739990	1028.535400	1135.484863	1003.504700	-23.404232
229.119476	971.647400	1124.107300	998.953613	17.910423
229.498932	1005.780212	1130.933838	1044.463989	30.909035
229.878372	996.678101	1187.821899	939.790100	-29.761887
230.257736	1008.055725	1212.852539	969.371887	-18.888887
230.637115	980.749451	1203.750488	973.922913	-3.061213
231.016449	992.127075	1128.658325	942.065613	-36.666668
231.395737	903.381775	1121.831787	971.647400	31.249998
231.774994	937.514587	1014.882263	1051.290649	147.058914
232.154221	964.820801	1146.862427	1062.668213	53.750019
232.533417	937.514587	1146.862427	953.443237	7.608700
232.912582	917.034912	1167.342163	1033.086426	46.363625
233.291702	928.412476	1115.005249	960.269775	17.073170
233.670792	996.678101	1119.556274	1017.157776	16.666651
234.049866	907.932800	1133.209351	932.963501	11.111099
234.428894	957.994263	1176.444214	1017.157776	27.083326
234.807892	973.922913	1183.270874	1017.157776	20.652153
235.186874	985.300537	1133.209351	967.096313	-12.307734
235.565781	967.096313	1212.852539	1008.055725	16.666683
235.944687	1028.535400	1185.546387	921.585938	-68.115913
236.323547	948.892151	1256.087524	917.034912	-10.370351
236.702377	926.136963	1201.474976	912.483826	-4.958682
237.081177	980.749451	1174.168701	1008.055725	14.117661
237.459946	980.749451	1190.097412	955.718750	-11.956506
237.838669	942.065613	1165.066650	994.402588	23.469387
238.217361	928.412476	1256.087524	983.024963	16.666660
238.596039	994.402588	1208.301514	980.749451	-6.382986
238.974670	942.065613	1208.301514	944.341125	0.854698
239.353271	957.994263	1224.230225	980.749451	8.547000
239.731842	980.749451	1240.158813	983.024963	0.877190
240.110367	919.310425	1158.240112	944.341125	10.476178
240.488876	928.412476	1237.883301	923.861450	-1.470583
240.867340	964.820801	1253.812012	978.473938	4.724412
241.245789	1019.433350	1258.363037	1014.882263	-1.904781
241.624176	969.371887	1228.781250	964.820801	-1.754403
242.002548	957.994263	1467.710938	998.953613	8.035709
242.380890	1023.984375	1495.017212	989.851563	-7.246377
242.759186	1019.433350	1533.701050	1080.872437	11.946908
243.137451	932.963501	1592.864502	1039.912964	16.206896
243.515686	971.647400	1658.854614	1005.780212	4.966888
243.893890	964.820801	1658.854614	973.922913	1.311480
244.272049	967.096313	1517.772339	1010.331238	7.851245
244.650192	889.728638	1606.517700	973.922913	11.746033
245.028290	905.657288	1506.394775	1046.739624	23.484856
245.406357	960.269775	1492.741699	973.922913	2.564105
245.784393	955.718750	1447.231201	953.443237	-0.462961
246.162384	907.932800	1501.843750	967.096313	9.961680
246.540359	948.892151	1592.864502	1033.086426	13.074206
246.918289	955.718750	1615.619751	957.994263	0.344826
247.296204	989.851563	1756.702026	1003.504700	1.780417
247.674057	973.922913	2066.172852	994.402588	1.874999
248.051895	976.198425	2243.663574	1037.637451	4.847394
248.429703	948.892151	2352.888428	1064.943726	8.265803
248.807465	1010.331238	2336.959961	1044.463989	2.572894
249.185196	1019.433350	2095.754639	1089.974487	6.553911
249.562897	964.820801	1893.233276	973.922913	0.980395
249.940567	1001.229126	1840.896362	992.127075	-1.084007
250.318192	1021.708862	1779.457275	1003.504700	-2.402402
250.695801	994.402588	1649.752563	1028.535400	5.208333
251.073349	980.749451	1579.211426	976.198425	-0.760454
251.450882	955.718750	1501.843750	1030.810913	13.749995
251.828400	1053.566162	1524.598877	1044.463989	-1.932387
252.205872	987.576050	1565.558350	1008.055725	3.543305
252.583313	926.136963	1636.099487	989.851563	8.974361
252.960693	980.749451	1722.569214	998.953613	2.453987
253.338074	955.718750	1913.713013	983.024963	2.850353
253.715408	1019.433350	1845.447388	1058.117188	4.683194
254.092682	923.861450	1665.681274	1003.504700	10.736198
254.469955	989.851563	1654.303589	994.402588	0.684929
254.847198	937.514587	1574.660400	983.024963	7.142851
255.224365	1017.157776	1508.670288	996.678101	-4.166664
255.601563	910.208313	1506.394775	1030.810913	20.229008
255.978683	973.922913	1547.354126	1049.015137	13.095245
256.355743	976.198425	1499.568237	1039.912964	12.173904
256.732819	930.687988	1570.109375	1001.229126	11.032026
257.109894	944.341125	1549.629639	983.024963	6.390975
257.486877	1005.780212	1576.935913	1033.086426	4.780870
257.863831	1028.535400	1683.885376	1010.331238	-2.777777
258.240753	1008.055725	1672.507813	1010.331238	0.342465
258.617645	1017.157776	1692.987427	1037.637451	3.030301
258.994507	1003.504700	1799.937012	1019.433350	2.000000
259.371307	980.749451	1836.345337	1003.504700	2.659579
