Jaz Data File
++++++++++++++++++++++++++++++++++++
Date: Wed Feb 07 06:44:11 2024
User: jaz
Dark Spectrum Present: Yes
Reference Spectrum Present: Yes
Processed Spectrum Present: Yes
Spectrometers: JAZA3692
Integration Time (usec): 40000 (JAZA3692)
Spectra Averaged: 1 (JAZA3692)
Boxcar Smoothing: 0 (JAZA3692)
Correct for Electrical Dark: No (JAZA3692)
Strobe/Lamp Enabled: Yes (JAZA3692)
Correct for Detector Non-linearity: No (JAZA3692)
Correct for Stray Light: No (JAZA3692)
Number of Pixels in Processed Spectrum: 2048
>>>>>Begin Processed Spectral Data<<<<<
W	D	R	S	P
190.244385	0.000000	0.000000	0.000000	0.000000
190.627136	0.000000	0.000000	0.000000	0.000000
191.009842	1083.147949	1133.209351	992.127075	-181.818466
191.392532	1112.729614	1119.556274	1076.321289	-533.325562
191.775177	1108.178589	1076.321289	1124.107300	-50.000191
192.157791	1074.045776	1146.862427	1064.943726	-12.499958
192.540390	1196.923950	1101.352051	1062.668213	140.476166
192.922943	1142.311401	1117.280762	1085.423462	227.273209
193.305481	1085.423462	1274.291626	1042.188477	-22.891621
193.687958	1201.474976	1078.596802	1167.342163	27.777767
194.070419	1180.995239	1158.240112	1117.280762	280.000549
194.452866	1130.933838	1167.342163	1151.413574	56.250145
194.835251	1140.035889	1199.199463	1112.729614	-46.153862
195.217621	1155.964600	1133.209351	1087.698975	299.999451
195.599960	1092.250000	1165.066650	1130.933838	53.124989
195.982254	1162.791138	1099.076538	1110.454102	82.142929
196.364517	1101.352051	1133.209351	1124.107300	71.428680
196.746750	1085.423462	1192.372925	1046.739624	-36.170204
197.128952	1162.791138	1133.209351	1133.209351	100.000000
197.511139	1165.066650	1110.454102	1067.219238	179.166534
197.893280	1151.413574	1174.168701	1117.280762	-150.000534
198.275391	1110.454102	1140.035889	1124.107300	46.154068
198.657471	1199.199463	1171.893188	1155.964600	158.333069
199.039520	1146.862427	1137.760376	1080.872437	725.001343
199.421539	1180.995239	1174.168701	1117.280762	933.335144
199.803513	1124.107300	1119.556274	1105.903076	400.002686
200.185471	1206.026001	1137.760376	1092.250000	166.666611
200.567383	1117.280762	1180.995239	1167.342163	78.571472
200.949265	1126.382813	1158.240112	1115.005249	-35.714149
201.331131	1165.066650	1208.301514	1039.912964	-289.473999
201.712967	1183.270874	1144.586914	1101.352051	211.764313
202.094742	1124.107300	1169.617676	1155.964600	70.000084
202.476517	1160.515625	1149.138062	1121.831787	340.001068
202.858231	1153.689087	1133.209351	1142.311401	55.555820
203.239944	1165.066650	1149.138062	1089.974487	471.430115
203.621582	1171.893188	1137.760376	1130.933838	119.999931
204.003235	1174.168701	1140.035889	1069.494751	306.666656
204.384827	1153.689087	1203.750488	1149.138062	-9.090887
204.766388	1174.168701	1092.250000	1110.454102	77.777847
205.147934	1133.209351	1228.781250	1101.352051	-33.333332
205.529449	1060.392700	1231.056763	1087.698975	16.000015
205.910904	1135.484863	1135.484863	1101.352051	0.000000
206.292343	1167.342163	1126.382813	1049.015137	288.888916
206.673767	1169.617676	1149.138062	1144.586914	122.222816
207.055115	1185.546387	1231.056763	1117.280762	-150.000137
207.436462	1112.729614	1162.791138	1101.352051	-22.727161
207.817780	1137.760376	1171.893188	1092.250000	-133.333221
208.199051	1126.382813	1158.240112	1060.392700	-207.142822
208.580307	1174.168701	1142.311401	1078.596802	300.000000
208.961517	1112.729614	1115.005249	1128.658325	699.967834
209.342712	1051.290649	1130.933838	1119.556274	85.714333
209.723846	1117.280762	1121.831787	1055.841675	-1350.005371
210.104965	1160.515625	1151.413574	1067.219238	1025.004028
210.486069	1099.076538	1149.138062	1044.463989	-109.090866
210.867111	1140.035889	1162.791138	1069.494751	-309.999420
211.248123	1137.760376	1183.270874	1069.494751	-149.999725
211.629120	1167.342163	1185.546387	1133.209351	-187.499420
212.010071	1121.831787	1217.403687	1128.658325	7.142830
212.390991	1165.066650	1146.862427	1005.780212	874.997131
212.771881	1117.280762	1192.372925	1137.760376	27.272638
213.152756	1110.454102	1167.342163	1026.259888	-147.999786
213.533569	1149.138062	1124.107300	1185.546387	-145.454330
213.914368	1142.311401	1108.178589	1140.035889	6.666643
214.295135	1180.995239	1099.076538	1085.423462	116.666618
214.675858	1140.035889	1185.546387	1137.760376	-4.999973
215.056549	1130.933838	1094.525513	1053.566162	212.499954
215.437225	1119.556274	1115.005249	1119.556274	-0.000000
215.817841	1171.893188	1217.403687	1067.219238	-229.999573
216.198441	1190.097412	1149.138062	1105.903076	205.555832
216.579025	1190.097412	1160.515625	1121.831787	230.769104
216.959549	1158.240112	1196.923950	1137.760376	-52.941326
217.340057	1135.484863	1151.413574	1096.801025	-242.856049
217.720535	1124.107300	1135.484863	1085.423462	-340.001068
218.100967	1144.586914	1194.648438	1121.831787	-45.454323
218.481369	1153.689087	1160.515625	1101.352051	-766.670227
218.861740	1137.760376	1212.852539	1085.423462	-69.696907
219.242065	1094.525513	1199.199463	1124.107300	28.260887
219.622391	1099.076538	1199.199463	1130.933838	31.818188
220.002670	1099.076538	1165.066650	1171.893188	110.344788
220.382919	1089.974487	1251.536499	1167.342163	47.887295
220.763123	1099.076538	1171.893188	1119.556274	28.125072
221.143295	1146.862427	1192.372925	1130.933838	-34.999813
221.523453	1112.729614	1146.862427	1096.801025	-46.666500
221.903549	1096.801025	1199.199463	1112.729614	15.555500
222.283630	1108.178589	1165.066650	1128.658325	36.000061
222.663696	1140.035889	1144.586914	1124.107300	-350.000000
223.043701	1169.617676	1224.230225	1133.209351	-66.666595
223.423676	1178.719727	1130.933838	1067.219238	233.333496
223.803635	1135.484863	1092.250000	1085.423462	115.789429
224.183548	1121.831787	1203.750488	1155.964600	41.666691
224.563431	1124.107300	1187.821899	1049.015137	-117.857071
224.943283	1215.128052	1265.189575	1185.546387	-59.090622
225.323105	1074.045776	1178.719727	1167.342163	89.130470
225.702881	1133.209351	1221.954712	1058.117188	-84.615311
226.082642	1080.872437	1140.035889	1108.178589	46.153751
226.462357	1089.974487	1151.413574	1076.321289	-22.222332
226.842041	1103.627563	1153.689087	1137.760376	68.181732
227.221695	1178.719727	1208.301514	1121.831787	-192.307312
227.601318	1096.801025	1212.852539	1083.147949	-11.764668
227.980911	1130.933838	1240.158813	1108.178589	-20.833376
228.360474	1083.147949	1171.893188	1174.168701	102.564095
228.739990	1096.801025	1210.577026	1076.321289	-18.000050
229.119476	1121.831787	1228.781250	1121.831787	0.000000
229.498932	1069.494751	1240.158813	1064.943726	-2.666657
229.878372	1067.219238	1331.179688	1135.484863	25.862066
230.257736	1153.689087	1358.485962	1165.066650	5.555536
230.637115	1087.698975	1308.424438	1110.454102	10.309244
231.016449	1135.484863	1312.975464	1087.698975	-26.923054
231.395737	1096.801025	1237.883301	1135.484863	27.419346
231.774994	1124.107300	1215.128052	1155.964600	35.000042
232.154221	1140.035889	1303.873413	1076.321289	-38.888893
232.533417	1142.311401	1342.557251	1115.005249	-13.636313
232.912582	1128.658325	1231.056763	1130.933838	2.222214
233.291702	1151.413574	1306.148926	1142.311401	-5.882413
233.670792	1155.964600	1231.056763	1074.045776	-109.091042
234.049866	1158.240112	1217.403687	1135.484863	-38.461586
234.428894	1096.801025	1144.586914	1069.494751	-57.142967
234.807892	1176.444214	1226.505737	1103.627563	-145.454330
235.186874	1126.382813	1274.291626	1133.209351	4.615369
235.565781	1101.352051	1244.709839	1103.627563	1.587296
235.944687	1126.382813	1274.291626	1160.515625	23.076929
236.323547	1146.862427	1303.873413	1092.250000	-34.782551
236.702377	1115.005249	1256.087524	1108.178589	-4.838779
237.081177	1124.107300	1258.363037	1112.729614	-8.474636
237.459946	1215.128052	1290.220337	1021.708862	-257.575317
237.838669	1233.332275	1231.056763	1101.352051	5800.021484
238.217361	1206.026001	1274.291626	1023.984375	-266.666595
238.596039	1119.556274	1342.557251	1126.382813	3.061214
238.974670	1119.556274	1240.158813	1169.617676	41.509411
239.353271	1137.760376	1353.934937	1110.454102	-12.631585
239.731842	1149.138062	1253.812012	1062.668213	-82.608757
240.110367	1155.964600	1376.690063	1110.454102	-20.618599
240.488876	1162.791138	1303.873413	1076.321289	-61.290371
240.867340	1060.392700	1424.476074	1130.933838	19.374996
241.245789	1146.862427	1356.210449	1144.586914	-1.086952
241.624176	1083.147949	1406.271851	1155.964600	22.535210
242.002548	1153.689087	1415.373901	1089.974487	-24.347839
242.380890	1121.831787	1447.231201	1105.903076	-4.895126
242.759186	1046.739624	1542.803101	1128.658325	16.513754
243.137451	1067.219238	1699.814087	1196.923950	20.503599
243.515686	1169.617676	1699.814087	1126.382813	-8.154499
243.893890	1151.413574	1652.028076	1158.240112	1.363632
244.272049	1115.005249	1670.232300	1135.484863	3.688512
244.650192	1105.903076	1588.313477	1115.005249	1.886811
245.028290	1130.933838	1604.242188	1194.648438	13.461541
245.406357	1130.933838	1558.731689	1105.903076	-5.851072
245.784393	1119.556274	1570.109375	1151.413574	7.070709
246.162384	1206.026001	1570.109375	1208.301514	0.624998
246.540359	1162.791138	1604.242188	1144.586914	-4.123724
246.918289	1137.760376	1626.997314	1119.556274	-3.720917
247.296204	1196.923950	1770.355225	1194.648438	-0.396824
247.674057	1153.689087	2018.386963	1110.454102	-5.000010
248.051895	1187.821899	2195.877686	1171.893188	-1.580142
248.429703	1226.505737	2168.571289	1149.138062	-8.212558
248.807465	1153.689087	2161.744873	1080.872437	-7.223475
249.185196	1155.964600	2045.693237	1171.893188	1.790275
249.562897	1108.178589	1902.335449	1171.893188	8.022923
249.940567	1101.352051	1961.498901	1176.444214	8.730156
250.318192	1160.515625	1781.732788	1210.577026	8.058599
250.695801	1144.586914	1695.262939	1201.474976	10.330586
251.073349	1096.801025	1647.477051	1169.617676	13.223138
251.450882	1160.515625	1529.150024	1171.893188	3.086409
251.828400	1167.342163	1556.456177	1194.648438	7.017551
252.205872	1101.352051	1683.885376	1165.066650	10.937503
252.583313	1110.454102	1736.222412	1176.444214	10.545454
252.960693	1158.240112	1654.303589	1219.679199	12.385327
253.338074	1128.658325	1834.069824	1231.056763	14.516129
253.715408	1140.035889	1804.488037	1278.842651	20.890408
254.092682	1176.444214	1890.957764	1180.995239	0.636940
254.469955	1185.546387	1695.262939	1178.719727	-1.339305
254.847198	1085.423462	1624.721802	1135.484863	9.282692
255.224365	1023.984375	1638.375000	1110.454102	14.074063
