Jaz Data File
++++++++++++++++++++++++++++++++++++
Date: Wed Feb 07 06:44:57 2024
User: jaz
Dark Spectrum Present: Yes
Reference Spectrum Present: Yes
Processed Spectrum Present: Yes
Spectrometers: JAZA3692
Integration Time (usec): 40000 (JAZA3692)
Spectra Averaged: 1 (JAZA3692)
Boxcar Smoothing: 0 (JAZA3692)
Correct for Electrical Dark: No (JAZA3692)
Strobe/Lamp Enabled: Yes (JAZA3692)
Correct for Detector Non-linearity: No (JAZA3692)
Correct for Stray Light: No (JAZA3692)
Number of Pixels in Processed Spectrum: 2048
>>>>>Begin Processed Spectral Data<<<<<
W	D	R	S	P
190.244385	0.000000	0.000000	0.000000	0.000000
190.627136	0.000000	0.000000	0.000000	0.000000
191.009842	1083.147949	1133.209351	1033.086426	-100.000244
191.392532	1112.729614	1119.556274	1014.882263	-1433.312134
191.775177	1108.178589	1076.321289	1076.321289	100.000000
192.157791	1074.045776	1146.862427	1051.290649	-31.249895
192.540390	1196.923950	1101.352051	1119.556274	80.952324
192.922943	1142.311401	1117.280762	1071.770264	281.819153
193.305481	1085.423462	1274.291626	1085.423462	0.000000
193.687958	1201.474976	1078.596802	1119.556274	66.666603
194.070419	1180.995239	1158.240112	1130.933838	220.000534
194.452866	1130.933838	1167.342163	1133.209351	6.249979
194.835251	1140.035889	1199.199463	1089.974487	-84.615242
195.217621	1155.964600	1133.209351	1046.739624	479.999023
195.599960	1092.250000	1165.066650	1128.658325	50.000000
195.982254	1162.791138	1099.076538	1085.423462	121.428490
196.364517	1101.352051	1133.209351	1110.454102	28.571320
196.746750	1085.423462	1192.372925	1035.361938	-46.808578
197.128952	1162.791138	1133.209351	1105.903076	192.307724
197.511139	1165.066650	1110.454102	1137.760376	50.000000
197.893280	1151.413574	1174.168701	1140.035889	-50.000538
198.275391	1110.454102	1140.035889	1119.556274	30.769516
198.657471	1199.199463	1171.893188	1089.974487	399.999542
199.039520	1146.862427	1137.760376	1087.698975	650.001343
199.421539	1180.995239	1174.168701	1128.658325	766.668457
199.803513	1124.107300	1119.556274	1160.515625	-800.002686
200.185471	1206.026001	1137.760376	1069.494751	200.000000
200.567383	1117.280762	1180.995239	1112.729614	-7.143035
200.949265	1126.382813	1158.240112	1037.637451	-278.571503
201.331131	1165.066650	1208.301514	1094.525513	-163.158005
201.712967	1183.270874	1144.586914	1071.770264	288.234741
202.094742	1124.107300	1169.617676	1130.933838	14.999960
202.476517	1160.515625	1149.138062	1076.321289	740.003235
202.858231	1153.689087	1133.209351	1067.219238	422.221497
203.239944	1165.066650	1149.138062	1108.178589	357.144379
203.621582	1171.893188	1137.760376	1083.147949	259.999786
204.003235	1174.168701	1140.035889	1130.933838	126.666573
204.384827	1153.689087	1203.750488	1028.535400	-250.000366
204.766388	1174.168701	1092.250000	1062.668213	136.111145
205.147934	1133.209351	1228.781250	1039.912964	-97.619057
205.529449	1060.392700	1231.056763	1069.494751	5.333314
205.910904	1135.484863	1135.484863	1089.974487	0.000000
206.292343	1167.342163	1126.382813	1071.770264	233.333527
206.673767	1169.617676	1149.138062	1069.494751	488.890686
207.055115	1185.546387	1231.056763	1103.627563	-180.000320
207.436462	1112.729614	1162.791138	1058.117188	-109.090622
207.817780	1137.760376	1171.893188	1094.525513	-126.666573
208.199051	1126.382813	1158.240112	1019.433350	-335.714142
208.580307	1174.168701	1142.311401	1069.494751	328.571320
208.961517	1112.729614	1115.005249	1003.504700	-4799.755859
209.342712	1051.290649	1130.933838	1039.912964	-14.285824
209.723846	1117.280762	1121.831787	1187.821899	1550.005371
210.104965	1160.515625	1151.413574	1014.882263	1600.005981
210.486069	1099.076538	1149.138062	1064.943726	-68.181732
210.867111	1140.035889	1162.791138	1069.494751	-309.999420
211.248123	1137.760376	1183.270874	1064.943726	-159.999680
211.629120	1167.342163	1185.546387	1126.382813	-224.999161
212.010071	1121.831787	1217.403687	1062.668213	-61.904781
212.390991	1165.066650	1146.862427	1076.321289	487.498749
212.771881	1117.280762	1192.372925	1103.627563	-18.181921
213.152756	1110.454102	1167.342163	1071.770264	-67.999924
213.533569	1149.138062	1124.107300	1071.770264	309.090851
213.914368	1142.311401	1108.178589	1051.290649	266.666443
214.295135	1180.995239	1099.076538	1151.413574	36.111004
214.675858	1140.035889	1185.546387	1103.627563	-79.999840
215.056549	1130.933838	1094.525513	1023.984375	293.750031
215.437225	1119.556274	1115.005249	1055.841675	1400.005371
215.817841	1171.893188	1217.403687	1162.791138	-19.999893
216.198441	1190.097412	1149.138062	1055.841675	327.777985
216.579025	1190.097412	1160.515625	1087.698975	346.153656
216.959549	1158.240112	1196.923950	1033.086426	-323.529663
217.340057	1135.484863	1151.413574	998.953613	-857.139343
217.720535	1124.107300	1135.484863	1010.331238	-1000.003784
218.100967	1144.586914	1194.648438	1035.361938	-218.181488
218.481369	1153.689087	1160.515625	1062.668213	-1333.338745
218.861740	1137.760376	1212.852539	1089.974487	-63.636318
219.242065	1094.525513	1199.199463	1008.055725	-82.608696
219.622391	1099.076538	1199.199463	1096.801025	-2.272719
220.002670	1099.076538	1165.066650	1053.566162	-68.965446
220.382919	1089.974487	1251.536499	1092.250000	1.408445
220.763123	1099.076538	1171.893188	1069.494751	-40.625031
221.143295	1146.862427	1192.372925	1064.943726	-179.999573
221.523453	1112.729614	1146.862427	1117.280762	13.333643
221.903549	1096.801025	1199.199463	1092.250000	-4.444428
222.283630	1108.178589	1165.066650	1115.005249	12.000163
222.663696	1140.035889	1144.586914	1101.352051	-850.002686
223.043701	1169.617676	1224.230225	1083.147949	-158.333069
223.423676	1178.719727	1130.933838	1121.831787	119.047569
223.803635	1135.484863	1092.250000	1071.770264	147.368576
224.183548	1121.831787	1203.750488	1101.352051	-25.000074
224.563431	1124.107300	1187.821899	1140.035889	24.999905
224.943283	1215.128052	1265.189575	1074.045776	-281.817780
225.323105	1074.045776	1178.719727	1130.933838	54.347870
225.702881	1133.209351	1221.954712	1064.943726	-76.923035
226.082642	1080.872437	1140.035889	1046.739624	-57.692394
226.462357	1089.974487	1151.413574	1064.943726	-40.740776
226.842041	1103.627563	1153.689087	1096.801025	-13.636297
227.221695	1178.719727	1208.301514	1060.392700	-399.999573
227.601318	1096.801025	1212.852539	1039.912964	-49.019665
227.980911	1130.933838	1240.158813	1151.413574	18.750050
228.360474	1083.147949	1171.893188	1087.698975	5.128191
228.739990	1096.801025	1210.577026	1039.912964	-50.000053
229.119476	1121.831787	1228.781250	1119.556274	-2.127652
229.498932	1069.494751	1240.158813	1067.219238	-1.333329
229.878372	1067.219238	1331.179688	1149.138062	31.034506
230.257736	1153.689087	1358.485962	1110.454102	-21.111155
230.637115	1087.698975	1308.424438	1080.872437	-3.092773
231.016449	1135.484863	1312.975464	1078.596802	-32.051308
231.395737	1096.801025	1237.883301	1039.912964	-40.322613
231.774994	1124.107300	1215.128052	1051.290649	-80.000053
232.154221	1140.035889	1303.873413	1035.361938	-63.888874
232.533417	1142.311401	1342.557251	1085.423462	-28.409048
232.912582	1128.658325	1231.056763	1126.382813	-2.222214
233.291702	1151.413574	1306.148926	1060.392700	-58.823582
233.670792	1155.964600	1231.056763	1069.494751	-115.151627
234.049866	1158.240112	1217.403687	1089.974487	-115.384552
234.428894	1096.801025	1144.586914	1055.841675	-85.714325
234.807892	1176.444214	1226.505737	1055.841675	-240.908646
235.186874	1126.382813	1274.291626	1008.055725	-80.000023
235.565781	1101.352051	1244.709839	1124.107300	15.873047
235.944687	1126.382813	1274.291626	1074.045776	-35.384663
236.323547	1146.862427	1303.873413	1117.280762	-18.840506
236.702377	1115.005249	1256.087524	1089.974487	-17.741961
237.081177	1124.107300	1258.363037	1133.209351	6.779636
237.459946	1215.128052	1290.220337	1110.454102	-139.393753
237.838669	1233.332275	1231.056763	1101.352051	5800.021484
238.217361	1206.026001	1274.291626	1092.250000	-166.666611
238.596039	1119.556274	1342.557251	1096.801025	-10.204103
238.974670	1119.556274	1240.158813	1119.556274	0.000000
239.353271	1137.760376	1353.934937	1078.596802	-27.368425
239.731842	1149.138062	1253.812012	1130.933838	-17.391359
240.110367	1155.964600	1376.690063	1112.729614	-19.587675
240.488876	1162.791138	1303.873413	1078.596802	-59.677471
240.867340	1060.392700	1424.476074	1128.658325	18.749998
241.245789	1146.862427	1356.210449	1035.361938	-53.260826
241.624176	1083.147949	1406.271851	1144.586914	19.014057
242.002548	1153.689087	1415.373901	1137.760376	-6.086983
242.380890	1121.831787	1447.231201	1153.689087	9.790215
242.759186	1046.739624	1542.803101	1185.546387	27.981653
243.137451	1067.219238	1699.814087	1121.831787	8.633101
243.515686	1169.617676	1699.814087	1119.556274	-9.442048
243.893890	1151.413574	1652.028076	1142.311401	-1.818200
244.272049	1115.005249	1670.232300	1092.250000	-4.098368
244.650192	1105.903076	1588.313477	1115.005249	1.886811
245.028290	1130.933838	1604.242188	1089.974487	-8.653841
245.406357	1130.933838	1558.731689	1080.872437	-11.702116
245.784393	1119.556274	1570.109375	1026.259888	-20.707079
246.162384	1206.026001	1570.109375	1117.280762	-24.374977
246.540359	1162.791138	1604.242188	1146.862427	-3.608262
246.918289	1137.760376	1626.997314	1080.872437	-11.627892
247.296204	1196.923950	1770.355225	1115.005249	-14.285706
247.674057	1153.689087	2018.386963	1206.026001	6.052624
248.051895	1187.821899	2195.877686	1126.382813	-6.094810
248.429703	1226.505737	2168.571289	1235.607788	0.966180
248.807465	1153.689087	2161.744873	1199.199463	4.514668
249.185196	1155.964600	2045.693237	1130.933838	-2.813303
249.562897	1108.178589	1902.335449	1217.403687	13.753592
249.940567	1101.352051	1961.498901	1183.270874	9.523818
250.318192	1160.515625	1781.732788	1155.964600	-0.732598
250.695801	1144.586914	1695.262939	1108.178589	-6.611569
251.073349	1096.801025	1647.477051	1119.556274	4.132239
251.450882	1160.515625	1529.150024	1178.719727	4.938253
251.828400	1167.342163	1556.456177	1158.240112	-2.339173
252.205872	1101.352051	1683.885376	1165.066650	10.937503
252.583313	1110.454102	1736.222412	1133.209351	3.636370
252.960693	1158.240112	1654.303589	1128.658325	-5.963307
253.338074	1128.658325	1834.069824	1215.128052	12.258055
253.715408	1140.035889	1804.488037	1096.801025	-6.506844
254.092682	1176.444214	1890.957764	1169.617676	-0.955411
254.469955	1185.546387	1695.262939	1146.862427	-7.589308
254.847198	1085.423462	1624.721802	1183.270874	18.143467
