Jaz Data File
++++++++++++++++++++++++++++++++++++
Date: Wed Feb 07 06:49:09 2024
User: jaz
Dark Spectrum Present: Yes
Reference Spectrum Present: Yes
Processed Spectrum Present: Yes
Spectrometers: JAZA3692
Integration Time (usec): 40000 (JAZA3692)
Spectra Averaged: 1 (JAZA3692)
Boxcar Smoothing: 0 (JAZA3692)
Correct for Electrical Dark: No (JAZA3692)
Strobe/Lamp Enabled: Yes (JAZA3692)
Correct for Detector Non-linearity: No (JAZA3692)
Correct for Stray Light: No (JAZA3692)
Number of Pixels in Processed Spectrum: 2048
>>>>>Begin Processed Spectral Data<<<<<
W	D	R	S	P
190.244385	0.000000	0.000000	0.000000	0.000000
190.627136	0.000000	0.000000	0.000000	0.000000
191.009842	971.647400	973.922913	962.545288	-400.002686
191.392532	1005.780212	971.647400	967.096313	113.333466
191.775177	1010.331238	1008.055725	973.922913	1600.005371
192.157791	998.953613	969.371887	1005.780212	-23.077082
192.540390	1026.259888	987.576050	998.953613	70.588326
192.922943	1017.157776	1030.810913	971.647400	-333.332733
193.305481	1058.117188	939.790100	955.718750	86.538460
193.687958	1105.903076	1035.361938	1044.463989	87.096817
194.070419	1085.423462	1010.331238	1049.015137	48.484814
194.452866	1103.627563	1171.893188	1049.015137	-79.999893
194.835251	1012.606750	998.953613	1019.433350	-50.000225
195.217621	1055.841675	1064.943726	1017.157776	-425.002014
195.599960	1071.770264	1035.361938	1046.739624	68.749771
195.982254	1076.321289	1089.974487	1051.290649	-183.331696
196.364517	1028.535400	1039.912964	1058.117188	260.001068
196.746750	1033.086426	1076.321289	1001.229126	-73.684288
197.128952	1021.708862	1035.361938	1023.984375	16.666666
197.511139	1051.290649	1074.045776	1014.882263	-160.000809
197.893280	983.024963	1087.698975	1042.188477	56.521683
198.275391	1042.188477	1035.361938	1042.188477	-0.000000
198.657471	1089.974487	1037.637451	1069.494751	39.130486
199.039520	1046.739624	1069.494751	1083.147949	160.000534
199.421539	1017.157776	1064.943726	1105.903076	185.714218
199.803513	1083.147949	973.922913	1103.627563	-18.749928
200.185471	1008.055725	1012.606750	985.300537	-500.001343
200.567383	1033.086426	1071.770264	985.300537	-123.529335
200.949265	1030.810913	1005.780212	1010.331238	81.818230
201.331131	1012.606750	1083.147949	1055.841675	61.290318
201.712967	1026.259888	1044.463989	1033.086426	37.500000
202.094742	1012.606750	1035.361938	1021.708862	40.000160
202.476517	1058.117188	1046.739624	1044.463989	120.001076
202.858231	1039.912964	1005.780212	1010.331238	86.666687
203.239944	996.678101	1021.708862	1069.494751	290.908661
203.621582	998.953613	1021.708862	1049.015137	219.999893
204.003235	1076.321289	1033.086426	1028.535400	110.526283
204.384827	1049.015137	1033.086426	1035.361938	85.714394
204.766388	1096.801025	985.300537	1005.780212	81.632660
205.147934	992.127075	1042.188477	989.851563	-4.545444
205.529449	1026.259888	1035.361938	1037.637451	125.000000
205.910904	1028.535400	1001.229126	1055.841675	-100.000000
206.292343	1001.229126	1005.780212	998.953613	-49.999329
206.673767	1021.708862	1003.504700	937.514587	462.500122
207.055115	1044.463989	1094.525513	1053.566162	18.181973
207.436462	1023.984375	1005.780212	1019.433350	24.999916
207.817780	1028.535400	1051.290649	955.718750	-319.999359
208.199051	1037.637451	1055.841675	876.075500	-887.497070
208.580307	1053.566162	1026.259888	1008.055725	166.666595
208.961517	983.024963	1012.606750	1005.780212	76.923172
209.342712	1026.259888	1058.117188	1037.637451	35.714149
209.723846	1001.229126	1030.810913	955.718750	-153.845932
210.104965	1078.596802	1055.841675	948.892151	570.001892
210.486069	998.953613	1094.525513	1026.259888	28.571447
210.867111	1008.055725	1069.494751	942.065613	-107.407486
211.248123	992.127075	1055.841675	957.994263	-53.571415
211.629120	1003.504700	1019.433350	962.545288	-257.143036
212.010071	1026.259888	1053.566162	1062.668213	133.333191
212.390991	1001.229126	1099.076538	1001.229126	0.000000
212.771881	1012.606750	1026.259888	1012.606750	0.000000
213.152756	1012.606750	1044.463989	971.647400	-128.571564
213.533569	969.371887	1044.463989	951.167725	-24.242447
213.914368	1003.504700	1051.290649	987.576050	-33.333332
214.295135	1051.290649	1099.076538	992.127075	-123.809715
214.675858	1033.086426	980.749451	964.820801	130.434799
215.056549	1019.433350	964.820801	1053.566162	-62.499943
215.437225	996.678101	1046.739624	989.851563	-13.636297
215.817841	937.514587	1019.433350	957.994263	24.999981
216.198441	921.585938	1074.045776	1003.504700	53.731373
216.579025	964.820801	1049.015137	983.024963	21.621599
216.959549	1019.433350	1042.188477	1012.606750	-30.000269
217.340057	1033.086426	987.576050	998.953613	75.000069
217.720535	996.678101	1021.708862	992.127075	-18.181730
218.100967	957.994263	1069.494751	1049.015137	81.632713
218.481369	1035.361938	1069.494751	983.024963	-153.333328
218.861740	1133.209351	1042.188477	978.473938	169.999924
219.242065	1010.331238	1112.729614	1005.780212	-4.444431
219.622391	1051.290649	1089.974487	1026.259888	-64.705994
220.002670	1060.392700	1115.005249	992.127075	-124.999886
220.382919	1001.229126	1153.689087	1019.433350	11.940331
220.763123	1096.801025	1039.912964	901.106262	343.999695
221.143295	1028.535400	1096.801025	955.718750	-106.666641
221.523453	1060.392700	1099.076538	994.402588	-170.588333
221.903549	1008.055725	1101.352051	1008.055725	0.000000
222.283630	1051.290649	1026.259888	1035.361938	63.636539
222.663696	1010.331238	1046.739624	985.300537	-68.749825
223.043701	989.851563	1039.912964	939.790100	-100.000122
223.423676	967.096313	1044.463989	960.269775	-8.823502
223.803635	1051.290649	1067.219238	996.678101	-342.858673
224.183548	1010.331238	1135.484863	1017.157776	5.454527
224.563431	1049.015137	1062.668213	946.616638	-750.003113
224.943283	1071.770264	1035.361938	1023.984375	131.249893
225.323105	1010.331238	1078.596802	951.167725	-86.666702
225.702881	994.402588	973.922913	946.616638	233.333527
226.082642	1014.882263	1046.739624	1001.229126	-42.857090
226.462357	1026.259888	1028.535400	1044.463989	800.000000
226.842041	1026.259888	1083.147949	926.136963	-175.999893
227.221695	1035.361938	1089.974487	992.127075	-79.166534
227.601318	1010.331238	1087.698975	969.371887	-52.941124
227.980911	969.371887	1105.903076	983.024963	9.999969
228.360474	996.678101	1078.596802	1005.780212	11.111153
228.739990	1042.188477	1085.423462	1051.290649	21.052795
229.119476	998.953613	1183.270874	1080.872437	44.444466
229.498932	1044.463989	1178.719727	1014.882263	-22.033863
229.878372	1060.392700	1096.801025	1023.984375	-100.000000
230.257736	969.371887	1294.771362	1017.157776	14.685300
230.637115	978.473938	1217.403687	1099.076538	50.476177
231.016449	930.687988	1267.465088	1023.984375	27.702711
231.395737	976.198425	1176.444214	1083.147949	53.409126
231.774994	1037.637451	1215.128052	1014.882263	-12.820503
232.154221	987.576050	1190.097412	976.198425	-5.617987
232.533417	1008.055725	1242.434326	944.341125	-27.184479
232.912582	1037.637451	1192.372925	1037.637451	0.000000
233.291702	1033.086426	1180.995239	983.024963	-33.846165
233.670792	989.851563	1153.689087	1026.259888	22.222214
234.049866	1026.259888	1124.107300	1044.463989	18.604582
234.428894	1014.882263	1105.903076	1014.882263	0.000000
234.807892	992.127075	1187.821899	1085.423462	47.674427
235.186874	1008.055725	1155.964600	1023.984375	10.769232
235.565781	1044.463989	1262.914063	983.024963	-28.124973
235.944687	985.300537	1240.158813	1001.229126	6.249979
236.323547	992.127075	1160.515625	983.024963	-5.405422
236.702377	1026.259888	1215.128052	1076.321289	26.506002
237.081177	1062.668213	1224.230225	1017.157776	-28.169022
237.459946	1028.535400	1187.821899	1014.882263	-8.571434
237.838669	1003.504700	1269.740601	987.576050	-5.982908
238.217361	1035.361938	1176.444214	1042.188477	4.838693
238.596039	1017.157776	1224.230225	1026.259888	4.395617
238.974670	1053.566162	1176.444214	1003.504700	-40.740768
239.353271	1028.535400	1190.097412	1062.668213	21.126757
239.731842	1128.658325	1265.189575	1028.535400	-73.333336
240.110367	1058.117188	1285.669312	1044.463989	-6.000031
240.488876	1023.984375	1290.220337	932.963501	-34.188046
240.867340	1035.361938	1283.393677	992.127075	-17.431181
241.245789	955.718750	1335.730713	919.310425	-9.580836
241.624176	930.687988	1374.414551	971.647400	9.230778
242.002548	1026.259888	1353.934937	1010.331238	-4.861112
242.380890	1026.259888	1415.373901	1017.157776	-2.339189
242.759186	948.892151	1501.843750	1003.504700	9.876552
243.137451	1049.015137	1501.843750	998.953613	-11.055291
243.515686	1044.463989	1581.486938	1058.117188	2.542386
243.893890	998.953613	1686.160889	1155.964600	22.847691
244.272049	1094.525513	1561.007324	1092.250000	-0.487803
244.650192	1014.882263	1474.537476	1030.810913	3.465347
245.028290	1112.729614	1483.639526	1012.606750	-26.993849
245.406357	951.167725	1501.843750	1069.494751	21.487593
245.784393	985.300537	1451.782227	1035.361938	10.731697
246.162384	1026.259888	1481.364014	1080.872437	12.000011
246.540359	1087.698975	1504.119263	1046.739624	-9.836061
246.918289	1037.637451	1649.752563	1030.810913	-1.115238
247.296204	1033.086426	1713.467163	1062.668213	4.347828
247.674057	992.127075	1954.672363	1151.413574	16.548468
248.051895	955.718750	2175.397949	1162.791138	16.977612
248.429703	1012.606750	2120.785400	1092.250000	7.186860
248.807465	985.300537	2104.856689	1083.147949	8.739840
249.185196	1067.219238	2034.315552	1180.995239	11.764702
249.562897	1033.086426	1827.243164	1092.250000	7.449861
249.940567	998.953613	1774.906250	1124.107300	16.129036
250.318192	1076.321289	1681.609863	1042.188477	-5.639097
250.695801	1085.423462	1674.783325	1037.637451	-8.108121
251.073349	1014.882263	1558.731689	1078.596802	11.715474
251.450882	1044.463989	1611.068726	1133.209351	15.662658
251.828400	1053.566162	1492.741699	1092.250000	8.808286
252.205872	1051.290649	1540.527588	1030.810913	-4.186057
252.583313	1067.219238	1638.375000	1058.117188	-1.593620
252.960693	1014.882263	1729.395752	1069.494751	7.643311
253.338074	1005.780212	1733.946899	1099.076538	12.812496
253.715408	1023.984375	1820.416626	1083.147949	7.428576
254.092682	1074.045776	1679.334351	1153.689087	13.157907
254.469955	1051.290649	1592.864502	1076.321289	4.621833
254.847198	1001.229126	1601.966675	1130.933838	21.590912
255.224365	1035.361938	1517.772339	1096.801025	12.735854
255.601563	1133.209351	1483.639526	1144.586914	3.246742
255.978683	928.412476	1595.140137	1069.494751	21.160406
256.355743	1062.668213	1567.833862	1049.015137	-2.702693
256.732819	1049.015137	1547.354126	1046.739624	-0.456619
