Jaz Data File
++++++++++++++++++++++++++++++++++++
Date: Wed Feb 07 06:35:21 2024
User: jaz
Dark Spectrum Present: Yes
Reference Spectrum Present: Yes
Processed Spectrum Present: Yes
Spectrometers: JAZA3692
Integration Time (usec): 40000 (JAZA3692)
Spectra Averaged: 1 (JAZA3692)
Boxcar Smoothing: 0 (JAZA3692)
Correct for Electrical Dark: No (JAZA3692)
Strobe/Lamp Enabled: Yes (JAZA3692)
Correct for Detector Non-linearity: No (JAZA3692)
Correct for Stray Light: No (JAZA3692)
Number of Pixels in Processed Spectrum: 2048
>>>>>Begin Processed Spectral Data<<<<<
W	D	R	S	P
190.244385	0.000000	0.000000	0.000000	0.000000
190.627136	0.000000	0.000000	0.000000	0.000000
191.009842	1424.476074	1381.241089	1290.220337	310.525696
191.392532	1344.832764	1360.761475	1276.567139	-428.569672
191.775177	1369.863525	1378.965576	1276.567139	-1025.004028
192.157791	1410.822876	1438.129150	1351.659302	-216.666595
192.540390	1367.588013	1419.924927	1335.730713	-60.869656
192.922943	1408.547363	1406.271851	1360.761475	2100.005371
193.305481	1335.730713	1406.271851	1328.904175	-9.677386
193.687958	1381.241089	1431.302612	1356.210449	-49.999756
194.070419	1347.108276	1358.485962	1276.567139	-619.995483
194.452866	1447.231201	1442.680176	1360.761475	1900.005371
194.835251	1369.863525	1392.618774	1342.557251	-119.999893
195.217621	1367.588013	1344.832764	1376.690063	-39.999786
195.599960	1438.129150	1388.067749	1285.669312	304.545685
195.982254	1456.333252	1442.680176	1278.842651	1300.004517
196.364517	1490.466064	1365.312500	1319.802124	136.363632
196.746750	1449.506714	1429.027100	1328.904175	588.890686
197.128952	1390.343262	1353.934937	1338.006226	143.750183
197.511139	1444.955688	1456.333252	1340.281738	-920.003235
197.893280	1374.414551	1372.139038	1310.699951	2800.010742
198.275391	1399.445313	1340.281738	1385.792114	23.077034
198.657471	1410.822876	1392.618774	1303.873413	587.502014
199.039520	1394.894287	1431.302612	1367.588013	-75.000084
199.421539	1403.996338	1419.924927	1340.281738	-400.001526
199.803513	1435.853638	1440.404663	1310.699951	-2750.010742
200.185471	1406.271851	1381.241089	1351.659302	218.181732
200.567383	1385.792114	1429.027100	1317.526489	-157.894409
200.949265	1456.333252	1431.302612	1376.690063	318.182800
201.331131	1392.618774	1449.506714	1317.526489	-132.000366
201.712967	1378.965576	1401.720825	1317.526489	-269.999634
202.094742	1442.680176	1435.853638	1299.322388	2100.007080
202.476517	1401.720825	1458.608887	1344.832764	-100.000000
202.858231	1408.547363	1378.965576	1317.526489	307.692261
203.239944	1415.373901	1392.618774	1315.250977	440.001617
203.621582	1376.690063	1472.261963	1253.812012	-128.571320
204.003235	1331.179688	1367.588013	1331.179688	0.000000
204.384827	1328.904175	1444.955688	1344.832764	13.725447
204.766388	1369.863525	1438.129150	1276.567139	-136.666718
205.147934	1351.659302	1447.231201	1274.291626	-80.952324
205.529449	1392.618774	1433.578125	1331.179688	-150.000153
205.910904	1444.955688	1460.884399	1310.699951	-842.853760
206.292343	1360.761475	1476.812988	1262.914063	-84.313774
206.673767	1429.027100	1413.098389	1340.281738	557.140869
207.055115	1456.333252	1390.343262	1381.241089	113.793266
207.436462	1403.996338	1431.302612	1338.006226	-241.666473
207.817780	1431.302612	1390.343262	1331.179688	244.444611
208.199051	1358.485962	1463.159912	1326.628662	-30.434793
208.580307	1424.476074	1422.200562	1274.291626	6600.026855
208.961517	1388.067749	1454.057739	1262.914063	-189.655563
209.342712	1440.404663	1431.302612	1287.944824	1675.005371
209.723846	1390.343262	1463.159912	1369.863525	-28.125072
210.104965	1403.996338	1388.067749	1328.904175	471.430115
210.486069	1426.751587	1447.231201	1303.873413	-600.002380
210.867111	1383.516602	1456.333252	1315.250977	-93.750023
211.248123	1385.792114	1390.343262	1281.118164	-2299.946289
211.629120	1385.792114	1424.476074	1328.904175	-147.058212
212.010071	1456.333252	1474.537476	1365.312500	-499.997986
212.390991	1406.271851	1378.965576	1260.638550	533.332764
212.771881	1349.383789	1397.169800	1260.638550	-185.713852
213.152756	1401.720825	1438.129150	1338.006226	-175.000076
213.533569	1392.618774	1417.649414	1301.597900	-363.637817
213.914368	1331.179688	1429.027100	1283.393677	-48.837276
214.295135	1383.516602	1410.822876	1285.669312	-358.332611
214.675858	1433.578125	1458.608887	1312.975464	-481.817780
215.056549	1417.649414	1415.373901	1242.434326	7700.026855
215.437225	1365.312500	1431.302612	1360.761475	-6.896526
215.817841	1458.608887	1413.098389	1367.588013	199.999725
216.198441	1360.761475	1392.618774	1338.006226	-71.428680
216.579025	1356.210449	1378.965576	1322.077637	-150.000534
216.959549	1360.761475	1408.547363	1369.863525	19.047571
217.340057	1413.098389	1442.680176	1392.618774	-69.230484
217.720535	1378.965576	1360.761475	1219.679199	875.002686
218.100967	1419.924927	1415.373901	1331.179688	1950.005371
218.481369	1340.281738	1435.853638	1297.046875	-45.238049
218.861740	1401.720825	1458.608887	1358.485962	-75.999886
219.242065	1424.476074	1367.588013	1281.118164	251.999985
219.622391	1338.006226	1510.945801	1310.699951	-15.789489
220.002670	1358.485962	1447.231201	1285.669312	-82.051331
220.382919	1338.006226	1365.312500	1347.108276	33.333183
220.763123	1381.241089	1479.088501	1353.934937	-27.906872
221.143295	1378.965576	1358.485962	1283.393677	466.668457
221.523453	1363.036987	1399.445313	1372.139038	24.999916
221.903549	1406.271851	1485.915039	1347.108276	-74.285789
222.283630	1312.975464	1469.986450	1374.414551	39.130440
222.663696	1401.720825	1435.853638	1262.914063	-406.666656
223.043701	1376.690063	1385.792114	1294.771362	-900.002686
223.423676	1353.934937	1488.190552	1269.740601	-62.711967
223.803635	1381.241089	1472.261963	1253.812012	-139.999832
224.183548	1394.894287	1442.680176	1278.842651	-242.857544
224.563431	1438.129150	1431.302612	1297.046875	2066.673828
224.943283	1419.924927	1451.782227	1367.588013	-164.285461
225.323105	1388.067749	1372.139038	1274.291626	714.283325
225.702881	1442.680176	1449.506714	1312.975464	-1900.007202
226.082642	1326.628662	1465.435425	1272.016113	-39.344299
226.462357	1374.414551	1458.608887	1281.118164	-110.810760
226.842041	1303.873413	1451.782227	1322.077637	12.307734
227.221695	1326.628662	1467.710938	1308.424438	-12.903268
227.601318	1388.067749	1417.649414	1333.455200	-184.616211
227.980911	1419.924927	1488.190552	1324.353149	-139.999863
228.360474	1397.169800	1510.945801	1333.455200	-56.000034
228.739990	1374.414551	1508.670288	1283.393677	-67.796638
229.119476	1372.139038	1504.119263	1344.832764	-20.689671
229.498932	1403.996338	1604.242188	1331.179688	-36.363625
229.878372	1460.884399	1599.691162	1319.802124	-101.639336
230.257736	1358.485962	1702.089600	1317.526489	-11.920559
230.637115	1465.435425	1679.334351	1258.363037	-96.808525
231.016449	1456.333252	1658.854614	1249.260864	-102.247185
231.395737	1363.036987	1599.691162	1306.148926	-24.038479
231.774994	1419.924927	1561.007324	1290.220337	-91.935349
232.154221	1449.506714	1608.793213	1349.383789	-62.857132
232.533417	1406.271851	1583.762451	1374.414551	-17.948725
232.912582	1401.720825	1567.833862	1308.424438	-56.164398
233.291702	1338.006226	1581.486938	1297.046875	-16.822420
233.670792	1374.414551	1611.068726	1322.077637	-22.115356
234.049866	1419.924927	1615.619751	1349.383789	-36.046501
234.428894	1413.098389	1604.242188	1312.975464	-52.380943
234.807892	1351.659302	1495.017212	1278.842651	-50.793606
235.186874	1285.669312	1524.598877	1342.557251	23.809502
235.565781	1460.884399	1601.966675	1269.740601	-135.483917
235.944687	1383.516602	1601.966675	1349.383789	-15.624995
236.323547	1397.169800	1622.446289	1294.771362	-45.454559
236.702377	1383.516602	1665.681274	1301.597900	-29.032232
237.081177	1381.241089	1581.486938	1331.179688	-24.999969
237.459946	1372.139038	1706.640625	1283.393677	-26.530624
237.838669	1422.200562	1615.619751	1319.802124	-52.941200
238.217361	1381.241089	1608.793213	1344.832764	-15.999993
238.596039	1363.036987	1670.232300	1237.883301	-40.740753
238.974670	1385.792114	1622.446289	1342.557251	-18.269217
239.353271	1344.832764	1674.783325	1297.046875	-14.482742
239.731842	1347.108276	1611.068726	1335.730713	-4.310329
240.110367	1383.516602	1704.365112	1349.383789	-10.638295
240.488876	1356.210449	1722.569214	1328.904175	-7.453424
240.867340	1458.608887	1806.763550	1308.424438	-43.137280
241.245789	1401.720825	1818.141113	1376.690063	-6.010937
241.624176	1456.333252	1804.488037	1333.455200	-35.294086
242.002548	1394.894287	1904.610962	1328.904175	-12.946430
242.380890	1415.373901	1902.335449	1342.557251	-14.953265
242.759186	1356.210449	1943.294800	1308.424438	-8.139547
243.137451	1356.210449	2029.764526	1378.965576	3.378367
243.515686	1331.179688	2123.060791	1415.373901	10.632178
243.893890	1310.699951	2204.979736	1347.108276	4.071246
244.272049	1495.017212	2209.530762	1349.383789	-20.382177
244.650192	1447.231201	2054.795166	1324.353149	-20.224710
245.028290	1426.751587	2029.764526	1312.975464	-18.867941
245.406357	1403.996338	1925.090576	1301.597900	-19.650656
245.784393	1394.894287	1904.610962	1228.781250	-32.589287
246.162384	1388.067749	1925.090576	1324.353149	-11.864411
246.540359	1385.792114	2029.764526	1406.271851	3.180219
246.918289	1403.996338	2134.438477	1415.373901	1.557627
247.296204	1378.965576	2218.632813	1429.027100	5.962067
247.674057	1394.894287	2473.491211	1388.067749	-0.632909
248.051895	1383.516602	2769.308838	1422.200562	2.791469
248.429703	1376.690063	2805.717041	1458.608887	5.732490
248.807465	1315.250977	2810.268311	1467.710938	10.197872
249.185196	1392.618774	2582.716064	1472.261963	6.692158
249.562897	1340.281738	2416.603027	1476.812988	12.684990
249.940567	1367.588013	2341.510986	1426.751587	6.074769
250.318192	1419.924927	2214.081787	1417.649414	-0.286532
250.695801	1399.445313	2157.193604	1374.414551	-3.303308
251.073349	1449.506714	2066.172852	1415.373901	-5.535056
251.450882	1392.618774	1972.876587	1442.680176	8.627441
251.828400	1406.271851	2020.662476	1458.608887	8.518528
252.205872	1358.485962	2107.132324	1358.485962	0.000000
252.583313	1378.965576	2118.509766	1408.547363	4.000003
252.960693	1381.241089	2164.020264	1397.169800	2.034892
253.338074	1374.414551	2234.561523	1367.588013	-0.793648
253.715408	1415.373901	2216.357178	1458.608887	5.397739
254.092682	1360.761475	2091.203613	1353.934937	-0.934576
254.469955	1390.343262	2093.479248	1369.863525	-2.912628
