Jaz Data File
++++++++++++++++++++++++++++++++++++
Date: Wed Feb 07 06:41:18 2024
User: jaz
Dark Spectrum Present: Yes
Reference Spectrum Present: Yes
Processed Spectrum Present: Yes
Spectrometers: JAZA3692
Integration Time (usec): 40000 (JAZA3692)
Spectra Averaged: 1 (JAZA3692)
Boxcar Smoothing: 0 (JAZA3692)
Correct for Electrical Dark: No (JAZA3692)
Strobe/Lamp Enabled: Yes (JAZA3692)
Correct for Detector Non-linearity: No (JAZA3692)
Correct for Stray Light: No (JAZA3692)
Number of Pixels in Processed Spectrum: 2048
>>>>>Begin Processed Spectral Data<<<<<
W	D	R	S	P
190.244385	0.000000	0.000000	0.000000	0.000000
190.627136	0.000000	0.000000	0.000000	0.000000
191.009842	1133.209351	1160.515625	1149.138062	58.333519
191.392532	1219.679199	1183.270874	1169.617676	137.500214
191.775177	1244.709839	1165.066650	1099.076538	182.857193
192.157791	1153.689087	1171.893188	1167.342163	75.000000
192.540390	1174.168701	1199.199463	1137.760376	-145.454330
192.922943	1128.658325	1212.852539	1128.658325	0.000000
193.305481	1171.893188	1212.852539	1206.026001	83.333382
193.687958	1210.577026	1221.954712	1226.505737	139.999573
194.070419	1153.689087	1167.342163	1215.128052	450.000885
194.452866	1206.026001	1203.750488	1237.883301	-1400.005371
194.835251	1194.648438	1260.638550	1208.301514	20.689579
195.217621	1242.434326	1187.821899	1178.719727	116.666855
195.599960	1226.505737	1178.719727	1256.087524	-61.904701
195.982254	1228.781250	1260.638550	1240.158813	35.714149
196.364517	1208.301514	1178.719727	1180.995239	92.307724
196.746750	1240.158813	1149.138062	1249.260864	-9.999973
197.128952	1224.230225	1199.199463	1206.026001	72.727409
197.511139	1180.995239	1171.893188	1260.638550	-875.004028
197.893280	1224.230225	1187.821899	1244.709839	-56.249813
198.275391	1192.372925	1224.230225	1233.332275	128.571320
198.657471	1206.026001	1251.536499	1192.372925	-29.999840
199.039520	1203.750488	1237.883301	1169.617676	-100.000000
199.421539	1208.301514	1210.577026	1178.719727	-1300.005371
199.803513	1180.995239	1153.689087	1240.158813	-216.667557
200.185471	1180.995239	1196.923950	1171.893188	-57.142418
200.567383	1221.954712	1244.709839	1215.128052	-30.000536
200.949265	1119.556274	1208.301514	1187.821899	76.923141
201.331131	1167.342163	1199.199463	1158.240112	-28.571320
201.712967	1192.372925	1183.270874	1187.821899	50.000000
202.094742	1176.444214	1171.893188	1167.342163	200.000000
202.476517	1226.505737	1240.158813	1221.954712	-33.333332
202.858231	1153.689087	1158.240112	1176.444214	500.000000
203.239944	1183.270874	1167.342163	1155.964600	171.428024
203.621582	1192.372925	1190.097412	1135.484863	2500.010742
204.003235	1237.883301	1194.648438	1217.403687	47.368286
204.384827	1219.679199	1251.536499	1219.679199	0.000000
204.766388	1167.342163	1228.781250	1221.954712	88.888931
205.147934	1185.546387	1176.444214	1169.617676	174.998993
205.529449	1146.862427	1231.056763	1221.954712	89.189240
205.910904	1201.474976	1242.434326	1185.546387	-38.888775
206.292343	1117.280762	1201.474976	1203.750488	102.702698
206.673767	1267.465088	1233.332275	1174.168701	273.333435
207.055115	1176.444214	1237.883301	1126.382813	-81.481354
207.436462	1251.536499	1199.199463	1149.138062	195.651962
207.817780	1151.413574	1224.230225	1206.026001	74.999916
208.199051	1235.607788	1217.403687	1171.893188	350.001343
208.580307	1080.872437	1219.679199	1149.138062	49.180332
208.961517	1212.852539	1187.821899	1185.546387	109.090912
209.342712	1174.168701	1215.128052	1199.199463	61.111225
209.723846	1246.985352	1190.097412	1233.332275	23.999949
210.104965	1167.342163	1144.586914	1094.525513	319.999359
210.486069	1224.230225	1194.648438	1201.474976	76.923172
210.867111	1128.658325	1231.056763	1160.515625	31.111118
211.248123	1233.332275	1201.474976	1183.270874	157.142639
211.629120	1115.005249	1212.852539	1203.750488	90.697701
212.010071	1219.679199	1167.342163	1192.372925	52.173904
212.390991	1171.893188	1180.995239	1130.933838	-450.001343
212.771881	1126.382813	1187.821899	1171.893188	74.073975
213.152756	1208.301514	1265.189575	1219.679199	20.000130
213.533569	1142.311401	1176.444214	1217.403687	220.000290
213.914368	1165.066650	1137.760376	1199.199463	-124.999886
214.295135	1215.128052	1174.168701	1176.444214	94.444458
214.675858	1128.658325	1151.413574	1165.066650	159.999680
215.056549	1203.750488	1160.515625	1169.617676	78.947426
215.437225	1124.107300	1199.199463	1140.035889	21.212051
215.817841	1212.852539	1237.883301	1228.781250	63.636539
216.198441	1183.270874	1178.719727	1155.964600	599.986572
216.579025	1183.270874	1242.434326	1121.831787	-103.846352
216.959549	1206.026001	1199.199463	1196.923950	133.333328
217.340057	1140.035889	1258.363037	1126.382813	-11.538414
217.720535	1217.403687	1146.862427	1167.342163	70.967720
218.100967	1135.484863	1235.607788	1149.138062	13.636436
218.481369	1190.097412	1169.617676	1171.893188	88.888954
218.861740	1226.505737	1185.546387	1226.505737	-0.000000
219.242065	1231.056763	1274.291626	1215.128052	-36.842285
219.622391	1212.852539	1178.719727	1231.056763	-53.333500
220.002670	1162.791138	1201.474976	1167.342163	11.764668
220.382919	1146.862427	1217.403687	1208.301514	87.096664
220.763123	1262.914063	1233.332275	1194.648438	230.769104
221.143295	1226.505737	1165.066650	1149.138062	125.925819
221.523453	1165.066650	1130.933838	1110.454102	160.000137
221.903549	1162.791138	1160.515625	1174.168701	-500.000000
222.283630	1089.974487	1221.954712	1178.719727	67.241318
222.663696	1237.883301	1192.372925	1121.831787	255.000122
223.043701	1155.964600	1235.607788	1192.372925	45.714298
223.423676	1158.240112	1206.026001	1185.546387	57.142967
223.803635	1178.719727	1206.026001	1135.484863	-158.333069
224.183548	1190.097412	1165.066650	1224.230225	-136.363464
224.563431	1196.923950	1253.812012	1187.821899	-15.999931
224.943283	1194.648438	1167.342163	1126.382813	249.999771
225.323105	1178.719727	1228.781250	1217.403687	77.272835
225.702881	1215.128052	1210.577026	1174.168701	900.002686
226.082642	1187.821899	1246.985352	1187.821899	0.000000
226.462357	1203.750488	1226.505737	1215.128052	49.999733
226.842041	1167.342163	1287.944824	1206.026001	32.075443
227.221695	1233.332275	1233.332275	1203.750488	0.000000
227.601318	1151.413574	1233.332275	1249.260864	119.444389
227.980911	1183.270874	1283.393677	1155.964600	-27.272783
228.360474	1237.883301	1206.026001	1221.954712	49.999809
228.739990	1167.342163	1242.434326	1206.026001	51.515148
229.119476	1137.760376	1226.505737	1180.995239	48.717884
229.498932	1126.382813	1338.006226	1199.199463	34.408600
229.878372	1199.199463	1385.792114	1153.689087	-24.390230
230.257736	1190.097412	1472.261963	1206.026001	5.645142
230.637115	1133.209351	1426.751587	1167.342163	11.627905
231.016449	1190.097412	1372.139038	1133.209351	-31.250029
231.395737	1206.026001	1372.139038	1185.546387	-12.328722
231.774994	1199.199463	1299.322388	1180.995239	-18.181873
232.154221	1201.474976	1438.129150	1203.750488	0.961535
232.533417	1171.893188	1240.158813	1160.515625	-16.666607
232.912582	1201.474976	1347.108276	1169.617676	-21.875010
233.291702	1206.026001	1322.077637	1226.505737	17.647089
233.670792	1201.474976	1285.669312	1187.821899	-16.216146
234.049866	1196.923950	1267.465088	1176.444214	-29.032331
234.428894	1144.586914	1347.108276	1185.546387	20.224766
234.807892	1174.168701	1317.526489	1187.821899	9.523862
235.186874	1219.679199	1422.200562	1237.883301	8.988731
235.565781	1151.413574	1429.027100	1201.474976	18.032768
235.944687	1174.168701	1397.169800	1169.617676	-2.040808
236.323547	1135.484863	1347.108276	1231.056763	45.161308
236.702377	1160.515625	1342.557251	1130.933838	-16.250013
237.081177	1155.964600	1388.067749	1165.066650	3.921554
237.459946	1119.556274	1417.649414	1119.556274	0.000000
237.838669	1267.465088	1344.832764	1242.434326	-32.352997
238.217361	1149.138062	1342.557251	1226.505737	40.000000
238.596039	1217.403687	1278.842651	1165.066650	-85.185410
238.974670	1160.515625	1315.250977	1190.097412	19.117666
239.353271	1208.301514	1383.516602	1171.893188	-20.779219
239.731842	1149.138062	1422.200562	1146.862427	-0.833375
240.110367	1180.995239	1335.730713	1105.903076	-48.529377
240.488876	1187.821899	1422.200562	1194.648438	2.912611
240.867340	1201.474976	1390.343262	1237.883301	19.277098
241.245789	1219.679199	1438.129150	1155.964600	-29.166681
241.624176	1089.974487	1508.670288	1215.128052	29.891287
242.002548	1171.893188	1413.098389	1183.270874	4.717015
242.380890	1155.964600	1542.803101	1210.577026	14.117630
242.759186	1210.577026	1672.507813	1246.985352	7.881771
243.137451	1171.893188	1788.559326	1180.995239	1.476009
243.515686	1158.240112	1784.008301	1228.781250	11.272727
243.893890	1140.035889	1733.946899	1226.505737	14.559395
244.272049	1160.515625	1790.834839	1203.750488	6.859201
244.650192	1135.484863	1686.160889	1228.781250	16.942156
245.028290	1221.954712	1647.477051	1233.332275	2.673788
245.406357	1103.627563	1642.926025	1178.719727	13.924046
245.784393	1171.893188	1654.303589	1192.372925	4.245293
246.162384	1208.301514	1570.109375	1169.617676	-10.691818
246.540359	1219.679199	1661.130127	1242.434326	5.154622
246.918289	1167.342163	1722.569214	1228.781250	11.065578
247.296204	1130.933838	1909.161987	1155.964600	3.216378
247.674057	1208.301514	2143.540527	1180.995239	-2.919711
248.051895	1183.270874	2275.520752	1276.567139	8.541659
248.429703	1244.709839	2387.021240	1262.914063	1.593631
248.807465	1153.689087	2341.510986	1319.802124	13.984675
249.185196	1185.546387	2177.673340	1274.291626	8.944948
249.562897	1178.719727	2038.866699	1253.812012	8.730169
249.940567	1199.199463	1929.641602	1208.301514	1.246101
250.318192	1174.168701	1925.090576	1267.465088	12.424247
250.695801	1203.750488	1790.834839	1276.567139	12.403098
251.073349	1165.066650	1688.436401	1215.128052	9.565207
251.450882	1155.964600	1697.538574	1133.209351	-4.201688
251.828400	1203.750488	1793.110352	1201.474976	-0.386099
252.205872	1201.474976	1749.875488	1174.168701	-4.979258
252.583313	1169.617676	1752.151001	1253.812012	14.453136
252.960693	1101.352051	1881.855713	1176.444214	9.620988
253.338074	1151.413574	1906.886475	1235.607788	11.144571
253.715408	1185.546387	1897.784302	1233.332275	6.709260
254.092682	1180.995239	1836.345337	1315.250977	20.486109
254.469955	1180.995239	1774.906250	1203.750488	3.831424
254.847198	1190.097412	1642.926025	1246.985352	12.562797
255.224365	1165.066650	1706.640625	1310.699951	26.890749
255.601563	1217.403687	1638.375000	1219.679199	0.540539
