Jaz Data File
++++++++++++++++++++++++++++++++++++
Date: Wed Feb 07 06:53:20 2024
User: jaz
Dark Spectrum Present: Yes
Reference Spectrum Present: Yes
Processed Spectrum Present: Yes
Spectrometers: JAZA3692
Integration Time (usec): 49800 (JAZA3692)
Spectra Averaged: 1 (JAZA3692)
Boxcar Smoothing: 0 (JAZA3692)
Correct for Electrical Dark: No (JAZA3692)
Strobe/Lamp Enabled: Yes (JAZA3692)
Correct for Detector Non-linearity: No (JAZA3692)
Correct for Stray Light: No (JAZA3692)
Number of Pixels in Processed Spectrum: 2048
>>>>>Begin Processed Spectral Data<<<<<
W	D	R	S	P
190.244385	0.000000	0.000000	0.000000	0.000000
190.627136	0.000000	0.000000	0.000000	0.000000
191.009842	912.483826	932.963501	921.585938	44.444611
191.392532	962.545288	928.412476	951.167725	33.333214
191.775177	957.994263	923.861450	882.902100	219.999924
192.157791	955.718750	953.443237	930.687988	1100.005371
192.540390	928.412476	907.932800	892.004150	177.777847
192.922943	869.248962	1008.055725	928.412476	42.622932
193.305481	880.626526	978.473938	912.483826	32.558144
193.687958	944.341125	946.616638	980.749451	1600.005371
194.070419	944.341125	971.647400	921.585938	-83.333183
194.452866	955.718750	967.096313	882.902100	-640.002136
194.835251	969.371887	951.167725	957.994263	62.500126
195.217621	978.473938	953.443237	921.585938	227.272903
195.599960	948.892151	1017.157776	887.453125	-89.999947
195.982254	955.718750	914.759338	964.820801	-22.222122
196.364517	905.657288	971.647400	821.463013	-127.586197
196.746750	1008.055725	944.341125	957.994263	78.571411
197.128952	976.198425	948.892151	873.799988	374.999664
197.511139	953.443237	935.239075	860.146851	512.500305
197.893280	932.963501	1033.086426	973.922913	40.909122
198.275391	939.790100	901.106262	912.483826	70.588326
198.657471	930.687988	980.749451	919.310425	-22.727190
199.039520	964.820801	955.718750	942.065613	250.000671
199.421539	960.269775	946.616638	1014.882263	-399.999542
199.803513	914.759338	960.269775	896.555176	-39.999973
200.185471	948.892151	1053.566162	903.381775	-43.478199
200.567383	962.545288	1030.810913	894.279663	-100.000000
200.949265	1005.780212	935.239075	944.341125	87.096817
201.331131	964.820801	928.412476	951.167725	37.499874
201.712967	1080.872437	944.341125	903.381775	129.999969
202.094742	873.799988	1030.810913	894.279663	13.043471
202.476517	885.177612	1001.229126	905.657288	17.647057
202.858231	928.412476	951.167725	885.177612	-189.999512
203.239944	942.065613	985.300537	887.453125	-126.315681
203.621582	946.616638	957.994263	935.239075	-99.999466
204.003235	907.932800	923.861450	953.443237	285.714355
204.384827	903.381775	985.300537	946.616638	52.777729
204.766388	928.412476	935.239075	905.657288	-333.331238
205.147934	1003.504700	955.718750	903.381775	209.523773
205.529449	980.749451	957.994263	832.840637	650.000427
205.910904	896.555176	964.820801	889.728638	-9.999964
206.292343	962.545288	985.300537	889.728638	-319.999359
206.673767	964.820801	1012.606750	889.728638	-157.142761
207.055115	892.004150	1001.229126	926.136963	31.250008
207.436462	937.514587	1001.229126	914.759338	-35.714375
207.817780	942.065613	944.341125	944.341125	100.000000
208.199051	930.687988	1042.188477	926.136963	-4.081619
208.580307	887.453125	973.922913	946.616638	68.421021
208.961517	901.106262	1005.780212	957.994263	54.347813
209.342712	948.892151	944.341125	892.004150	1250.004028
209.723846	944.341125	932.963501	862.422363	719.998840
210.104965	914.759338	930.687988	846.493713	-428.571320
210.486069	917.034912	1021.708862	894.279663	-21.739170
210.867111	871.524475	942.065613	996.678101	177.419342
211.248123	973.922913	1069.494751	873.799988	-104.761955
211.629120	937.514587	976.198425	878.351013	-152.941330
212.010071	946.616638	967.096313	894.279663	-255.555695
212.390991	994.402588	930.687988	969.371887	39.285660
212.771881	907.932800	980.749451	930.687988	31.249979
213.152756	989.851563	953.443237	889.728638	275.000092
213.533569	992.127075	983.024963	914.759338	849.997681
213.914368	1008.055725	992.127075	914.759338	585.714355
214.295135	962.545288	1017.157776	1012.606750	91.666695
214.675858	994.402588	1026.259888	955.718750	-121.428490
215.056549	928.412476	1033.086426	955.718750	26.086983
215.437225	926.136963	1026.259888	937.514587	11.363656
215.817841	951.167725	976.198425	930.687988	-81.818466
216.198441	873.799988	1055.841675	876.075500	1.249995
216.579025	983.024963	960.269775	912.483826	310.000244
216.959549	932.963501	973.922913	839.667175	-227.777512
217.340057	967.096313	1008.055725	846.493713	-294.444183
217.720535	953.443237	917.034912	903.381775	137.500046
218.100967	926.136963	1010.331238	901.106262	-29.729694
218.481369	951.167725	910.208313	964.820801	-33.333183
218.861740	996.678101	910.208313	946.616638	57.894745
219.242065	994.402588	996.678101	996.678101	100.000000
219.622391	926.136963	992.127075	989.851563	96.551735
220.002670	946.616638	951.167725	928.412476	-399.995972
220.382919	951.167725	992.127075	998.953613	116.666618
220.763123	983.024963	953.443237	1023.984375	-138.461868
221.143295	978.473938	962.545288	921.585938	357.142639
221.523453	948.892151	957.994263	905.657288	-474.998169
221.903549	955.718750	1003.504700	971.647400	33.333332
222.283630	910.208313	1055.841675	962.545288	35.937489
222.663696	919.310425	1042.188477	930.687988	9.259232
223.043701	948.892151	1030.810913	1001.229126	63.888874
223.423676	964.820801	1058.117188	903.381775	-65.853600
223.803635	1033.086426	1042.188477	876.075500	-1725.005981
224.183548	1008.055725	998.953613	878.351013	1424.995850
224.563431	951.167725	987.576050	887.453125	-175.000076
224.943283	960.269775	1026.259888	917.034912	-65.517181
225.323105	873.799988	1069.494751	923.861450	25.581402
225.702881	885.177612	978.473938	973.922913	95.121964
226.082642	910.208313	1042.188477	851.044800	-44.827579
226.462357	903.381775	1028.535400	983.024963	63.636341
226.842041	955.718750	1037.637451	892.004150	-77.777847
227.221695	892.004150	1019.433350	942.065613	39.285706
227.601318	987.576050	1058.117188	912.483826	-106.451675
227.980911	930.687988	1044.463989	960.269775	26.000023
228.360474	917.034912	1012.606750	989.851563	76.190491
228.739990	962.545288	1133.209351	935.239075	-15.999978
229.119476	905.657288	1149.138062	939.790100	14.018689
229.498932	821.463013	1149.138062	923.861450	31.249996
229.878372	885.177612	1210.577026	985.300537	30.769239
230.257736	901.106262	1240.158813	953.443237	15.436243
230.637115	944.341125	1233.332275	967.096313	7.874009
231.016449	935.239075	1142.311401	914.759338	-9.890137
231.395737	871.524475	1133.209351	946.616638	28.695644
231.774994	898.830688	1183.270874	919.310425	7.200015
232.154221	926.136963	1153.689087	862.422363	-28.000002
232.533417	939.790100	1117.280762	928.412476	-6.410266
232.912582	921.585938	1133.209351	987.576050	31.182802
233.291702	935.239075	1121.831787	921.585938	-7.317080
233.670792	944.341125	1185.546387	942.065613	-0.943393
234.049866	942.065613	1126.382813	976.198425	18.518517
234.428894	955.718750	1149.138062	942.065613	-7.058828
234.807892	951.167725	1121.831787	910.208313	-24.000021
235.186874	944.341125	1128.658325	866.973450	-41.975288
235.565781	882.902100	1151.413574	887.453125	1.694909
235.944687	1019.433350	1149.138062	1003.504700	-12.280703
236.323547	967.096313	1199.199463	885.177612	-35.294094
236.702377	955.718750	1199.199463	921.585938	-14.018693
237.081177	985.300537	1169.617676	905.657288	-43.209900
237.459946	932.963501	1274.291626	921.585938	-3.333321
237.838669	953.443237	1210.577026	973.922913	7.964599
238.217361	894.279663	1151.413574	896.555176	0.884952
238.596039	948.892151	1083.147949	1001.229126	38.983028
238.974670	914.759338	1174.168701	919.310425	1.754403
239.353271	905.657288	1169.617676	894.279663	-4.310353
239.731842	957.994263	1140.035889	926.136963	-17.500008
240.110367	914.759338	1240.158813	919.310425	1.398615
240.488876	896.555176	1192.372925	921.585938	8.461548
240.867340	971.647400	1244.709839	894.279663	-28.333349
241.245789	901.106262	1303.873413	919.310425	4.519773
241.624176	935.239075	1376.690063	917.034912	-4.123711
242.002548	932.963501	1281.118164	903.381775	-8.496719
242.380890	887.453125	1401.720825	1028.535400	27.433626
242.759186	957.994263	1529.150024	987.576050	5.179286
243.137451	944.341125	1622.446289	917.034912	-4.026841
243.515686	939.790100	1670.232300	978.473938	5.295948
243.893890	928.412476	1683.885376	921.585938	-0.903611
244.272049	869.248962	1665.681274	946.616638	9.714281
244.650192	1026.259888	1590.588989	983.024963	-7.661296
245.028290	932.963501	1590.588989	978.473938	6.920419
245.406357	928.412476	1510.945801	969.371887	7.031256
245.784393	912.483826	1497.292725	923.861450	1.945529
246.162384	973.922913	1433.578125	987.576050	2.970300
246.540359	889.728638	1549.629639	903.381775	2.068968
246.918289	955.718750	1620.170776	969.371887	2.054796
247.296204	964.820801	1795.385864	1023.984375	7.123292
247.674057	1005.780212	1995.631714	942.065613	-6.436784
248.051895	996.678101	2339.235352	985.300537	-0.847455
248.429703	919.310425	2359.715088	1074.045776	10.742492
248.807465	907.932800	2325.582275	1058.117188	10.593902
249.185196	1001.229126	2093.479248	1008.055725	0.625003
249.562897	946.616638	1959.223389	969.371887	2.247195
249.940567	889.728638	1884.131226	1003.504700	11.441649
250.318192	976.198425	1642.926025	1023.984375	7.167237
250.695801	960.269775	1667.956787	989.851563	4.180067
251.073349	1019.433350	1661.130127	1033.086426	2.127652
251.450882	992.127075	1567.833862	967.096313	-4.347832
251.828400	985.300537	1563.282837	1017.157776	5.511802
252.205872	914.759338	1613.344238	1021.708862	15.309453
252.583313	905.657288	1633.823975	989.851563	11.562500
252.960693	978.473938	1733.946899	1049.015137	9.337356
253.338074	983.024963	1768.079712	1074.045776	11.594199
253.715408	951.167725	1722.569214	996.678101	5.899700
254.092682	928.412476	1720.293701	960.269775	4.022990
254.469955	894.279663	1570.109375	953.443237	8.754213
254.847198	930.687988	1658.854614	957.994263	3.750004
255.224365	866.973450	1565.558350	1021.708862	22.149836
255.601563	919.310425	1535.976563	937.514587	2.952029
255.978683	1005.780212	1576.935913	957.994263	-8.366536
256.355743	896.555176	1576.935913	1026.259888	19.063549
256.732819	937.514587	1526.874512	1003.504700	11.196912
257.109894	894.279663	1586.037964	1037.637451	20.723682
257.486877	932.963501	1558.731689	989.851563	9.090917
257.863831	887.453125	1688.436401	930.687988	5.397724
258.240753	1008.055725	1818.141113	1019.433350	1.404497
258.617645	914.759338	1788.559326	1051.290649	15.625008
258.994507	967.096313	1797.661377	1051.290649	10.136994
259.371307	964.820801	1984.254150	1033.086426	6.696428
259.748108	971.647400	2209.530762	1023.984375	4.227941
260.124878	951.167725	2364.266113	1012.606750	4.347824
260.501617	919.310425	2555.409912	1021.708862	6.258693
