Jaz Data File
++++++++++++++++++++++++++++++++++++
Date: Wed Feb 07 06:41:08 2024
User: jaz
Dark Spectrum Present: Yes
Reference Spectrum Present: Yes
Processed Spectrum Present: Yes
Spectrometers: JAZA3692
Integration Time (usec): 40000 (JAZA3692)
Spectra Averaged: 1 (JAZA3692)
Boxcar Smoothing: 0 (JAZA3692)
Correct for Electrical Dark: No (JAZA3692)
Strobe/Lamp Enabled: Yes (JAZA3692)
Correct for Detector Non-linearity: No (JAZA3692)
Correct for Stray Light: No (JAZA3692)
Number of Pixels in Processed Spectrum: 2048
>>>>>Begin Processed Spectral Data<<<<<
W	D	R	S	P
190.244385	0.000000	0.000000	0.000000	0.000000
190.627136	0.000000	0.000000	0.000000	0.000000
191.009842	1133.209351	1160.515625	1115.005249	-66.666367
191.392532	1219.679199	1183.270874	1151.413574	187.500046
191.775177	1244.709839	1165.066650	1094.525513	188.571457
192.157791	1153.689087	1171.893188	1151.413574	-12.500000
192.540390	1174.168701	1199.199463	1174.168701	0.000000
192.922943	1128.658325	1212.852539	1201.474976	86.486526
193.305481	1171.893188	1212.852539	1180.995239	22.222157
193.687958	1210.577026	1221.954712	1194.648438	-139.998505
194.070419	1153.689087	1167.342163	1201.474976	350.000885
194.452866	1206.026001	1203.750488	1201.474976	200.000000
194.835251	1194.648438	1260.638550	1174.168701	-31.034554
195.217621	1242.434326	1187.821899	1180.995239	112.500198
195.599960	1226.505737	1178.719727	1221.954712	9.523761
195.982254	1228.781250	1260.638550	1196.923950	-100.000000
196.364517	1208.301514	1178.719727	1210.577026	-7.692276
196.746750	1240.158813	1149.138062	1233.332275	7.499980
197.128952	1224.230225	1199.199463	1201.474976	90.909134
197.511139	1180.995239	1171.893188	1133.209351	525.001343
197.893280	1224.230225	1187.821899	1112.729614	306.250305
198.275391	1192.372925	1224.230225	1215.128052	71.428299
198.657471	1206.026001	1251.536499	1242.434326	79.999840
199.039520	1203.750488	1237.883301	1108.178589	-280.000061
199.421539	1208.301514	1210.577026	1146.862427	-2700.010742
199.803513	1180.995239	1153.689087	1153.689087	100.000000
200.185471	1180.995239	1196.923950	1187.821899	42.857582
200.567383	1221.954712	1244.709839	1176.444214	-200.001068
200.949265	1119.556274	1208.301514	1226.505737	120.512901
201.331131	1167.342163	1199.199463	1151.413574	-49.999809
201.712967	1192.372925	1183.270874	1210.577026	-200.000000
202.094742	1176.444214	1171.893188	1158.240112	400.000000
202.476517	1226.505737	1240.158813	1171.893188	-400.001801
202.858231	1153.689087	1158.240112	1135.484863	-400.002686
203.239944	1183.270874	1167.342163	1187.821899	-28.571209
203.621582	1192.372925	1190.097412	1146.862427	2000.010742
204.003235	1237.883301	1194.648438	1158.240112	184.210571
204.384827	1219.679199	1251.536499	1103.627563	-364.285858
204.766388	1167.342163	1228.781250	1140.035889	-44.444466
205.147934	1185.546387	1176.444214	1112.729614	799.993286
205.529449	1146.862427	1231.056763	1096.801025	-59.459347
205.910904	1201.474976	1242.434326	1206.026001	11.111078
206.292343	1117.280762	1201.474976	1190.097412	86.486526
206.673767	1267.465088	1233.332275	1174.168701	273.333435
207.055115	1176.444214	1237.883301	1212.852539	59.259224
207.436462	1251.536499	1199.199463	1130.933838	230.434647
207.817780	1151.413574	1224.230225	1096.801025	-75.000084
208.199051	1235.607788	1217.403687	1180.995239	300.001343
208.580307	1080.872437	1219.679199	1187.821899	77.049171
208.961517	1212.852539	1187.821899	1165.066650	190.909576
209.342712	1174.168701	1215.128052	1108.178589	-161.111221
209.723846	1246.985352	1190.097412	1196.923950	88.000023
210.104965	1167.342163	1144.586914	1215.128052	-209.999405
210.486069	1224.230225	1194.648438	1190.097412	115.384552
210.867111	1128.658325	1231.056763	1101.352051	-26.666691
211.248123	1233.332275	1201.474976	1142.311401	285.714355
211.629120	1115.005249	1212.852539	1151.413574	37.209335
212.010071	1219.679199	1167.342163	1140.035889	152.173904
212.390991	1171.893188	1180.995239	1224.230225	575.002686
212.771881	1126.382813	1187.821899	1133.209351	11.111067
213.152756	1208.301514	1265.189575	1149.138062	-103.999771
213.533569	1142.311401	1176.444214	1235.607788	273.333435
213.914368	1165.066650	1137.760376	1251.536499	-316.666595
214.295135	1215.128052	1174.168701	1203.750488	27.777695
214.675858	1128.658325	1151.413574	1206.026001	339.999237
215.056549	1203.750488	1160.515625	1092.250000	257.894867
215.437225	1124.107300	1199.199463	1167.342163	57.575733
215.817841	1212.852539	1237.883301	1224.230225	45.454811
216.198441	1183.270874	1178.719727	1167.342163	349.993286
216.579025	1183.270874	1242.434326	1217.403687	57.692394
216.959549	1206.026001	1199.199463	1165.066650	600.001770
217.340057	1140.035889	1258.363037	1176.444214	30.769207
217.720535	1217.403687	1146.862427	1137.760376	112.903160
218.100967	1135.484863	1235.607788	1212.852539	77.272690
218.481369	1190.097412	1169.617676	1121.831787	333.332550
218.861740	1226.505737	1185.546387	1146.862427	194.444763
219.242065	1231.056763	1274.291626	1206.026001	-57.894855
219.622391	1212.852539	1178.719727	1219.679199	-20.000286
220.002670	1162.791138	1201.474976	1119.556274	-111.764671
220.382919	1146.862427	1217.403687	1146.862427	0.000000
220.763123	1262.914063	1233.332275	1142.311401	407.692261
221.143295	1226.505737	1165.066650	1192.372925	55.555534
221.523453	1165.066650	1130.933838	1201.474976	-106.666641
221.903549	1162.791138	1160.515625	1094.525513	3000.010742
222.283630	1089.974487	1221.954712	1192.372925	77.586197
222.663696	1237.883301	1192.372925	1185.546387	114.999962
223.043701	1155.964600	1235.607788	1199.199463	54.285702
223.423676	1158.240112	1206.026001	1235.607788	161.904861
223.803635	1178.719727	1206.026001	1169.617676	-33.333183
224.183548	1190.097412	1165.066650	1101.352051	354.545197
224.563431	1196.923950	1253.812012	1128.658325	-119.999916
224.943283	1194.648438	1167.342163	1158.240112	133.333191
225.323105	1178.719727	1228.781250	1155.964600	-45.454323
225.702881	1215.128052	1210.577026	1108.178589	2350.008057
226.082642	1187.821899	1246.985352	1151.413574	-61.538540
226.462357	1203.750488	1226.505737	1140.035889	-279.999573
226.842041	1167.342163	1287.944824	1128.658325	-32.075443
227.221695	1233.332275	1233.332275	1169.617676	0.000000
227.601318	1151.413574	1233.332275	1155.964600	5.555539
227.980911	1183.270874	1283.393677	1203.750488	20.454496
228.360474	1237.883301	1206.026001	1196.923950	128.571320
228.739990	1167.342163	1242.434326	1149.138062	-24.242346
229.119476	1137.760376	1226.505737	1215.128052	87.179405
229.498932	1126.382813	1338.006226	1196.923950	33.333332
229.878372	1199.199463	1385.792114	1212.852539	7.317049
230.257736	1190.097412	1472.261963	1203.750488	4.838693
230.637115	1133.209351	1426.751587	1190.097412	19.379856
231.016449	1190.097412	1372.139038	1087.698975	-56.250011
231.395737	1206.026001	1372.139038	1160.515625	-27.397234
231.774994	1199.199463	1299.322388	1192.372925	-6.818157
232.154221	1201.474976	1438.129150	1221.954712	8.653867
232.533417	1171.893188	1240.158813	1149.138062	-33.333214
232.912582	1201.474976	1347.108276	1128.658325	-50.000000
233.291702	1206.026001	1322.077637	1192.372925	-11.764656
233.670792	1201.474976	1285.669312	1135.484863	-78.378326
234.049866	1196.923950	1267.465088	1201.474976	6.451591
234.428894	1144.586914	1347.108276	1169.617676	12.359566
234.807892	1174.168701	1317.526489	1099.076538	-52.380943
235.186874	1219.679199	1422.200562	1149.138062	-34.831455
235.565781	1151.413574	1429.027100	1169.617676	6.557354
235.944687	1174.168701	1397.169800	1219.679199	20.408195
236.323547	1135.484863	1347.108276	1185.546387	23.655947
236.702377	1160.515625	1342.557251	1146.862427	-7.500042
237.081177	1155.964600	1388.067749	1235.607788	34.313705
237.459946	1119.556274	1417.649414	1135.484863	5.343494
237.838669	1267.465088	1344.832764	1117.280762	-194.117661
238.217361	1149.138062	1342.557251	1192.372925	22.352934
238.596039	1217.403687	1278.842651	1171.893188	-74.074326
238.974670	1160.515625	1315.250977	1199.199463	25.000000
239.353271	1208.301514	1383.516602	1128.658325	-45.454525
239.731842	1149.138062	1422.200562	1137.760376	-4.166697
240.110367	1180.995239	1335.730713	1180.995239	0.000000
240.488876	1187.821899	1422.200562	1201.474976	5.825222
240.867340	1201.474976	1390.343262	1135.484863	-34.939754
241.245789	1219.679199	1438.129150	1167.342163	-23.958364
241.624176	1089.974487	1508.670288	1135.484863	10.869556
242.002548	1171.893188	1413.098389	1183.270874	4.717015
242.380890	1155.964600	1542.803101	1155.964600	0.000000
242.759186	1210.577026	1672.507813	1192.372925	-3.940872
243.137451	1171.893188	1788.559326	1146.862427	-4.059046
243.515686	1158.240112	1784.008301	1244.709839	13.818172
243.893890	1140.035889	1733.946899	1201.474976	10.344831
244.272049	1160.515625	1790.834839	1167.342163	1.083029
244.650192	1135.484863	1686.160889	1176.444214	7.438012
245.028290	1221.954712	1647.477051	1199.199463	-5.347604
245.406357	1103.627563	1642.926025	1215.128052	20.675098
245.784393	1171.893188	1654.303589	1180.995239	1.886786
246.162384	1208.301514	1570.109375	1153.689087	-15.094317
246.540359	1219.679199	1661.130127	1287.944824	15.463922
246.918289	1167.342163	1722.569214	1237.883301	12.704917
247.296204	1130.933838	1909.161987	1196.923950	8.479533
247.674057	1208.301514	2143.540527	1246.985352	4.136251
248.051895	1183.270874	2275.520752	1333.455200	13.749997
248.429703	1244.709839	2387.021240	1192.372925	-4.581668
248.807465	1153.689087	2341.510986	1262.914063	9.195400
249.185196	1185.546387	2177.673340	1233.332275	4.816509
249.562897	1178.719727	2038.866699	1242.434326	7.407408
249.940567	1199.199463	1929.641602	1167.342163	-4.361372
250.318192	1174.168701	1925.090576	1265.189575	12.121218
250.695801	1203.750488	1790.834839	1196.923950	-1.162787
251.073349	1165.066650	1688.436401	1224.230225	11.304355
251.450882	1155.964600	1697.538574	1176.444214	3.781499
251.828400	1203.750488	1793.110352	1240.158813	6.177605
252.205872	1201.474976	1749.875488	1237.883301	6.639003
252.583313	1169.617676	1752.151001	1260.638550	15.625008
252.960693	1101.352051	1881.855713	1226.505737	16.034990
253.338074	1151.413574	1906.886475	1240.158813	11.746979
253.715408	1185.546387	1897.784302	1256.087524	9.904154
254.092682	1180.995239	1836.345337	1256.087524	11.458346
254.469955	1180.995239	1774.906250	1169.617676	-1.915702
254.847198	1190.097412	1642.926025	1162.791138	-6.030157
255.224365	1165.066650	1706.640625	1185.546387	3.781522
