Jaz Data File
++++++++++++++++++++++++++++++++++++
Date: Wed Feb 07 06:47:43 2024
User: jaz
Dark Spectrum Present: Yes
Reference Spectrum Present: Yes
Processed Spectrum Present: Yes
Spectrometers: JAZA3692
Integration Time (usec): 47000 (JAZA3692)
Spectra Averaged: 1 (JAZA3692)
Boxcar Smoothing: 0 (JAZA3692)
Correct for Electrical Dark: No (JAZA3692)
Strobe/Lamp Enabled: Yes (JAZA3692)
Correct for Detector Non-linearity: No (JAZA3692)
Correct for Stray Light: No (JAZA3692)
Number of Pixels in Processed Spectrum: 2048
>>>>>Begin Processed Spectral Data<<<<<
W	D	R	S	P
190.244385	0.000000	0.000000	0.000000	0.000000
190.627136	0.000000	0.000000	0.000000	0.000000
191.009842	1044.463989	1105.903076	1017.157776	-44.444366
191.392532	964.820801	1023.984375	1051.290649	146.153870
191.775177	1033.086426	971.647400	1039.912964	-11.111078
192.157791	1092.250000	1023.984375	1010.331238	120.000015
192.540390	1117.280762	1112.729614	996.678101	2649.939697
192.922943	1119.556274	1058.117188	1055.841675	103.703690
193.305481	1064.943726	1151.413574	1008.055725	-65.789406
193.687958	1089.974487	1037.637451	1005.780212	160.869400
194.070419	1162.791138	1089.974487	1051.290649	153.124985
194.452866	1060.392700	1130.933838	1105.903076	64.516075
194.835251	1115.005249	1117.280762	1110.454102	-200.005371
195.217621	1049.015137	1049.015137	1033.086426	0.000000
195.599960	1033.086426	1105.903076	1064.943726	43.750019
195.982254	1158.240112	1094.525513	1126.382813	50.000000
196.364517	1094.525513	1144.586914	1096.801025	4.545444
196.746750	1101.352051	1167.342163	1021.708862	-120.689575
197.128952	1119.556274	1060.392700	1124.107300	-7.692276
197.511139	1137.760376	1055.841675	1005.780212	161.111145
197.893280	1101.352051	1021.708862	1069.494751	40.000031
198.275391	1117.280762	1076.321289	1130.933838	-33.333134
198.657471	1128.658325	1069.494751	1051.290649	130.769104
199.039520	989.851563	1108.178589	1044.463989	46.153805
199.421539	1089.974487	1087.698975	1087.698975	100.000000
199.803513	1099.076538	1039.912964	1046.739624	88.461380
200.185471	1017.157776	1140.035889	1062.668213	37.037056
200.567383	1053.566162	1124.107300	1021.708862	-45.161308
200.949265	1087.698975	1094.525513	1087.698975	0.000000
201.331131	1042.188477	1128.658325	983.024963	-68.420975
201.712967	1049.015137	1069.494751	1033.086426	-77.778374
202.094742	1105.903076	1115.005249	1037.637451	-749.992615
202.476517	1128.658325	1135.484863	1037.637451	-1333.338745
202.858231	1128.658325	1055.841675	1055.841675	100.000000
203.239944	1071.770264	1144.586914	1046.739624	-34.374886
203.621582	1137.760376	1026.259888	1005.780212	118.367340
204.003235	1108.178589	1037.637451	992.127075	164.516083
204.384827	1060.392700	1053.566162	1069.494751	-133.333328
204.766388	1055.841675	1142.311401	1008.055725	-55.263214
205.147934	1092.250000	1105.903076	1094.525513	16.666666
205.529449	1064.943726	1162.791138	1074.045776	9.302291
205.910904	1140.035889	1124.107300	1087.698975	328.572205
206.292343	1037.637451	1151.413574	1003.504700	-29.999926
206.673767	1044.463989	1112.729614	1060.392700	23.333429
207.055115	1044.463989	1137.760376	1019.433350	-26.829163
207.436462	1105.903076	1201.474976	1108.178589	2.380943
207.817780	1078.596802	1119.556274	1001.229126	-188.888351
208.199051	1142.311401	1089.974487	1008.055725	256.521942
208.580307	1076.321289	1140.035889	1094.525513	28.571510
208.961517	1094.525513	1064.943726	1046.739624	161.538208
209.342712	1060.392700	1151.413574	962.545288	-107.499969
209.723846	1074.045776	1112.729614	951.167725	-317.647003
210.104965	1053.566162	1062.668213	980.749451	-800.003357
210.486069	1074.045776	1096.801025	1062.668213	-49.999733
210.867111	1074.045776	1117.280762	1035.361938	-89.473465
211.248123	1085.423462	1112.729614	1083.147949	-8.333333
211.629120	1069.494751	1146.862427	996.678101	-94.117668
212.010071	980.749451	1094.525513	1049.015137	60.000042
212.390991	1026.259888	1119.556274	1021.708862	-4.878030
212.771881	1058.117188	1171.893188	1058.117188	0.000000
213.152756	1062.668213	1046.739624	1080.872437	-114.286484
213.533569	998.953613	1085.423462	1037.637451	44.736794
213.914368	1030.810913	1087.698975	1094.525513	111.999947
214.295135	1067.219238	1108.178589	1087.698975	50.000149
214.675858	1087.698975	1126.382813	1060.392700	-70.588326
215.056549	1103.627563	1151.413574	1105.903076	4.761880
215.437225	1010.331238	1103.627563	1085.423462	80.487869
215.817841	1101.352051	1080.872437	1033.086426	333.334534
216.198441	1019.433350	1142.311401	992.127075	-22.222256
216.579025	1119.556274	1074.045776	1010.331238	239.999649
216.959549	1112.729614	1112.729614	946.616638	0.000000
217.340057	1021.708862	1115.005249	1096.801025	80.487747
217.720535	1105.903076	1028.535400	1062.668213	55.882336
218.100967	1083.147949	1060.392700	998.953613	369.999634
218.481369	1096.801025	1049.015137	953.443237	300.000244
218.861740	1019.433350	1067.219238	1042.188477	47.618927
219.242065	1060.392700	1103.627563	996.678101	-147.368576
219.622391	1064.943726	1089.974487	1010.331238	-218.181488
220.002670	1055.841675	1137.760376	996.678101	-72.222305
220.382919	1092.250000	1128.658325	1017.157776	-206.250153
220.763123	1049.015137	1187.821899	1042.188477	-4.918103
221.143295	1028.535400	1121.831787	1053.566162	26.829294
221.523453	1037.637451	1110.454102	1026.259888	-15.624948
221.903549	1135.484863	1087.698975	1033.086426	214.285934
222.283630	1096.801025	1055.841675	1058.117188	94.444458
222.663696	1085.423462	1051.290649	1035.361938	146.666855
223.043701	1144.586914	1119.556274	1023.984375	481.819641
223.423676	1096.801025	1112.729614	1021.708862	-471.430115
223.803635	1026.259888	1071.770264	1055.841675	65.000092
224.183548	1046.739624	1117.280762	1049.015137	3.225795
224.563431	1083.147949	1096.801025	1010.331238	-533.335571
224.943283	1087.698975	1108.178589	1076.321289	-55.556152
225.323105	1130.933838	1105.903076	971.647400	636.362732
225.702881	1023.984375	1096.801025	1046.739624	31.250063
226.082642	1030.810913	1135.484863	1062.668213	30.434793
226.462357	1042.188477	1178.719727	1058.117188	11.666715
226.842041	1083.147949	1099.076538	1017.157776	-414.287628
227.221695	1133.209351	1092.250000	1014.882263	288.889069
227.601318	1062.668213	1133.209351	1019.433350	-61.290283
227.980911	960.269775	1187.821899	989.851563	13.000005
228.360474	1092.250000	1187.821899	1058.117188	-35.714275
228.739990	1033.086426	1167.342163	1008.055725	-18.644045
229.119476	1124.107300	1240.158813	1003.504700	-103.921608
229.498932	1092.250000	1265.189575	1039.912964	-30.263193
229.878372	1105.903076	1299.322388	1017.157776	-45.882336
230.257736	1080.872437	1299.322388	1023.984375	-26.041691
230.637115	998.953613	1363.036987	1042.188477	11.874990
231.016449	1071.770264	1374.414551	1094.525513	7.518810
231.395737	1089.974487	1385.792114	1033.086426	-19.230789
231.774994	1067.219238	1235.607788	1005.780212	-36.486462
232.154221	1023.984375	1267.465088	1003.504700	-8.411210
232.533417	1030.810913	1242.434326	1005.780212	-11.827945
232.912582	1115.005249	1246.985352	1005.780212	-82.758713
233.291702	1026.259888	1274.291626	987.576050	-15.596326
233.670792	1103.627563	1281.118164	994.402588	-61.538456
234.049866	1121.831787	1258.363037	1080.872437	-29.999983
234.428894	1001.229126	1237.883301	1078.596802	32.692291
234.807892	1119.556274	1253.812012	1023.984375	-71.186455
235.186874	1076.321289	1319.802124	1019.433350	-23.364443
235.565781	1083.147949	1308.424438	1044.463989	-17.171770
235.944687	1003.504700	1363.036987	1076.321289	20.253143
236.323547	1083.147949	1269.740601	1094.525513	6.097541
236.702377	1083.147949	1317.526489	983.024963	-42.718494
237.081177	1103.627563	1367.588013	1021.708862	-31.034460
237.459946	1060.392700	1338.006226	998.953613	-22.131157
237.838669	1069.494751	1315.250977	1026.259888	-17.592581
238.217361	1046.739624	1237.883301	1089.974487	22.619040
238.596039	1042.188477	1281.118164	1055.841675	5.714316
238.974670	1067.219238	1340.281738	962.545288	-38.333332
239.353271	1039.912964	1235.607788	942.065613	-49.999969
239.731842	1096.801025	1363.036987	1030.810913	-24.786325
240.110367	1121.831787	1196.923950	1012.606750	-145.454636
240.488876	1044.463989	1392.618774	1087.698975	12.418323
240.867340	1028.535400	1356.210449	1023.984375	-1.388884
241.245789	1105.903076	1479.088501	1014.882263	-24.390238
241.624176	1115.005249	1485.915039	1049.015137	-17.791418
242.002548	1069.494751	1479.088501	962.545288	-26.111107
242.380890	998.953613	1558.731689	1062.668213	11.382117
242.759186	1076.321289	1642.926025	1019.433350	-10.040146
243.137451	1010.331238	1847.722900	1049.015137	4.619571
243.515686	1035.361938	1890.957764	1044.463989	1.063826
243.893890	1069.494751	1909.161987	1124.107300	6.504070
244.272049	1028.535400	1888.682251	1080.872437	6.084663
244.650192	1058.117188	1802.212524	1092.250000	4.587156
245.028290	1023.984375	1704.365112	1124.107300	14.715720
245.406357	1060.392700	1686.160889	1037.637451	-3.636370
245.784393	1005.780212	1747.599976	1099.076538	12.576684
246.162384	1035.361938	1617.895264	1119.556274	14.453136
246.540359	1026.259888	1649.752563	1030.810913	0.729924
246.918289	1078.596802	1824.967651	1074.045776	-0.609754
247.296204	1096.801025	1988.805176	1101.352051	0.510202
247.674057	1178.719727	2220.908203	1174.168701	-0.436680
248.051895	1137.760376	2521.277100	1053.566162	-6.085522
248.429703	1062.668213	2598.644775	1196.923950	8.740742
248.807465	1099.076538	2471.215576	1108.178589	0.663348
249.185196	1096.801025	2471.215576	1119.556274	1.655632
249.562897	1092.250000	2232.285889	1194.648438	8.982037
249.940567	1126.382813	2164.020264	1089.974487	-3.508771
250.318192	1112.729614	1959.223389	1080.872437	-3.763427
250.695801	1030.810913	1879.580200	1067.219238	4.289543
251.073349	1028.535400	1840.896362	1101.352051	8.963583
251.450882	1092.250000	1793.110352	1087.698975	-0.649348
251.828400	1099.076538	1752.151001	1112.729614	2.090585
252.205872	1087.698975	1772.630737	1026.259888	-8.970103
252.583313	1053.566162	1845.447388	1055.841675	0.287355
252.960693	1028.535400	1947.845825	1071.770264	4.702967
253.338074	1092.250000	2016.111450	1103.627563	1.231523
253.715408	1117.280762	1966.049927	1049.015137	-8.042896
254.092682	1037.637451	1872.753662	985.300537	-6.267022
254.469955	1076.321289	1806.763550	1121.831787	6.230540
254.847198	1017.157776	1686.160889	1064.943726	7.142859
255.224365	1099.076538	1747.599976	1099.076538	0.000000
255.601563	1085.423462	1736.222412	1039.912964	-6.993020
