Jaz Data File
++++++++++++++++++++++++++++++++++++
Date: Wed Feb 07 06:53:34 2024
User: jaz
Dark Spectrum Present: Yes
Reference Spectrum Present: Yes
Processed Spectrum Present: Yes
Spectrometers: JAZA3692
Integration Time (usec): 49800 (JAZA3692)
Spectra Averaged: 1 (JAZA3692)
Boxcar Smoothing: 0 (JAZA3692)
Correct for Electrical Dark: No (JAZA3692)
Strobe/Lamp Enabled: Yes (JAZA3692)
Correct for Detector Non-linearity: No (JAZA3692)
Correct for Stray Light: No (JAZA3692)
Number of Pixels in Processed Spectrum: 2048
>>>>>Begin Processed Spectral Data<<<<<
W	D	R	S	P
190.244385	0.000000	0.000000	0.000000	0.000000
190.627136	0.000000	0.000000	0.000000	0.000000
191.009842	912.483826	932.963501	853.320313	-288.888916
191.392532	962.545288	928.412476	857.871338	306.666656
191.775177	957.994263	923.861450	955.718750	6.666643
192.157791	955.718750	953.443237	917.034912	1700.005371
192.540390	928.412476	907.932800	894.279663	166.666763
192.922943	869.248962	1008.055725	869.248962	0.000000
193.305481	880.626526	978.473938	957.994263	79.069786
193.687958	944.341125	946.616638	946.616638	100.000000
194.070419	944.341125	971.647400	951.167725	25.000113
194.452866	955.718750	967.096313	948.892151	-60.000538
194.835251	969.371887	951.167725	989.851563	-112.499962
195.217621	978.473938	953.443237	944.341125	136.363785
195.599960	948.892151	1017.157776	923.861450	-36.666626
195.982254	955.718750	914.759338	992.127075	-88.888786
196.364517	905.657288	971.647400	951.167725	68.965538
196.746750	1008.055725	944.341125	987.576050	32.142830
197.128952	976.198425	948.892151	937.514587	141.666473
197.511139	953.443237	935.239075	905.657288	262.500122
197.893280	932.963501	1033.086426	955.718750	22.727312
198.275391	939.790100	901.106262	905.657288	88.235329
198.657471	930.687988	980.749451	923.861450	-13.636313
199.039520	964.820801	955.718750	894.279663	775.002686
199.421539	960.269775	946.616638	973.922913	-100.000000
199.803513	914.759338	960.269775	951.167725	80.000084
200.185471	948.892151	1053.566162	926.136963	-21.739100
200.567383	962.545288	1030.810913	846.493713	-170.000015
200.949265	1005.780212	935.239075	955.718750	70.967758
201.331131	964.820801	928.412476	967.096313	-6.249979
201.712967	1080.872437	944.341125	962.545288	86.666679
202.094742	873.799988	1030.810913	887.453125	8.695661
202.476517	885.177612	1001.229126	971.647400	74.509834
202.858231	928.412476	951.167725	946.616638	79.999840
203.239944	942.065613	985.300537	887.453125	-126.315681
203.621582	946.616638	957.994263	937.514587	-79.999573
204.003235	907.932800	923.861450	887.453125	-128.571320
204.384827	903.381775	985.300537	896.555176	-8.333377
204.766388	928.412476	935.239075	898.830688	-433.331238
205.147934	1003.504700	955.718750	898.830688	219.047668
205.529449	980.749451	957.994263	844.218201	600.000549
205.910904	896.555176	964.820801	985.300537	130.000076
206.292343	962.545288	985.300537	1012.606750	219.999619
206.673767	964.820801	1012.606750	921.585938	-90.476097
207.055115	892.004150	1001.229126	878.351013	-12.500014
207.436462	937.514587	1001.229126	894.279663	-67.857239
207.817780	942.065613	944.341125	851.044800	-4000.013428
208.199051	930.687988	1042.188477	914.759338	-14.285722
208.580307	887.453125	973.922913	932.963501	52.631535
208.961517	901.106262	1005.780212	887.453125	-13.043491
209.342712	948.892151	944.341125	901.106262	1050.002686
209.723846	944.341125	932.963501	921.585938	199.999466
210.104965	914.759338	930.687988	914.759338	0.000000
210.486069	917.034912	1021.708862	967.096313	47.826035
210.867111	871.524475	942.065613	939.790100	96.774208
211.248123	973.922913	1069.494751	978.473938	4.761889
211.629120	937.514587	976.198425	880.626526	-147.058990
212.010071	946.616638	967.096313	942.065613	-22.222157
212.390991	994.402588	930.687988	1001.229126	-10.714245
212.771881	907.932800	980.749451	921.585938	18.750021
213.152756	989.851563	953.443237	898.830688	250.000168
213.533569	992.127075	983.024963	914.759338	849.997681
213.914368	1008.055725	992.127075	928.412476	500.000000
214.295135	962.545288	1017.157776	910.208313	-95.833344
214.675858	994.402588	1026.259888	903.381775	-285.714142
215.056549	928.412476	1033.086426	921.585938	-6.521716
215.437225	926.136963	1026.259888	846.493713	-79.545471
215.817841	951.167725	976.198425	905.657288	-181.818466
216.198441	873.799988	1055.841675	926.136963	28.749994
216.579025	983.024963	960.269775	980.749451	9.999973
216.959549	932.963501	973.922913	921.585938	-27.777653
217.340057	967.096313	1008.055725	866.973450	-244.444092
217.720535	953.443237	917.034912	892.004150	168.750107
218.100967	926.136963	1010.331238	960.269775	40.540539
218.481369	951.167725	910.208313	944.341125	16.666740
218.861740	996.678101	910.208313	967.096313	34.210548
219.242065	994.402588	996.678101	889.728638	-4600.016113
219.622391	926.136963	992.127075	912.483826	-20.689671
220.002670	946.616638	951.167725	905.657288	-899.990601
220.382919	951.167725	992.127075	917.034912	-83.333382
220.763123	983.024963	953.443237	937.514587	153.846252
221.143295	978.473938	962.545288	1005.780212	-171.428680
221.523453	948.892151	957.994263	898.830688	-549.998352
221.903549	955.718750	1003.504700	869.248962	-180.952332
222.283630	910.208313	1055.841675	957.994263	32.812504
222.663696	919.310425	1042.188477	860.146851	-48.148205
223.043701	948.892151	1030.810913	923.861450	-30.555515
223.423676	964.820801	1058.117188	910.208313	-58.536552
223.803635	1033.086426	1042.188477	896.555176	-1500.005371
224.183548	1008.055725	998.953613	857.871338	1649.994995
224.563431	951.167725	987.576050	848.769287	-281.250061
224.943283	960.269775	1026.259888	983.024963	34.482723
225.323105	873.799988	1069.494751	937.514587	32.558151
225.702881	885.177612	978.473938	926.136963	43.902428
226.082642	910.208313	1042.188477	953.443237	32.758652
226.462357	903.381775	1028.535400	923.861450	16.363628
226.842041	955.718750	1037.637451	887.453125	-83.333382
227.221695	892.004150	1019.433350	1005.780212	89.285706
227.601318	987.576050	1058.117188	907.932800	-112.903267
227.980911	930.687988	1044.463989	896.555176	-30.000011
228.360474	917.034912	1012.606750	903.381775	-14.285732
228.739990	962.545288	1133.209351	882.902100	-46.666641
229.119476	905.657288	1149.138062	935.239075	12.149537
229.498932	821.463013	1149.138062	919.310425	29.861111
229.878372	885.177612	1210.577026	860.146851	-7.692319
230.257736	901.106262	1240.158813	866.973450	-10.067116
230.637115	944.341125	1233.332275	892.004150	-18.110235
231.016449	935.239075	1142.311401	894.279663	-19.780245
231.395737	871.524475	1133.209351	892.004150	7.826083
231.774994	898.830688	1183.270874	964.820801	23.199997
232.154221	926.136963	1153.689087	946.616638	8.999993
232.533417	939.790100	1117.280762	996.678101	32.051266
232.912582	921.585938	1133.209351	910.208313	-5.376354
233.291702	935.239075	1121.831787	923.861450	-6.097572
233.670792	944.341125	1185.546387	969.371887	10.377370
234.049866	942.065613	1126.382813	939.790100	-1.234563
234.428894	955.718750	1149.138062	1010.331238	28.235281
234.807892	951.167725	1121.831787	912.483826	-22.666693
235.186874	944.341125	1128.658325	957.994263	7.407413
235.565781	882.902100	1151.413574	957.994263	27.966091
235.944687	1019.433350	1149.138062	969.371887	-38.596489
236.323547	967.096313	1199.199463	905.657288	-26.470570
236.702377	955.718750	1199.199463	1019.433350	26.168232
237.081177	985.300537	1169.617676	937.514587	-25.925940
237.459946	932.963501	1274.291626	896.555176	-10.666664
237.838669	953.443237	1210.577026	989.851563	14.159292
238.217361	894.279663	1151.413574	930.687988	14.159286
238.596039	948.892151	1083.147949	939.790100	-6.779633
238.974670	914.759338	1174.168701	880.626526	-13.157895
239.353271	905.657288	1169.617676	835.116150	-26.724138
239.731842	957.994263	1140.035889	921.585938	-20.000000
240.110367	914.759338	1240.158813	914.759338	0.000000
240.488876	896.555176	1192.372925	939.790100	14.615393
240.867340	971.647400	1244.709839	998.953613	9.999989
241.245789	901.106262	1303.873413	907.932800	1.694909
241.624176	935.239075	1376.690063	967.096313	7.216484
242.002548	932.963501	1281.118164	923.861450	-2.614370
242.380890	887.453125	1401.720825	948.892151	11.946896
242.759186	957.994263	1529.150024	912.483826	-7.968131
243.137451	944.341125	1622.446289	992.127075	7.046982
243.515686	939.790100	1670.232300	978.473938	5.295948
243.893890	928.412476	1683.885376	942.065613	1.807231
244.272049	869.248962	1665.681274	960.269775	11.428569
244.650192	1026.259888	1590.588989	894.279663	-23.387102
245.028290	932.963501	1590.588989	876.075500	-8.650517
245.406357	928.412476	1510.945801	969.371887	7.031256
245.784393	912.483826	1497.292725	953.443237	7.003897
246.162384	973.922913	1433.578125	910.208313	-13.861389
246.540359	889.728638	1549.629639	910.208313	3.103447
246.918289	955.718750	1620.170776	942.065613	-2.054796
247.296204	964.820801	1795.385864	1008.055725	5.205483
247.674057	1005.780212	1995.631714	969.371887	-3.678160
248.051895	996.678101	2339.235352	998.953613	0.169491
248.429703	919.310425	2359.715088	969.371887	3.475514
248.807465	907.932800	2325.582275	1017.157776	7.704654
249.185196	1001.229126	2093.479248	967.096313	-3.125000
249.562897	946.616638	1959.223389	973.922913	2.696632
249.940567	889.728638	1884.131226	912.483826	2.288327
250.318192	976.198425	1642.926025	980.749451	0.682591
250.695801	960.269775	1667.956787	1003.504700	6.109328
251.073349	1019.433350	1661.130127	980.749451	-6.028377
251.450882	992.127075	1567.833862	907.932800	-14.624506
251.828400	985.300537	1563.282837	917.034912	-11.811024
252.205872	914.759338	1613.344238	989.851563	10.749191
252.583313	905.657288	1633.823975	1023.984375	16.250000
252.960693	978.473938	1733.946899	994.402588	2.108434
253.338074	983.024963	1768.079712	1010.331238	3.478264
253.715408	951.167725	1722.569214	921.585938	-3.834811
254.092682	928.412476	1720.293701	987.576050	7.471269
254.469955	894.279663	1570.109375	1001.229126	15.824913
254.847198	930.687988	1658.854614	978.473938	6.562502
255.224365	866.973450	1565.558350	932.963501	9.446246
255.601563	919.310425	1535.976563	882.902100	-5.904058
255.978683	1005.780212	1576.935913	998.953613	-1.195226
256.355743	896.555176	1576.935913	1058.117188	23.745825
256.732819	937.514587	1526.874512	989.851563	8.880308
257.109894	894.279663	1586.037964	907.932800	1.973686
257.486877	932.963501	1558.731689	942.065613	1.454550
257.863831	887.453125	1688.436401	917.034912	3.693184
258.240753	1008.055725	1818.141113	932.963501	-9.269668
258.617645	914.759338	1788.559326	987.576050	8.333339
258.994507	967.096313	1797.661377	983.024963	1.917809
259.371307	964.820801	1984.254150	951.167725	-1.339281
259.748108	971.647400	2209.530762	983.024963	0.919114
260.124878	951.167725	2364.266113	935.239075	-1.127215
260.501617	919.310425	2555.409912	1005.780212	5.285118
