Jaz Data File
++++++++++++++++++++++++++++++++++++
Date: Wed Feb 07 06:55:16 2024
User: jaz
Dark Spectrum Present: Yes
Reference Spectrum Present: Yes
Processed Spectrum Present: Yes
Spectrometers: JAZA3692
Integration Time (usec): 43800 (JAZA3692)
Spectra Averaged: 1 (JAZA3692)
Boxcar Smoothing: 0 (JAZA3692)
Correct for Electrical Dark: No (JAZA3692)
Strobe/Lamp Enabled: Yes (JAZA3692)
Correct for Detector Non-linearity: No (JAZA3692)
Correct for Stray Light: No (JAZA3692)
Number of Pixels in Processed Spectrum: 2048
>>>>>Begin Processed Spectral Data<<<<<
W	D	R	S	P
190.244385	0.000000	0.000000	0.000000	0.000000
190.627136	0.000000	0.000000	0.000000	0.000000
191.009842	892.004150	873.799988	828.289551	350.000153
191.392532	855.595825	892.004150	787.330200	-187.500046
191.775177	960.269775	844.218201	948.892151	9.803938
192.157791	967.096313	969.371887	889.728638	-3399.919434
192.540390	892.004150	894.279663	892.004150	0.000000
192.922943	939.790100	935.239075	917.034912	500.001343
193.305481	980.749451	928.412476	898.830688	156.521774
193.687958	917.034912	937.514587	953.443237	177.777847
194.070419	967.096313	905.657288	907.932800	96.296310
194.452866	948.892151	935.239075	955.718750	-50.000446
194.835251	932.963501	985.300537	928.412476	-8.695612
195.217621	917.034912	907.932800	878.351013	424.999176
195.599960	962.545288	939.790100	912.483826	220.000214
195.982254	932.963501	944.341125	869.248962	-559.998596
196.364517	973.922913	955.718750	935.239075	212.499954
196.746750	967.096313	976.198425	889.728638	-849.997009
197.128952	967.096313	892.004150	907.932800	78.787865
197.511139	864.697876	919.310425	935.239075	129.166641
197.893280	962.545288	889.728638	964.820801	-3.124990
198.275391	953.443237	907.932800	910.208313	95.000023
198.657471	903.381775	937.514587	864.697876	-113.333466
199.039520	948.892151	935.239075	882.902100	483.334686
199.421539	917.034912	998.953613	973.922913	69.444458
199.803513	951.167725	973.922913	946.616638	-20.000216
200.185471	953.443237	983.024963	930.687988	-76.923332
200.567383	967.096313	985.300537	946.616638	-112.499580
200.949265	951.167725	1010.331238	821.463013	-219.230911
201.331131	898.830688	964.820801	816.911987	-124.137840
201.712967	923.861450	898.830688	882.902100	163.636047
202.094742	903.381775	942.065613	903.381775	0.000000
202.476517	944.341125	887.453125	869.248962	132.000000
202.858231	976.198425	973.922913	898.830688	3400.013428
203.239944	1044.463989	903.381775	964.820801	56.451614
203.621582	937.514587	1030.810913	896.555176	-43.902493
204.003235	953.443237	955.718750	928.412476	-1100.005371
204.384827	951.167725	932.963501	892.004150	324.999176
204.766388	969.371887	903.381775	851.044800	179.310333
205.147934	873.799988	901.106262	866.973450	-24.999887
205.529449	923.861450	910.208313	873.799988	366.666382
205.910904	910.208313	955.718750	923.861450	30.000013
206.292343	903.381775	978.473938	917.034912	18.181841
206.673767	885.177612	907.932800	885.177612	0.000000
207.055115	871.524475	985.300537	901.106262	26.000010
207.436462	948.892151	896.555176	905.657288	82.608643
207.817780	955.718750	917.034912	912.483826	111.764824
208.199051	853.320313	910.208313	928.412476	132.000000
208.580307	832.840637	976.198425	864.697876	22.222189
208.961517	903.381775	957.994263	957.994263	100.000000
209.342712	905.657288	905.657288	901.106262	0.000000
209.723846	955.718750	969.371887	864.697876	-666.666382
210.104965	969.371887	957.994263	869.248962	879.998474
210.486069	914.759338	946.616638	878.351013	-114.285660
210.867111	912.483826	962.545288	892.004150	-40.909061
211.248123	905.657288	885.177612	896.555176	44.444611
211.629120	926.136963	917.034912	819.187500	1175.004028
212.010071	873.799988	971.647400	873.799988	0.000000
212.390991	857.871338	946.616638	907.932800	56.410267
212.771881	946.616638	937.514587	948.892151	-25.000000
213.152756	876.075500	973.922913	960.269775	86.046501
213.533569	864.697876	930.687988	928.412476	96.551735
213.914368	876.075500	951.167725	928.412476	69.696930
214.295135	903.381775	896.555176	957.994263	-799.995544
214.675858	923.861450	967.096313	930.687988	15.789429
215.056549	866.973450	901.106262	885.177612	53.333321
215.437225	832.840637	907.932800	892.004150	78.787865
215.817841	910.208313	932.963501	789.605713	-530.000427
216.198441	973.922913	855.595825	894.279663	67.307709
216.579025	880.626526	932.963501	855.595825	-47.826035
216.959549	942.065613	878.351013	942.065613	-0.000000
217.340057	932.963501	1003.504700	819.187500	-161.290146
217.720535	889.728638	860.146851	866.973450	76.922966
218.100967	953.443237	923.861450	878.351013	253.846130
218.481369	939.790100	948.892151	944.341125	50.000000
218.861740	910.208313	939.790100	892.004150	-61.538414
219.242065	912.483826	944.341125	853.320313	-185.714142
219.622391	869.248962	935.239075	823.738525	-68.965538
220.002670	896.555176	896.555176	946.616638	0.000000
220.382919	926.136963	928.412476	828.289551	-4300.016113
220.763123	944.341125	937.514587	851.044800	1366.671143
221.143295	873.799988	973.922913	930.687988	56.818157
221.523453	921.585938	928.412476	880.626526	-600.002686
221.903549	848.769287	942.065613	855.595825	7.317049
222.283630	892.004150	926.136963	894.279663	6.666643
222.663696	932.963501	1001.229126	873.799988	-86.666626
223.043701	980.749451	939.790100	873.799988	261.111237
223.423676	862.422363	930.687988	957.994263	140.000031
223.803635	944.341125	946.616638	882.902100	-2700.008057
224.183548	980.749451	955.718750	830.565063	600.000732
224.563431	935.239075	1012.606750	864.697876	-91.176575
224.943283	946.616638	987.576050	898.830688	-116.666595
225.323105	951.167725	960.269775	873.799988	-850.003357
225.702881	901.106262	898.830688	873.799988	1199.973145
226.082642	853.320313	903.381775	841.942688	-22.727312
226.462357	905.657288	1046.739624	830.565063	-53.225815
226.842041	907.932800	1055.841675	901.106262	-4.615367
227.221695	857.871338	980.749451	917.034912	48.148178
227.601318	935.239075	978.473938	930.687988	-10.526427
227.980911	921.585938	1028.535400	878.351013	-40.425564
228.360474	917.034912	939.790100	887.453125	-130.000183
228.739990	905.657288	957.994263	923.861450	34.782604
229.119476	946.616638	1042.188477	942.065613	-4.761889
229.498932	971.647400	1119.556274	953.443237	-12.307688
229.878372	871.524475	1171.893188	917.034912	15.151524
230.257736	928.412476	1171.893188	887.453125	-16.822420
230.637115	855.595825	1112.729614	821.463013	-13.274340
231.016449	946.616638	1158.240112	841.942688	-49.462353
231.395737	853.320313	1115.005249	878.351013	9.565205
231.774994	912.483826	1083.147949	882.902100	-17.333302
232.154221	921.585938	1183.270874	857.871338	-24.347828
232.533417	894.279663	1051.290649	832.840637	-39.130398
232.912582	926.136963	1037.637451	882.902100	-38.775494
233.291702	821.463013	1030.810913	903.381775	39.130444
233.670792	910.208313	1049.015137	862.422363	-34.426224
234.049866	926.136963	1058.117188	860.146851	-50.000000
234.428894	853.320313	1074.045776	892.004150	17.525770
234.807892	932.963501	1089.974487	919.310425	-8.695619
235.186874	880.626526	1135.484863	914.759338	13.392857
235.565781	989.851563	1046.739624	901.106262	-155.999863
235.944687	957.994263	1103.627563	998.953613	28.124990
236.323547	917.034912	1105.903076	873.799988	-22.891590
236.702377	960.269775	1039.912964	892.004150	-85.714333
237.081177	873.799988	1101.352051	878.351013	1.999993
237.459946	869.248962	1178.719727	921.585938	16.911768
237.838669	969.371887	1149.138062	948.892151	-11.392430
238.217361	955.718750	1140.035889	898.830688	-30.864227
238.596039	953.443237	1083.147949	860.146851	-71.929832
238.974670	937.514587	1133.209351	892.004150	-23.255827
239.353271	901.106262	1126.382813	939.790100	17.171711
239.731842	930.687988	1169.617676	823.738525	-44.761898
240.110367	901.106262	1158.240112	914.759338	5.309716
240.488876	871.524475	1167.342163	873.799988	0.769228
240.867340	896.555176	1235.607788	921.585938	7.382560
241.245789	894.279663	1119.556274	869.248962	-11.111096
241.624176	910.208313	1233.332275	887.453125	-7.042247
242.002548	955.718750	1319.802124	903.381775	-14.374997
242.380890	882.902100	1308.424438	898.830688	3.743303
242.759186	907.932800	1454.057739	1010.331238	18.750002
243.137451	894.279663	1481.364014	960.269775	11.240312
243.515686	917.034912	1556.456177	994.402588	12.099641
243.893890	885.177612	1658.854614	980.749451	12.352938
244.272049	948.892151	1479.088501	1023.984375	14.163097
244.650192	926.136963	1567.833862	960.269775	5.319149
245.028290	844.218201	1415.373901	973.922913	22.709169
245.406357	901.106262	1369.863525	907.932800	1.456306
245.784393	907.932800	1372.139038	932.963501	5.392151
246.162384	928.412476	1365.312500	903.381775	-5.729160
246.540359	919.310425	1454.057739	923.861450	0.851061
246.918289	901.106262	1636.099487	957.994263	7.739935
247.296204	894.279663	1656.579102	969.371887	9.850752
247.674057	926.136963	1952.396851	928.412476	0.221729
248.051895	844.218201	2207.255127	996.678101	11.185310
248.429703	914.759338	2129.887451	1010.331238	7.865170
248.807465	942.065613	2079.825928	935.239075	-0.599998
249.185196	835.116150	2002.458252	953.443237	10.136454
249.562897	917.034912	1781.732788	882.902100	-3.947369
249.940567	921.585938	1695.262939	892.004150	-3.823532
250.318192	919.310425	1595.140137	980.749451	9.090903
250.695801	901.106262	1567.833862	944.341125	6.484637
251.073349	885.177612	1522.323364	935.239075	7.857144
251.450882	937.514587	1495.017212	937.514587	0.000000
251.828400	937.514587	1469.986450	955.718750	3.418803
252.205872	935.239075	1510.945801	957.994263	3.952566
252.583313	907.932800	1599.691162	919.310425	1.644740
252.960693	896.555176	1590.588989	1014.882263	17.049181
253.338074	812.360901	1604.242188	1017.157776	25.862068
253.715408	848.769287	1677.058838	1010.331238	19.505491
254.092682	944.341125	1615.619751	1003.504700	8.813564
254.469955	903.381775	1504.119263	967.096313	10.606053
254.847198	848.769287	1456.333252	969.371887	19.850189
255.224365	887.453125	1449.506714	898.830688	2.024284
255.601563	869.248962	1415.373901	960.269775	16.666664
255.978683	960.269775	1424.476074	898.830688	-13.235298
256.355743	814.636475	1458.608887	937.514587	19.081270
256.732819	962.545288	1410.822876	841.942688	-26.903553
257.109894	951.167725	1454.057739	914.759338	-7.239831
257.486877	914.759338	1451.782227	987.576050	13.559331
257.863831	930.687988	1583.762451	955.718750	3.832758
258.240753	901.106262	1670.232300	955.718750	7.100590
258.617645	898.830688	1663.405762	989.851563	11.904766
258.994507	914.759338	1795.385864	973.922913	6.718350
259.371307	923.861450	1947.845825	983.024963	5.777775
259.748108	1019.433350	1929.641602	903.381775	-12.750003
260.124878	896.555176	2145.816162	976.198425	6.375229
260.501617	946.616638	2327.857666	969.371887	1.647450
260.878296	912.483826	2685.114502	1055.841675	8.087294
261.254944	887.453125	2778.410889	1049.015137	8.543925
