Jaz Data File
++++++++++++++++++++++++++++++++++++
Date: Wed Feb 07 06:48:42 2024
User: jaz
Dark Spectrum Present: Yes
Reference Spectrum Present: Yes
Processed Spectrum Present: Yes
Spectrometers: JAZA3692
Integration Time (usec): 40000 (JAZA3692)
Spectra Averaged: 1 (JAZA3692)
Boxcar Smoothing: 0 (JAZA3692)
Correct for Electrical Dark: No (JAZA3692)
Strobe/Lamp Enabled: Yes (JAZA3692)
Correct for Detector Non-linearity: No (JAZA3692)
Correct for Stray Light: No (JAZA3692)
Number of Pixels in Processed Spectrum: 2048
>>>>>Begin Processed Spectral Data<<<<<
W	D	R	S	P
190.244385	0.000000	0.000000	0.000000	0.000000
190.627136	0.000000	0.000000	0.000000	0.000000
191.009842	971.647400	973.922913	844.218201	-5600.021484
191.392532	1005.780212	971.647400	992.127075	40.000034
191.775177	1010.331238	1008.055725	1033.086426	-1000.002686
192.157791	998.953613	969.371887	939.790100	200.000214
192.540390	1026.259888	987.576050	1076.321289	-129.411667
192.922943	1017.157776	1030.810913	969.371887	-349.999329
193.305481	1058.117188	939.790100	1010.331238	40.384624
193.687958	1105.903076	1035.361938	1055.841675	70.967667
194.070419	1085.423462	1010.331238	994.402588	121.212120
194.452866	1103.627563	1171.893188	1014.882263	-129.999985
194.835251	1012.606750	998.953613	1023.984375	-83.333405
195.217621	1055.841675	1064.943726	1039.912964	-175.001343
195.599960	1071.770264	1035.361938	1003.504700	187.499878
195.982254	1076.321289	1089.974487	1046.739624	-216.664734
196.364517	1028.535400	1039.912964	1062.668213	300.001068
196.746750	1033.086426	1076.321289	996.678101	-84.210571
197.128952	1021.708862	1035.361938	1033.086426	83.333336
197.511139	1051.290649	1074.045776	1062.668213	50.000000
197.893280	983.024963	1087.698975	1037.637451	52.173874
198.275391	1042.188477	1035.361938	1069.494751	-400.001801
198.657471	1089.974487	1037.637451	1112.729614	-43.478058
199.039520	1046.739624	1069.494751	973.922913	-320.001343
199.421539	1017.157776	1064.943726	992.127075	-52.380878
199.803513	1083.147949	973.922913	985.300537	89.583321
200.185471	1008.055725	1012.606750	994.402588	-300.001343
200.567383	1033.086426	1071.770264	996.678101	-94.117668
200.949265	1030.810913	1005.780212	1064.943726	-136.363785
201.331131	1012.606750	1083.147949	998.953613	-19.354841
201.712967	1026.259888	1044.463989	998.953613	-150.000671
202.094742	1012.606750	1035.361938	1001.229126	-50.000134
202.476517	1058.117188	1046.739624	1039.912964	160.001068
202.858231	1039.912964	1005.780212	1058.117188	-53.333595
203.239944	996.678101	1021.708862	1058.117188	245.454330
203.621582	998.953613	1021.708862	1028.535400	129.999832
204.003235	1076.321289	1033.086426	1021.708862	126.315712
204.384827	1049.015137	1033.086426	957.994263	571.426514
204.766388	1096.801025	985.300537	1042.188477	48.979649
205.147934	992.127075	1042.188477	1026.259888	68.181892
205.529449	1026.259888	1035.361938	1092.250000	725.002686
205.910904	1028.535400	1001.229126	1030.810913	-8.333296
206.292343	1001.229126	1005.780212	1021.708862	449.996643
206.673767	1021.708862	1003.504700	1021.708862	-0.000000
207.055115	1044.463989	1094.525513	1005.780212	-77.272469
207.436462	1023.984375	1005.780212	1115.005249	-500.000336
207.817780	1028.535400	1051.290649	992.127075	-159.999680
208.199051	1037.637451	1055.841675	1010.331238	-149.999329
208.580307	1053.566162	1026.259888	964.820801	324.999878
208.961517	983.024963	1012.606750	962.545288	-69.230690
209.342712	1026.259888	1058.117188	1030.810913	14.285660
209.723846	1001.229126	1030.810913	1026.259888	84.615448
210.104965	1078.596802	1055.841675	905.657288	760.002441
210.486069	998.953613	1094.525513	957.994263	-42.857105
210.867111	1008.055725	1069.494751	1019.433350	18.518562
211.248123	992.127075	1055.841675	1021.708862	46.428585
211.629120	1003.504700	1019.433350	1014.882263	71.428299
212.010071	1026.259888	1053.566162	1019.433350	-24.999887
212.390991	1001.229126	1099.076538	996.678101	-4.651145
212.771881	1012.606750	1026.259888	1067.219238	399.999542
213.152756	1012.606750	1044.463989	1023.984375	35.714409
213.533569	969.371887	1044.463989	1042.188477	96.969704
213.914368	1003.504700	1051.290649	983.024963	-42.857235
214.295135	1051.290649	1099.076538	985.300537	-138.095398
214.675858	1033.086426	980.749451	1008.055725	47.826035
215.056549	1019.433350	964.820801	1080.872437	-112.499947
215.437225	996.678101	1046.739624	1017.157776	40.909012
215.817841	937.514587	1019.433350	1042.188477	127.777672
216.198441	921.585938	1074.045776	1033.086426	73.134331
216.579025	964.820801	1049.015137	1001.229126	43.243198
216.959549	1019.433350	1042.188477	1017.157776	-10.000268
217.340057	1033.086426	987.576050	1030.810913	4.999987
217.720535	996.678101	1021.708862	992.127075	-18.181730
218.100967	957.994263	1069.494751	1030.810913	65.306129
218.481369	1035.361938	1069.494751	1087.698975	153.333496
218.861740	1133.209351	1042.188477	1033.086426	109.999962
219.242065	1010.331238	1112.729614	960.269775	-48.888924
219.622391	1051.290649	1089.974487	1028.535400	-58.823658
220.002670	1060.392700	1115.005249	976.198425	-154.166534
220.382919	1001.229126	1153.689087	994.402588	-4.477594
220.763123	1096.801025	1039.912964	998.953613	171.999908
221.143295	1028.535400	1096.801025	1067.219238	56.666641
221.523453	1060.392700	1099.076538	1067.219238	17.647003
221.903549	1008.055725	1101.352051	1062.668213	58.536591
222.283630	1051.290649	1026.259888	1117.280762	-263.636047
222.663696	1010.331238	1046.739624	1071.770264	168.749649
223.043701	989.851563	1039.912964	1001.229126	22.727217
223.423676	967.096313	1044.463989	955.718750	-14.705836
223.803635	1051.290649	1067.219238	1019.433350	-200.000763
224.183548	1010.331238	1135.484863	1033.086426	18.181805
224.563431	1049.015137	1062.668213	1014.882263	-250.001343
224.943283	1071.770264	1035.361938	1099.076538	-75.000084
225.323105	1010.331238	1078.596802	994.402588	-23.333361
225.702881	994.402588	973.922913	1074.045776	-388.888916
226.082642	1014.882263	1046.739624	998.953613	-49.999905
226.462357	1026.259888	1028.535400	1014.882263	-500.002686
226.842041	1026.259888	1083.147949	1089.974487	111.999947
227.221695	1035.361938	1089.974487	1033.086426	-4.166648
227.601318	1010.331238	1087.698975	1062.668213	67.647026
227.980911	969.371887	1105.903076	1037.637451	49.999977
228.360474	996.678101	1078.596802	1042.188477	55.555538
228.739990	1042.188477	1085.423462	1023.984375	-42.105026
229.119476	998.953613	1183.270874	1010.331238	6.172848
229.498932	1044.463989	1178.719727	1030.810913	-10.169455
229.878372	1060.392700	1096.801025	1049.015137	-31.249895
230.257736	969.371887	1294.771362	1044.463989	23.076897
230.637115	978.473938	1217.403687	1021.708862	18.095245
231.016449	930.687988	1267.465088	953.443237	6.756769
231.395737	976.198425	1176.444214	948.892151	-13.636379
231.774994	1037.637451	1215.128052	980.749451	-32.051273
232.154221	987.576050	1190.097412	985.300537	-1.123591
232.533417	1008.055725	1242.434326	1044.463989	15.533954
232.912582	1037.637451	1192.372925	1069.494751	20.588232
233.291702	1033.086426	1180.995239	994.402588	-26.153843
233.670792	989.851563	1153.689087	1089.974487	61.111107
234.049866	1026.259888	1124.107300	1051.290649	25.581425
234.428894	1014.882263	1105.903076	996.678101	-20.000000
234.807892	992.127075	1187.821899	1033.086426	20.930216
235.186874	1008.055725	1155.964600	1062.668213	36.923065
235.565781	1044.463989	1262.914063	1010.331238	-15.624967
235.944687	985.300537	1240.158813	1087.698975	40.178581
236.323547	992.127075	1160.515625	1028.535400	21.621616
236.702377	1026.259888	1215.128052	1044.463989	9.638523
237.081177	1062.668213	1224.230225	1058.117188	-2.816891
237.459946	1028.535400	1187.821899	1005.780212	-14.285698
237.838669	1003.504700	1269.740601	1021.708862	6.837606
238.217361	1035.361938	1176.444214	1008.055725	-19.354815
238.596039	1017.157776	1224.230225	1012.606750	-2.197794
238.974670	1053.566162	1176.444214	1035.361938	-14.814870
239.353271	1028.535400	1190.097412	1044.463989	9.859118
239.731842	1128.658325	1265.189575	1108.178589	-15.000036
240.110367	1058.117188	1285.669312	1030.810913	-12.000009
240.488876	1023.984375	1290.220337	971.647400	-19.658115
240.867340	1035.361938	1283.393677	1051.290649	6.422045
241.245789	955.718750	1335.730713	1089.974487	35.329346
241.624176	930.687988	1374.414551	1074.045776	32.307686
242.002548	1026.259888	1353.934937	1026.259888	0.000000
242.380890	1026.259888	1415.373901	1060.392700	8.771931
242.759186	948.892151	1501.843750	1067.219238	21.399176
243.137451	1049.015137	1501.843750	1103.627563	12.060287
243.515686	1044.463989	1581.486938	1044.463989	0.000000
243.893890	998.953613	1686.160889	1049.015137	7.284778
244.272049	1094.525513	1561.007324	1037.637451	-12.195129
244.650192	1014.882263	1474.537476	1067.219238	11.386138
245.028290	1112.729614	1483.639526	1060.392700	-14.110412
245.406357	951.167725	1501.843750	1051.290649	18.181820
245.784393	985.300537	1451.782227	1023.984375	8.292681
246.162384	1026.259888	1481.364014	976.198425	-11.000002
246.540359	1087.698975	1504.119263	1017.157776	-16.939905
246.918289	1037.637451	1649.752563	1133.209351	15.613387
247.296204	1033.086426	1713.467163	1135.484863	15.050167
247.674057	992.127075	1954.672363	1069.494751	8.037822
248.051895	955.718750	2175.397949	1199.199463	19.962685
248.429703	1012.606750	2120.785400	1135.484863	11.088294
248.807465	985.300537	2104.856689	1151.413574	14.837401
249.185196	1067.219238	2034.315552	1144.586914	7.999997
249.562897	1033.086426	1827.243164	1083.147949	6.303733
249.940567	998.953613	1774.906250	1105.903076	13.782989
250.318192	1076.321289	1681.609863	1099.076538	3.759405
250.695801	1085.423462	1674.783325	1121.831787	6.177605
251.073349	1014.882263	1558.731689	1133.209351	21.757324
251.450882	1044.463989	1611.068726	1096.801025	9.236957
251.828400	1053.566162	1492.741699	1105.903076	11.917083
252.205872	1051.290649	1540.527588	1071.770264	4.186032
252.583313	1067.219238	1638.375000	1108.178589	7.171310
252.960693	1014.882263	1729.395752	1140.035889	17.515923
253.338074	1005.780212	1733.946899	1021.708862	2.187500
253.715408	1023.984375	1820.416626	1030.810913	0.857140
254.092682	1074.045776	1679.334351	1049.015137	-4.135324
254.469955	1051.290649	1592.864502	1133.209351	15.126044
254.847198	1001.229126	1601.966675	1071.770264	11.742422
255.224365	1035.361938	1517.772339	1053.566162	3.773597
255.601563	1133.209351	1483.639526	1092.250000	-11.688306
255.978683	928.412476	1595.140137	1115.005249	27.986355
256.355743	1062.668213	1567.833862	1115.005249	10.360372
