Jaz Data File
++++++++++++++++++++++++++++++++++++
Date: Wed Feb 07 06:48:47 2024
User: jaz
Dark Spectrum Present: Yes
Reference Spectrum Present: Yes
Processed Spectrum Present: Yes
Spectrometers: JAZA3692
Integration Time (usec): 40000 (JAZA3692)
Spectra Averaged: 1 (JAZA3692)
Boxcar Smoothing: 0 (JAZA3692)
Correct for Electrical Dark: No (JAZA3692)
Strobe/Lamp Enabled: Yes (JAZA3692)
Correct for Detector Non-linearity: No (JAZA3692)
Correct for Stray Light: No (JAZA3692)
Number of Pixels in Processed Spectrum: 2048
>>>>>Begin Processed Spectral Data<<<<<
W	D	R	S	P
190.244385	0.000000	0.000000	0.000000	0.000000
190.627136	0.000000	0.000000	0.000000	0.000000
191.009842	971.647400	973.922913	1055.841675	3700.013428
191.392532	1005.780212	971.647400	951.167725	159.999969
191.775177	1010.331238	1008.055725	973.922913	1600.005371
192.157791	998.953613	969.371887	1035.361938	-123.077080
192.540390	1026.259888	987.576050	1035.361938	-23.529337
192.922943	1017.157776	1030.810913	1012.606750	-33.333183
193.305481	1058.117188	939.790100	1076.321289	-15.384560
193.687958	1105.903076	1035.361938	1119.556274	-19.354944
194.070419	1085.423462	1010.331238	1030.810913	72.727303
194.452866	1103.627563	1171.893188	1055.841675	-69.999931
194.835251	1012.606750	998.953613	1023.984375	-83.333405
195.217621	1055.841675	1064.943726	1046.739624	-100.000000
195.599960	1071.770264	1035.361938	1044.463989	75.000084
195.982254	1076.321289	1089.974487	1010.331238	-483.330353
196.364517	1028.535400	1039.912964	1049.015137	180.001068
196.746750	1033.086426	1076.321289	994.402588	-89.473717
197.128952	1021.708862	1035.361938	1026.259888	33.333332
197.511139	1051.290649	1074.045776	992.127075	-260.001068
197.893280	983.024963	1087.698975	1085.423462	97.826096
198.275391	1042.188477	1035.361938	1046.739624	-66.668457
198.657471	1089.974487	1037.637451	1060.392700	56.521709
199.039520	1046.739624	1069.494751	1019.433350	-120.000534
199.421539	1017.157776	1064.943726	1030.810913	28.571447
199.803513	1083.147949	973.922913	1058.117188	22.916689
200.185471	1008.055725	1012.606750	1028.535400	450.001343
200.567383	1033.086426	1071.770264	1014.882263	-47.058834
200.949265	1030.810913	1005.780212	1046.739624	-63.636696
201.331131	1012.606750	1083.147949	976.198425	-51.612854
201.712967	1026.259888	1044.463989	1019.433350	-37.500000
202.094742	1012.606750	1035.361938	1014.882263	9.999973
202.476517	1058.117188	1046.739624	1001.229126	500.002136
202.858231	1039.912964	1005.780212	957.994263	240.000290
203.239944	996.678101	1021.708862	1014.882263	72.727165
203.621582	998.953613	1021.708862	1001.229126	9.999947
204.003235	1076.321289	1033.086426	1055.841675	47.368286
204.384827	1049.015137	1033.086426	1008.055725	257.142029
204.766388	1096.801025	985.300537	1017.157776	71.428612
205.147934	992.127075	1042.188477	1005.780212	27.272783
205.529449	1026.259888	1035.361938	1039.912964	150.000000
205.910904	1028.535400	1001.229126	1067.219238	-141.666473
206.292343	1001.229126	1005.780212	1035.361938	749.992615
206.673767	1021.708862	1003.504700	1017.157776	25.000252
207.055115	1044.463989	1094.525513	1067.219238	45.454567
207.436462	1023.984375	1005.780212	989.851563	187.500046
207.817780	1028.535400	1051.290649	1051.290649	100.000000
208.199051	1037.637451	1055.841675	1039.912964	12.499916
208.580307	1053.566162	1026.259888	971.647400	299.999786
208.961517	983.024963	1012.606750	1003.504700	69.230896
209.342712	1026.259888	1058.117188	1023.984375	-7.142830
209.723846	1001.229126	1030.810913	951.167725	-169.230484
210.104965	1078.596802	1055.841675	919.310425	700.002136
210.486069	998.953613	1094.525513	1012.606750	14.285724
210.867111	1008.055725	1069.494751	1012.606750	7.407385
211.248123	992.127075	1055.841675	1003.504700	17.857170
211.629120	1003.504700	1019.433350	1026.259888	142.856979
212.010071	1026.259888	1053.566162	992.127075	-124.999886
212.390991	1001.229126	1099.076538	976.198425	-25.581362
212.771881	1012.606750	1026.259888	946.616638	-483.332947
213.152756	1012.606750	1044.463989	998.953613	-42.857254
213.533569	969.371887	1044.463989	983.024963	18.181774
213.914368	1003.504700	1051.290649	992.127075	-23.809561
214.295135	1051.290649	1099.076538	980.749451	-147.619308
214.675858	1033.086426	980.749451	1023.984375	17.391243
215.056549	1019.433350	964.820801	1010.331238	16.666704
215.437225	996.678101	1046.739624	1099.076538	204.545181
215.817841	937.514587	1019.433350	1019.433350	100.000000
216.198441	921.585938	1074.045776	980.749451	38.805965
216.579025	964.820801	1049.015137	955.718750	-10.810763
216.959549	1019.433350	1042.188477	1124.107300	460.001617
217.340057	1033.086426	987.576050	980.749451	115.000092
217.720535	996.678101	1021.708862	962.545288	-136.363464
218.100967	957.994263	1069.494751	1030.810913	65.306129
218.481369	1035.361938	1069.494751	917.034912	-346.666504
218.861740	1133.209351	1042.188477	969.371887	179.999878
219.242065	1010.331238	1112.729614	1033.086426	22.222216
219.622391	1051.290649	1089.974487	1010.331238	-105.882492
220.002670	1060.392700	1115.005249	935.239075	-229.166428
220.382919	1001.229126	1153.689087	967.096313	-22.388050
220.763123	1096.801025	1039.912964	898.830688	347.999786
221.143295	1028.535400	1096.801025	1087.698975	86.666718
221.523453	1060.392700	1099.076538	973.922913	-223.529495
221.903549	1008.055725	1101.352051	1064.943726	60.975605
222.283630	1051.290649	1026.259888	1046.739624	18.181730
222.663696	1010.331238	1046.739624	969.371887	-112.499771
223.043701	989.851563	1039.912964	1035.361938	90.909111
223.423676	967.096313	1044.463989	1037.637451	91.176498
223.803635	1051.290649	1067.219238	1042.188477	-57.143623
224.183548	1010.331238	1135.484863	1014.882263	3.636351
224.563431	1049.015137	1062.668213	962.545288	-633.335999
224.943283	1071.770264	1035.361938	937.514587	368.749939
225.323105	1010.331238	1078.596802	1051.290649	60.000107
225.702881	994.402588	973.922913	1060.392700	-322.222443
226.082642	1014.882263	1046.739624	964.820801	-157.142532
226.462357	1026.259888	1028.535400	951.167725	-3300.010742
226.842041	1026.259888	1083.147949	1001.229126	-44.000027
227.221695	1035.361938	1089.974487	987.576050	-87.499832
227.601318	1010.331238	1087.698975	1033.086426	29.411728
227.980911	969.371887	1105.903076	1035.361938	48.333317
228.360474	996.678101	1078.596802	992.127075	-5.555539
228.739990	1042.188477	1085.423462	1037.637451	-10.526257
229.119476	998.953613	1183.270874	1026.259888	14.814822
229.498932	1044.463989	1178.719727	1005.780212	-28.813499
229.878372	1060.392700	1096.801025	998.953613	-168.750107
230.257736	969.371887	1294.771362	1051.290649	25.174829
230.637115	978.473938	1217.403687	1021.708862	18.095245
231.016449	930.687988	1267.465088	967.096313	10.810808
231.395737	976.198425	1176.444214	1037.637451	30.681807
231.774994	1037.637451	1215.128052	992.127075	-25.641006
232.154221	987.576050	1190.097412	973.922913	-6.741579
232.533417	1008.055725	1242.434326	978.473938	-12.621368
232.912582	1037.637451	1192.372925	980.749451	-36.764679
233.291702	1033.086426	1180.995239	1053.566162	13.846190
233.670792	989.851563	1153.689087	1003.504700	8.333340
234.049866	1026.259888	1124.107300	1110.454102	86.046440
234.428894	1014.882263	1105.903076	1005.780212	-9.999967
234.807892	992.127075	1187.821899	1042.188477	25.581362
235.186874	1008.055725	1155.964600	998.953613	-6.153864
235.565781	1044.463989	1262.914063	1012.606750	-14.583304
235.944687	985.300537	1240.158813	1060.392700	29.464283
236.323547	992.127075	1160.515625	983.024963	-5.405422
236.702377	1026.259888	1215.128052	1019.433350	-3.614446
237.081177	1062.668213	1224.230225	1010.331238	-32.394356
237.459946	1028.535400	1187.821899	978.473938	-31.428566
237.838669	1003.504700	1269.740601	1042.188477	14.529887
238.217361	1035.361938	1176.444214	1042.188477	4.838693
238.596039	1017.157776	1224.230225	998.953613	-8.791204
238.974670	1053.566162	1176.444214	985.300537	-55.555588
239.353271	1028.535400	1190.097412	1026.259888	-1.408445
239.731842	1128.658325	1265.189575	1014.882263	-83.333351
240.110367	1058.117188	1285.669312	973.922913	-36.999996
240.488876	1023.984375	1290.220337	1001.229126	-8.547023
240.867340	1035.361938	1283.393677	973.922913	-24.770630
241.245789	955.718750	1335.730713	946.616638	-2.395217
241.624176	930.687988	1374.414551	1003.504700	16.410267
242.002548	1026.259888	1353.934937	1021.708862	-1.388884
242.380890	1026.259888	1415.373901	1069.494751	11.111104
242.759186	948.892151	1501.843750	1037.637451	16.049379
243.137451	1049.015137	1501.843750	1069.494751	4.522597
243.515686	1044.463989	1581.486938	1053.566162	1.694932
243.893890	998.953613	1686.160889	1028.535400	4.304638
244.272049	1094.525513	1561.007324	1028.535400	-14.146342
244.650192	1014.882263	1474.537476	1092.250000	16.831690
245.028290	1112.729614	1483.639526	1044.463989	-18.404907
245.406357	951.167725	1501.843750	1010.331238	10.743796
245.784393	985.300537	1451.782227	1071.770264	18.536575
246.162384	1026.259888	1481.364014	1049.015137	5.000010
246.540359	1087.698975	1504.119263	1033.086426	-13.114766
246.918289	1037.637451	1649.752563	1089.974487	8.550195
247.296204	1033.086426	1713.467163	1108.178589	11.036785
247.674057	992.127075	1954.672363	1096.801025	10.874704
248.051895	955.718750	2175.397949	1085.423462	10.634330
248.429703	1012.606750	2120.785400	1096.801025	7.597536
248.807465	985.300537	2104.856689	1130.933838	13.008128
249.185196	1067.219238	2034.315552	1110.454102	4.470585
249.562897	1033.086426	1827.243164	1074.045776	5.157590
249.940567	998.953613	1774.906250	1074.045776	9.677416
250.318192	1076.321289	1681.609863	1049.015137	-4.511262
250.695801	1085.423462	1674.783325	1064.943726	-3.474912
251.073349	1014.882263	1558.731689	1105.903076	16.736399
251.450882	1044.463989	1611.068726	1083.147949	6.827327
251.828400	1053.566162	1492.741699	1080.872437	6.217622
252.205872	1051.290649	1540.527588	1083.147949	6.511630
252.583313	1067.219238	1638.375000	1115.005249	8.366547
252.960693	1014.882263	1729.395752	1092.250000	10.828031
253.338074	1005.780212	1733.946899	1096.801025	12.499997
253.715408	1023.984375	1820.416626	1042.188477	2.285706
254.092682	1074.045776	1679.334351	1067.219238	-1.127815
254.469955	1051.290649	1592.864502	1062.668213	2.100833
254.847198	1001.229126	1601.966675	1030.810913	4.924245
255.224365	1035.361938	1517.772339	1019.433350	-3.301875
255.601563	1133.209351	1483.639526	1003.504700	-37.012981
255.978683	928.412476	1595.140137	1092.250000	24.573380
256.355743	1062.668213	1567.833862	1137.760376	14.864860
