Jaz Data File
++++++++++++++++++++++++++++++++++++
Date: Wed Feb 07 06:45:03 2024
User: jaz
Dark Spectrum Present: Yes
Reference Spectrum Present: Yes
Processed Spectrum Present: Yes
Spectrometers: JAZA3692
Integration Time (usec): 40000 (JAZA3692)
Spectra Averaged: 1 (JAZA3692)
Boxcar Smoothing: 0 (JAZA3692)
Correct for Electrical Dark: No (JAZA3692)
Strobe/Lamp Enabled: Yes (JAZA3692)
Correct for Detector Non-linearity: No (JAZA3692)
Correct for Stray Light: No (JAZA3692)
Number of Pixels in Processed Spectrum: 2048
>>>>>Begin Processed Spectral Data<<<<<
W	D	R	S	P
190.244385	0.000000	0.000000	0.000000	0.000000
190.627136	0.000000	0.000000	0.000000	0.000000
191.009842	1083.147949	1133.209351	1064.943726	-36.363792
191.392532	1112.729614	1119.556274	1037.637451	-1099.983887
191.775177	1108.178589	1076.321289	1105.903076	7.142830
192.157791	1074.045776	1146.862427	1064.943726	-12.499958
192.540390	1196.923950	1101.352051	1085.423462	116.666603
192.922943	1142.311401	1117.280762	1115.005249	109.090912
193.305481	1085.423462	1274.291626	1085.423462	0.000000
193.687958	1201.474976	1078.596802	1160.515625	33.333302
194.070419	1180.995239	1158.240112	1228.781250	-210.001068
194.452866	1130.933838	1167.342163	1039.912964	-250.000168
194.835251	1140.035889	1199.199463	1180.995239	69.230690
195.217621	1155.964600	1133.209351	1128.658325	119.999893
195.599960	1092.250000	1165.066650	1074.045776	-25.000084
195.982254	1162.791138	1099.076538	1121.831787	64.285660
196.364517	1101.352051	1133.209351	1092.250000	-28.571320
196.746750	1085.423462	1192.372925	1174.168701	82.978668
197.128952	1162.791138	1133.209351	1062.668213	338.461365
197.511139	1165.066650	1110.454102	1087.698975	141.666473
197.893280	1151.413574	1174.168701	1124.107300	-120.000534
198.275391	1110.454102	1140.035889	1169.617676	200.000000
198.657471	1199.199463	1171.893188	1049.015137	549.999329
199.039520	1146.862427	1137.760376	1085.423462	675.001343
199.421539	1180.995239	1174.168701	1087.698975	1366.670288
199.803513	1124.107300	1119.556274	1074.045776	1100.005371
200.185471	1206.026001	1137.760376	1144.586914	90.000038
200.567383	1117.280762	1180.995239	1083.147949	-53.571518
200.949265	1126.382813	1158.240112	1087.698975	-121.428490
201.331131	1165.066650	1208.301514	1142.311401	-52.631714
201.712967	1183.270874	1144.586914	1105.903076	199.999680
202.094742	1124.107300	1169.617676	1128.658325	9.999973
202.476517	1160.515625	1149.138062	1110.454102	440.002136
202.858231	1153.689087	1133.209351	1101.352051	255.555222
203.239944	1165.066650	1149.138062	1117.280762	300.000763
203.621582	1171.893188	1137.760376	1089.974487	239.999863
204.003235	1174.168701	1140.035889	1046.739624	373.333069
204.384827	1153.689087	1203.750488	1099.076538	-109.091133
204.766388	1174.168701	1092.250000	1158.240112	19.444387
205.147934	1133.209351	1228.781250	1110.454102	-23.809561
205.529449	1060.392700	1231.056763	1128.658325	40.000000
205.910904	1135.484863	1135.484863	1094.525513	0.000000
206.292343	1167.342163	1126.382813	1094.525513	177.777847
206.673767	1169.617676	1149.138062	1130.933838	188.889481
207.055115	1185.546387	1231.056763	1062.668213	-270.000336
207.436462	1112.729614	1162.791138	1067.219238	-90.908890
207.817780	1137.760376	1171.893188	1128.658325	-26.666571
208.199051	1126.382813	1158.240112	1055.841675	-221.428482
208.580307	1174.168701	1142.311401	1076.321289	307.142822
208.961517	1112.729614	1115.005249	1121.831787	399.983917
209.342712	1051.290649	1130.933838	1128.658325	97.142868
209.723846	1117.280762	1121.831787	1137.760376	450.000000
210.104965	1160.515625	1151.413574	1037.637451	1350.005371
210.486069	1099.076538	1149.138062	969.371887	-259.090485
210.867111	1140.035889	1162.791138	1099.076538	-179.999573
211.248123	1137.760376	1183.270874	1092.250000	-99.999733
211.629120	1167.342163	1185.546387	1119.556274	-262.498901
212.010071	1121.831787	1217.403687	1064.943726	-59.523838
212.390991	1165.066650	1146.862427	1062.668213	562.498230
212.771881	1117.280762	1192.372925	1039.912964	-103.030457
213.152756	1110.454102	1167.342163	1083.147949	-47.999794
213.533569	1149.138062	1124.107300	1089.974487	236.363464
213.914368	1142.311401	1108.178589	1149.138062	-20.000286
214.295135	1180.995239	1099.076538	1099.076538	100.000000
214.675858	1140.035889	1185.546387	1101.352051	-84.999809
215.056549	1130.933838	1094.525513	1117.280762	37.499874
215.437225	1119.556274	1115.005249	1099.076538	450.002686
215.817841	1171.893188	1217.403687	1094.525513	-169.999619
216.198441	1190.097412	1149.138062	1124.107300	161.111221
216.579025	1190.097412	1160.515625	996.678101	653.845947
216.959549	1158.240112	1196.923950	1142.311401	-41.176655
217.340057	1135.484863	1151.413574	1187.821899	328.570435
217.720535	1124.107300	1135.484863	1099.076538	-220.001068
218.100967	1144.586914	1194.648438	1035.361938	-218.181488
218.481369	1153.689087	1160.515625	1126.382813	-400.001801
218.861740	1137.760376	1212.852539	1112.729614	-33.333389
219.242065	1094.525513	1199.199463	1133.209351	36.956509
219.622391	1099.076538	1199.199463	1119.556274	20.454592
220.002670	1099.076538	1165.066650	1071.770264	-41.379341
220.382919	1089.974487	1251.536499	1128.658325	23.943647
220.763123	1099.076538	1171.893188	1094.525513	-6.249979
221.143295	1146.862427	1192.372925	1078.596802	-149.999725
221.523453	1112.729614	1146.862427	1037.637451	-219.999924
221.903549	1096.801025	1199.199463	1085.423462	-11.111072
222.283630	1108.178589	1165.066650	1112.729614	7.999966
222.663696	1140.035889	1144.586914	1119.556274	-450.000000
223.043701	1169.617676	1224.230225	1149.138062	-37.499832
223.423676	1178.719727	1130.933838	1083.147949	200.000000
223.803635	1135.484863	1092.250000	1124.107300	26.315716
224.183548	1121.831787	1203.750488	1103.627563	-22.222305
224.563431	1124.107300	1187.821899	1124.107300	0.000000
224.943283	1215.128052	1265.189575	1119.556274	-190.908646
225.323105	1074.045776	1178.719727	1055.841675	-17.391243
225.702881	1133.209351	1221.954712	1058.117188	-84.615311
226.082642	1080.872437	1140.035889	1126.382813	76.923126
226.462357	1089.974487	1151.413574	1137.760376	77.777664
226.842041	1103.627563	1153.689087	1119.556274	31.818270
227.221695	1178.719727	1208.301514	1078.596802	-338.461365
227.601318	1096.801025	1212.852539	1062.668213	-29.411777
227.980911	1130.933838	1240.158813	1126.382813	-4.166653
228.360474	1083.147949	1171.893188	1124.107300	46.153858
228.739990	1096.801025	1210.577026	1171.893188	66.000000
229.119476	1121.831787	1228.781250	1105.903076	-14.893681
229.498932	1069.494751	1240.158813	1099.076538	17.333344
229.878372	1067.219238	1331.179688	1089.974487	8.620704
230.257736	1153.689087	1358.485962	1074.045776	-38.888927
230.637115	1087.698975	1308.424438	1092.250000	2.061849
231.016449	1135.484863	1312.975464	1119.556274	-8.974328
231.395737	1096.801025	1237.883301	1121.831787	17.741961
231.774994	1124.107300	1215.128052	1105.903076	-20.000080
232.154221	1140.035889	1303.873413	1130.933838	-5.555535
232.533417	1142.311401	1342.557251	1042.188477	-50.000000
232.912582	1128.658325	1231.056763	1008.055725	-117.777771
233.291702	1151.413574	1306.148926	1021.708862	-83.823578
233.670792	1155.964600	1231.056763	1060.392700	-127.272804
234.049866	1158.240112	1217.403687	1124.107300	-57.692276
234.428894	1096.801025	1144.586914	1108.178589	23.809464
234.807892	1176.444214	1226.505737	1115.005249	-122.726921
235.186874	1126.382813	1274.291626	1064.943726	-41.538490
235.565781	1101.352051	1244.709839	1105.903076	3.174592
235.944687	1126.382813	1274.291626	1140.035889	9.230739
236.323547	1146.862427	1303.873413	1153.689087	4.347887
236.702377	1115.005249	1256.087524	1153.689087	27.419346
237.081177	1124.107300	1258.363037	1062.668213	-45.762726
237.459946	1215.128052	1290.220337	1092.250000	-163.636047
237.838669	1233.332275	1231.056763	1092.250000	6200.021484
238.217361	1206.026001	1274.291626	1099.076538	-156.666641
238.596039	1119.556274	1342.557251	1112.729614	-3.061269
238.974670	1119.556274	1240.158813	1099.076538	-16.981182
239.353271	1137.760376	1353.934937	1085.423462	-24.210487
239.731842	1149.138062	1253.812012	1055.841675	-89.130470
240.110367	1155.964600	1376.690063	1044.463989	-50.515518
240.488876	1162.791138	1303.873413	1058.117188	-74.193550
240.867340	1060.392700	1424.476074	1085.423462	6.875008
241.245789	1146.862427	1356.210449	1137.760376	-4.347808
241.624176	1083.147949	1406.271851	1071.770264	-3.521152
242.002548	1153.689087	1415.373901	1089.974487	-24.347839
242.380890	1121.831787	1447.231201	1019.433350	-31.468538
242.759186	1046.739624	1542.803101	1130.933838	16.972467
243.137451	1067.219238	1699.814087	1067.219238	0.000000
243.515686	1169.617676	1699.814087	1037.637451	-24.892704
243.893890	1151.413574	1652.028076	1101.352051	-10.000014
244.272049	1115.005249	1670.232300	1080.872437	-6.147542
244.650192	1105.903076	1588.313477	1103.627563	-0.471696
245.028290	1130.933838	1604.242188	1028.535400	-21.634615
245.406357	1130.933838	1558.731689	1115.005249	-3.723392
245.784393	1119.556274	1570.109375	1108.178589	-2.525271
246.162384	1206.026001	1570.109375	1219.679199	3.750020
246.540359	1162.791138	1604.242188	1083.147949	-18.041227
246.918289	1137.760376	1626.997314	1174.168701	7.441859
247.296204	1196.923950	1770.355225	1010.331238	-32.539680
247.674057	1153.689087	2018.386963	1069.494751	-9.736850
248.051895	1187.821899	2195.877686	1124.107300	-6.320543
248.429703	1226.505737	2168.571289	1119.556274	-11.352656
248.807465	1153.689087	2161.744873	1124.107300	-2.934539
249.185196	1155.964600	2045.693237	1137.760376	-2.046042
249.562897	1108.178589	1902.335449	1162.791138	6.876796
249.940567	1101.352051	1961.498901	1121.831787	2.380958
250.318192	1160.515625	1781.732788	1099.076538	-9.890114
250.695801	1144.586914	1695.262939	1112.729614	-5.785126
251.073349	1096.801025	1647.477051	1101.352051	0.826443
251.450882	1160.515625	1529.150024	1105.903076	-14.814827
251.828400	1167.342163	1556.456177	1085.423462	-21.052622
252.205872	1101.352051	1683.885376	1055.841675	-7.812493
252.583313	1110.454102	1736.222412	1089.974487	-3.272715
252.960693	1158.240112	1654.303589	1128.658325	-5.963307
253.338074	1128.658325	1834.069824	1171.893188	6.129027
253.715408	1140.035889	1804.488037	1149.138062	1.369876
254.092682	1176.444214	1890.957764	1101.352051	-10.509551
254.469955	1185.546387	1695.262939	1146.862427	-7.589308
254.847198	1085.423462	1624.721802	1042.188477	-8.016895
