Jaz Data File
++++++++++++++++++++++++++++++++++++
Date: Wed Feb 07 06:46:43 2024
User: jaz
Dark Spectrum Present: Yes
Reference Spectrum Present: Yes
Processed Spectrum Present: Yes
Spectrometers: JAZA3692
Integration Time (usec): 47000 (JAZA3692)
Spectra Averaged: 1 (JAZA3692)
Boxcar Smoothing: 0 (JAZA3692)
Correct for Electrical Dark: No (JAZA3692)
Strobe/Lamp Enabled: Yes (JAZA3692)
Correct for Detector Non-linearity: No (JAZA3692)
Correct for Stray Light: No (JAZA3692)
Number of Pixels in Processed Spectrum: 2048
>>>>>Begin Processed Spectral Data<<<<<
W	D	R	S	P
190.244385	0.000000	0.000000	0.000000	0.000000
190.627136	0.000000	0.000000	0.000000	0.000000
191.009842	1044.463989	1105.903076	1023.984375	-33.333202
191.392532	964.820801	1023.984375	1026.259888	103.846138
191.775177	1033.086426	971.647400	1026.259888	11.111078
192.157791	1092.250000	1023.984375	1101.352051	-13.333285
192.540390	1117.280762	1112.729614	1055.841675	1349.969116
192.922943	1119.556274	1058.117188	1053.566162	107.407379
193.305481	1064.943726	1151.413574	1105.903076	47.368362
193.687958	1089.974487	1037.637451	1019.433350	134.782440
194.070419	1162.791138	1089.974487	1105.903076	78.125076
194.452866	1060.392700	1130.933838	1094.525513	48.387104
194.835251	1115.005249	1117.280762	1058.117188	-2500.010742
195.217621	1049.015137	1049.015137	1117.280762	0.000000
195.599960	1033.086426	1105.903076	1087.698975	75.000084
195.982254	1158.240112	1094.525513	1078.596802	125.000099
196.364517	1094.525513	1144.586914	1030.810913	-127.272903
196.746750	1101.352051	1167.342163	1044.463989	-86.206947
197.128952	1119.556274	1060.392700	1064.943726	92.307724
197.511139	1137.760376	1055.841675	1146.862427	-11.111078
197.893280	1101.352051	1021.708862	1126.382813	-31.428629
198.275391	1117.280762	1076.321289	1039.912964	188.888657
198.657471	1128.658325	1069.494751	1069.494751	100.000000
199.039520	989.851563	1108.178589	1067.219238	65.384621
199.421539	1089.974487	1087.698975	1076.321289	600.005371
199.803513	1099.076538	1039.912964	1103.627563	-7.692276
200.185471	1017.157776	1140.035889	1033.086426	12.962968
200.567383	1053.566162	1124.107300	1058.117188	6.451591
200.949265	1087.698975	1094.525513	1046.739624	-600.001770
201.331131	1042.188477	1128.658325	1144.586914	118.420975
201.712967	1049.015137	1069.494751	1096.801025	233.333923
202.094742	1105.903076	1115.005249	1030.810913	-824.991638
202.476517	1128.658325	1135.484863	1135.484863	100.000000
202.858231	1128.658325	1055.841675	1115.005249	18.749937
203.239944	1071.770264	1144.586914	1080.872437	12.500126
203.621582	1137.760376	1026.259888	1078.596802	53.061268
204.003235	1108.178589	1037.637451	1092.250000	22.580566
204.384827	1060.392700	1053.566162	1017.157776	633.335999
204.766388	1055.841675	1142.311401	1035.361938	-23.684284
205.147934	1092.250000	1105.903076	1058.117188	-250.000900
205.529449	1064.943726	1162.791138	1055.841675	-9.302291
205.910904	1140.035889	1124.107300	1094.525513	285.715057
206.292343	1037.637451	1151.413574	1092.250000	48.000008
206.673767	1044.463989	1112.729614	1121.831787	113.333466
207.055115	1044.463989	1137.760376	1137.760376	100.000000
207.436462	1105.903076	1201.474976	1096.801025	-9.523773
207.817780	1078.596802	1119.556274	1078.596802	0.000000
208.199051	1142.311401	1089.974487	1112.729614	56.521839
208.580307	1076.321289	1140.035889	1089.974487	21.428680
208.961517	1094.525513	1064.943726	1112.729614	-61.538208
209.342712	1060.392700	1151.413574	1080.872437	22.500044
209.723846	1074.045776	1112.729614	1014.882263	-152.941162
210.104965	1053.566162	1062.668213	1149.138062	1050.004028
210.486069	1074.045776	1096.801025	1042.188477	-139.999786
210.867111	1074.045776	1117.280762	1105.903076	73.684074
211.248123	1085.423462	1112.729614	1071.770264	-50.000446
211.629120	1069.494751	1146.862427	1099.076538	38.235332
212.010071	980.749451	1094.525513	1019.433350	34.000034
212.390991	1026.259888	1119.556274	969.371887	-60.975567
212.771881	1058.117188	1171.893188	1069.494751	9.999968
213.152756	1062.668213	1046.739624	1044.463989	114.286484
213.533569	998.953613	1085.423462	1039.912964	47.368362
213.914368	1030.810913	1087.698975	1105.903076	131.999863
214.295135	1067.219238	1108.178589	1062.668213	-11.111078
214.675858	1087.698975	1126.382813	1110.454102	58.823345
215.056549	1103.627563	1151.413574	1101.352051	-4.761880
215.437225	1010.331238	1103.627563	1055.841675	48.780525
215.817841	1101.352051	1080.872437	1017.157776	411.112610
216.198441	1019.433350	1142.311401	1071.770264	42.592564
216.579025	1119.556274	1074.045776	998.953613	264.999664
216.959549	1112.729614	1112.729614	1094.525513	0.000000
217.340057	1021.708862	1115.005249	1049.015137	29.268309
217.720535	1105.903076	1028.535400	1037.637451	88.235329
218.100967	1083.147949	1060.392700	1124.107300	-179.999573
218.481369	1096.801025	1049.015137	1044.463989	109.524040
218.861740	1019.433350	1067.219238	1105.903076	180.952423
219.242065	1060.392700	1103.627563	1039.912964	-47.368568
219.622391	1064.943726	1089.974487	1074.045776	36.363461
220.002670	1055.841675	1137.760376	1044.463989	-13.888996
220.382919	1092.250000	1128.658325	1010.331238	-225.000076
220.763123	1049.015137	1187.821899	1142.311401	67.213051
221.143295	1028.535400	1121.831787	1037.637451	9.756060
221.523453	1037.637451	1110.454102	1030.810913	-9.374969
221.903549	1135.484863	1087.698975	1110.454102	52.381073
222.283630	1096.801025	1055.841675	1115.005249	-44.444611
222.663696	1085.423462	1051.290649	1030.810913	160.000137
223.043701	1144.586914	1119.556274	1044.463989	400.001465
223.423676	1096.801025	1112.729614	1051.290649	-285.715057
223.803635	1026.259888	1071.770264	1096.801025	155.000122
224.183548	1046.739624	1117.280762	1051.290649	6.451591
224.563431	1083.147949	1096.801025	1049.015137	-250.000900
224.943283	1087.698975	1108.178589	1062.668213	-122.222816
225.323105	1130.933838	1105.903076	1012.606750	472.726685
225.702881	1023.984375	1096.801025	1017.157776	-9.375052
226.082642	1030.810913	1135.484863	1058.117188	26.086983
226.462357	1042.188477	1178.719727	1069.494751	20.000017
226.842041	1083.147949	1099.076538	1051.290649	-200.000763
227.221695	1133.209351	1092.250000	1058.117188	183.333389
227.601318	1062.668213	1133.209351	1085.423462	32.258125
227.980911	960.269775	1187.821899	1051.290649	40.000011
228.360474	1092.250000	1187.821899	1083.147949	-9.523773
228.739990	1033.086426	1167.342163	1071.770264	28.813545
229.119476	1124.107300	1240.158813	1053.566162	-60.784332
229.498932	1092.250000	1265.189575	1083.147949	-5.263139
229.878372	1105.903076	1299.322388	1055.841675	-25.882318
230.257736	1080.872437	1299.322388	1055.841675	-11.458351
230.637115	998.953613	1363.036987	1064.943726	18.125000
231.016449	1071.770264	1374.414551	1026.259888	-15.037580
231.395737	1089.974487	1385.792114	1053.566162	-12.307693
231.774994	1067.219238	1235.607788	1001.229126	-39.189194
232.154221	1023.984375	1267.465088	1171.893188	60.747650
232.533417	1030.810913	1242.434326	1078.596802	22.580626
232.912582	1115.005249	1246.985352	1049.015137	-50.000046
233.291702	1026.259888	1274.291626	1089.974487	25.688084
233.670792	1103.627563	1281.118164	994.402588	-61.538456
234.049866	1121.831787	1258.363037	1026.259888	-70.000015
234.428894	1001.229126	1237.883301	951.167725	-21.153822
234.807892	1119.556274	1253.812012	1096.801025	-16.949183
235.186874	1076.321289	1319.802124	1087.698975	4.672929
235.565781	1083.147949	1308.424438	1074.045776	-4.040445
235.944687	1003.504700	1363.036987	1080.872437	21.518995
236.323547	1083.147949	1269.740601	1008.055725	-40.243935
236.702377	1083.147949	1317.526489	1001.229126	-34.951504
237.081177	1103.627563	1367.588013	1074.045776	-11.206902
237.459946	1060.392700	1338.006226	1030.810913	-10.655745
237.838669	1069.494751	1315.250977	1042.188477	-11.111122
238.217361	1046.739624	1237.883301	996.678101	-26.190519
238.596039	1042.188477	1281.118164	1076.321289	14.285714
238.974670	1067.219238	1340.281738	1074.045776	2.499991
239.353271	1039.912964	1235.607788	1085.423462	23.255852
239.731842	1096.801025	1363.036987	1064.943726	-11.965814
240.110367	1121.831787	1196.923950	1044.463989	-103.030457
240.488876	1044.463989	1392.618774	1103.627563	16.993469
240.867340	1028.535400	1356.210449	1126.382813	29.861111
241.245789	1105.903076	1479.088501	1092.250000	-3.658523
241.624176	1115.005249	1485.915039	1092.250000	-6.134982
242.002548	1069.494751	1479.088501	1117.280762	11.666684
242.380890	998.953613	1558.731689	998.953613	0.000000
242.759186	1076.321289	1642.926025	1096.801025	3.614466
243.137451	1010.331238	1847.722900	1151.413574	16.847832
243.515686	1035.361938	1890.957764	1099.076538	7.446810
243.893890	1069.494751	1909.161987	1099.076538	3.523037
244.272049	1028.535400	1888.682251	1110.454102	9.523804
244.650192	1058.117188	1802.212524	1064.943726	0.917428
245.028290	1023.984375	1704.365112	1039.912964	2.341129
245.406357	1060.392700	1686.160889	1117.280762	9.090917
245.784393	1005.780212	1747.599976	992.127075	-1.840492
246.162384	1035.361938	1617.895264	1099.076538	10.937503
246.540359	1026.259888	1649.752563	1069.494751	6.934302
246.918289	1078.596802	1824.967651	1083.147949	0.609770
247.296204	1096.801025	1988.805176	967.096313	-14.540819
247.674057	1178.719727	2220.908203	1101.352051	-7.423578
248.051895	1137.760376	2521.277100	1053.566162	-6.085522
248.429703	1062.668213	2598.644775	1069.494751	0.444443
248.807465	1099.076538	2471.215576	1039.912964	-4.311777
249.185196	1096.801025	2471.215576	1069.494751	-1.986757
249.562897	1092.250000	2232.285889	1033.086426	-5.189624
249.940567	1126.382813	2164.020264	1053.566162	-7.017543
250.318192	1112.729614	1959.223389	994.402588	-13.978487
250.695801	1030.810913	1879.580200	1096.801025	7.774800
251.073349	1028.535400	1840.896362	1033.086426	0.560222
251.450882	1092.250000	1793.110352	1046.739624	-6.493501
251.828400	1099.076538	1752.151001	994.402588	-16.027874
252.205872	1087.698975	1772.630737	1014.882263	-10.631236
252.583313	1053.566162	1845.447388	1042.188477	-1.436792
252.960693	1028.535400	1947.845825	1001.229126	-2.970300
253.338074	1092.250000	2016.111450	1080.872437	-1.231523
253.715408	1117.280762	1966.049927	1030.810913	-10.187675
254.092682	1037.637451	1872.753662	1003.504700	-4.087186
254.469955	1076.321289	1806.763550	1033.086426	-5.918998
254.847198	1017.157776	1686.160889	1092.250000	11.224496
255.224365	1099.076538	1747.599976	1069.494751	-4.561406
