Jaz Data File
++++++++++++++++++++++++++++++++++++
Date: Wed Feb 07 06:49:28 2024
User: jaz
Dark Spectrum Present: Yes
Reference Spectrum Present: Yes
Processed Spectrum Present: Yes
Spectrometers: JAZA3692
Integration Time (usec): 40000 (JAZA3692)
Spectra Averaged: 1 (JAZA3692)
Boxcar Smoothing: 0 (JAZA3692)
Correct for Electrical Dark: No (JAZA3692)
Strobe/Lamp Enabled: Yes (JAZA3692)
Correct for Detector Non-linearity: No (JAZA3692)
Correct for Stray Light: No (JAZA3692)
Number of Pixels in Processed Spectrum: 2048
>>>>>Begin Processed Spectral Data<<<<<
W	D	R	S	P
190.244385	0.000000	0.000000	0.000000	0.000000
190.627136	0.000000	0.000000	0.000000	0.000000
191.009842	971.647400	973.922913	944.341125	-1200.005371
191.392532	1005.780212	971.647400	930.687988	220.000107
191.775177	1010.331238	1008.055725	1010.331238	-0.000000
192.157791	998.953613	969.371887	944.341125	184.615616
192.540390	1026.259888	987.576050	989.851563	94.117668
192.922943	1017.157776	1030.810913	1053.566162	266.666809
193.305481	1058.117188	939.790100	1010.331238	40.384624
193.687958	1105.903076	1035.361938	1028.535400	109.677383
194.070419	1085.423462	1010.331238	1067.219238	24.242489
194.452866	1103.627563	1171.893188	1069.494751	-50.000000
194.835251	1012.606750	998.953613	1003.504700	66.666367
195.217621	1055.841675	1064.943726	1001.229126	-600.002686
195.599960	1071.770264	1035.361938	1014.882263	156.249985
195.982254	1076.321289	1089.974487	1026.259888	-366.664276
196.364517	1028.535400	1039.912964	1044.463989	140.000000
196.746750	1033.086426	1076.321289	971.647400	-142.105286
197.128952	1021.708862	1035.361938	964.820801	-416.668457
197.511139	1051.290649	1074.045776	1001.229126	-220.001068
197.893280	983.024963	1087.698975	1010.331238	26.086967
198.275391	1042.188477	1035.361938	980.749451	900.002686
198.657471	1089.974487	1037.637451	973.922913	221.738907
199.039520	1046.739624	1069.494751	1030.810913	-70.000534
199.421539	1017.157776	1064.943726	1008.055725	-19.047546
199.803513	1083.147949	973.922913	967.096313	106.250031
200.185471	1008.055725	1012.606750	1012.606750	100.000000
200.567383	1033.086426	1071.770264	1030.810913	-5.882334
200.949265	1030.810913	1005.780212	985.300537	181.818222
201.331131	1012.606750	1083.147949	1019.433350	9.677464
201.712967	1026.259888	1044.463989	1026.259888	0.000000
202.094742	1012.606750	1035.361938	919.310425	-410.000244
202.476517	1058.117188	1046.739624	1094.525513	-320.001068
202.858231	1039.912964	1005.780212	1014.882263	73.333382
203.239944	996.678101	1021.708862	994.402588	-9.090865
203.621582	998.953613	1021.708862	1012.606750	59.999947
204.003235	1076.321289	1033.086426	964.820801	257.894867
204.384827	1049.015137	1033.086426	998.953613	314.284851
204.766388	1096.801025	985.300537	1049.015137	42.857113
205.147934	992.127075	1042.188477	987.576050	-9.090887
205.529449	1026.259888	1035.361938	978.473938	-525.002014
205.910904	1028.535400	1001.229126	960.269775	249.999771
206.292343	1001.229126	1005.780212	960.269775	-899.990601
206.673767	1021.708862	1003.504700	989.851563	175.000076
207.055115	1044.463989	1094.525513	942.065613	-204.545059
207.436462	1023.984375	1005.780212	1037.637451	-74.999748
207.817780	1028.535400	1051.290649	1044.463989	69.999626
208.199051	1037.637451	1055.841675	1033.086426	-24.999832
208.580307	1053.566162	1026.259888	1121.831787	-249.999771
208.961517	983.024963	1012.606750	1010.331238	92.307724
209.342712	1026.259888	1058.117188	1023.984375	-7.142830
209.723846	1001.229126	1030.810913	1060.392700	200.000000
210.104965	1078.596802	1055.841675	1021.708862	250.000534
210.486069	998.953613	1094.525513	1019.433350	21.428617
210.867111	1008.055725	1069.494751	1094.525513	140.740814
211.248123	992.127075	1055.841675	1012.606750	32.142830
211.629120	1003.504700	1019.433350	1046.739624	271.428680
212.010071	1026.259888	1053.566162	989.851563	-133.333191
212.390991	1001.229126	1099.076538	971.647400	-30.232508
212.771881	1012.606750	1026.259888	994.402588	-133.333191
213.152756	1012.606750	1044.463989	1003.504700	-28.571373
213.533569	969.371887	1044.463989	1010.331238	54.545483
213.914368	1003.504700	1051.290649	983.024963	-42.857235
214.295135	1051.290649	1099.076538	930.687988	-252.381332
214.675858	1033.086426	980.749451	983.024963	95.652191
215.056549	1019.433350	964.820801	989.851563	54.166649
215.437225	996.678101	1046.739624	944.341125	-104.545311
215.817841	937.514587	1019.433350	1014.882263	94.444389
216.198441	921.585938	1074.045776	987.576050	43.283604
216.579025	964.820801	1049.015137	1008.055725	51.351345
216.959549	1019.433350	1042.188477	1026.259888	30.000000
217.340057	1033.086426	987.576050	973.922913	130.000061
217.720535	996.678101	1021.708862	932.963501	-254.545181
218.100967	957.994263	1069.494751	1012.606750	48.979595
218.481369	1035.361938	1069.494751	1003.504700	-93.333176
218.861740	1133.209351	1042.188477	996.678101	149.999939
219.242065	1010.331238	1112.729614	1003.504700	-6.666647
219.622391	1051.290649	1089.974487	964.820801	-223.529648
220.002670	1060.392700	1115.005249	992.127075	-124.999886
220.382919	1001.229126	1153.689087	992.127075	-5.970125
220.763123	1096.801025	1039.912964	992.127075	183.999847
221.143295	1028.535400	1096.801025	930.687988	-143.333359
221.523453	1060.392700	1099.076538	1008.055725	-135.294159
221.903549	1008.055725	1101.352051	996.678101	-12.195148
222.283630	1051.290649	1026.259888	1008.055725	172.727158
222.663696	1010.331238	1046.739624	983.024963	-74.999962
223.043701	989.851563	1039.912964	1023.984375	68.181892
223.423676	967.096313	1044.463989	1019.433350	67.647163
223.803635	1051.290649	1067.219238	987.576050	-400.001526
224.183548	1010.331238	1135.484863	969.371887	-32.727257
224.563431	1049.015137	1062.668213	1026.259888	-166.667557
224.943283	1071.770264	1035.361938	1014.882263	156.249985
225.323105	1010.331238	1078.596802	1026.259888	23.333361
225.702881	994.402588	973.922913	921.585938	355.555695
226.082642	1014.882263	1046.739624	1055.841675	128.571259
226.462357	1026.259888	1028.535400	1074.045776	2100.005371
226.842041	1026.259888	1083.147949	985.300537	-71.999908
227.221695	1035.361938	1089.974487	1028.535400	-12.499944
227.601318	1010.331238	1087.698975	962.545288	-61.764698
227.980911	969.371887	1105.903076	1019.433350	36.666687
228.360474	996.678101	1078.596802	1019.433350	27.777843
228.739990	1042.188477	1085.423462	983.024963	-136.841751
229.119476	998.953613	1183.270874	944.341125	-29.629612
229.498932	1044.463989	1178.719727	967.096313	-57.627090
229.878372	1060.392700	1096.801025	987.576050	-200.000000
230.257736	969.371887	1294.771362	973.922913	1.398596
230.637115	978.473938	1217.403687	1051.290649	30.476202
231.016449	930.687988	1267.465088	1035.361938	31.081078
231.395737	976.198425	1176.444214	948.892151	-13.636379
231.774994	1037.637451	1215.128052	1080.872437	24.359028
232.154221	987.576050	1190.097412	998.953613	5.617957
232.533417	1008.055725	1242.434326	1001.229126	-2.912637
232.912582	1037.637451	1192.372925	994.402588	-27.941145
233.291702	1033.086426	1180.995239	1003.504700	-19.999975
233.670792	989.851563	1153.689087	1103.627563	69.444412
234.049866	1026.259888	1124.107300	1035.361938	9.302291
234.428894	1014.882263	1105.903076	985.300537	-32.499958
234.807892	992.127075	1187.821899	996.678101	2.325573
235.186874	1008.055725	1155.964600	957.994263	-33.846153
235.565781	1044.463989	1262.914063	1053.566162	4.166706
235.944687	985.300537	1240.158813	983.024963	-0.892878
236.323547	992.127075	1160.515625	944.341125	-28.378384
236.702377	1026.259888	1215.128052	962.545288	-33.734959
237.081177	1062.668213	1224.230225	1026.259888	-22.535202
237.459946	1028.535400	1187.821899	1010.331238	-11.428566
237.838669	1003.504700	1269.740601	1058.117188	20.512819
238.217361	1035.361938	1176.444214	1055.841675	14.516166
238.596039	1017.157776	1224.230225	1008.055725	-4.395587
238.974670	1053.566162	1176.444214	1008.055725	-37.037075
239.353271	1028.535400	1190.097412	1053.566162	15.492975
239.731842	1128.658325	1265.189575	998.953613	-95.000015
240.110367	1058.117188	1285.669312	989.851563	-29.999994
240.488876	1023.984375	1290.220337	1033.086426	3.418791
240.867340	1035.361938	1283.393677	980.749451	-22.018347
241.245789	955.718750	1335.730713	1058.117188	26.946110
241.624176	930.687988	1374.414551	1017.157776	19.487179
242.002548	1026.259888	1353.934937	983.024963	-13.194451
242.380890	1026.259888	1415.373901	994.402588	-8.187138
242.759186	948.892151	1501.843750	1044.463989	17.283943
243.137451	1049.015137	1501.843750	962.545288	-19.095491
243.515686	1044.463989	1581.486938	969.371887	-13.983034
243.893890	998.953613	1686.160889	935.239075	-9.271517
244.272049	1094.525513	1561.007324	1012.606750	-17.560976
244.650192	1014.882263	1474.537476	1003.504700	-2.475239
245.028290	1112.729614	1483.639526	1042.188477	-19.018402
245.406357	951.167725	1501.843750	1044.463989	16.942133
245.784393	985.300537	1451.782227	1039.912964	11.707303
246.162384	1026.259888	1481.364014	996.678101	-6.500004
246.540359	1087.698975	1504.119263	1017.157776	-16.939905
246.918289	1037.637451	1649.752563	1044.463989	1.115238
247.296204	1033.086426	1713.467163	1051.290649	2.675594
247.674057	992.127075	1954.672363	1026.259888	3.546099
248.051895	955.718750	2175.397949	1028.535400	5.970148
248.429703	1012.606750	2120.785400	1067.219238	4.928130
248.807465	985.300537	2104.856689	1058.117188	6.504064
249.185196	1067.219238	2034.315552	967.096313	-10.352942
249.562897	1033.086426	1827.243164	1046.739624	1.719207
249.940567	998.953613	1774.906250	1049.015137	6.451621
250.318192	1076.321289	1681.609863	1001.229126	-12.406011
250.695801	1085.423462	1674.783325	1053.566162	-5.405407
251.073349	1014.882263	1558.731689	985.300537	-5.439323
251.450882	1044.463989	1611.068726	996.678101	-8.433725
251.828400	1053.566162	1492.741699	1035.361938	-4.145091
252.205872	1051.290649	1540.527588	1083.147949	6.511630
252.583313	1067.219238	1638.375000	998.953613	-11.952190
252.960693	1014.882263	1729.395752	1023.984375	1.273889
253.338074	1005.780212	1733.946899	971.647400	-4.687500
253.715408	1023.984375	1820.416626	1003.504700	-2.571427
254.092682	1074.045776	1679.334351	1030.810913	-7.142851
254.469955	1051.290649	1592.864502	1012.606750	-7.142867
254.847198	1001.229126	1601.966675	948.892151	-8.712120
255.224365	1035.361938	1517.772339	1078.596802	8.962257
255.601563	1133.209351	1483.639526	980.749451	-43.506500
255.978683	928.412476	1595.140137	948.892151	3.071670
256.355743	1062.668213	1567.833862	1012.606750	-9.909910
256.732819	1049.015137	1547.354126	992.127075	-11.415535
