Jaz Data File
++++++++++++++++++++++++++++++++++++
Date: Wed Feb 07 06:34:53 2024
User: jaz
Dark Spectrum Present: Yes
Reference Spectrum Present: Yes
Processed Spectrum Present: Yes
Spectrometers: JAZA3692
Integration Time (usec): 40000 (JAZA3692)
Spectra Averaged: 1 (JAZA3692)
Boxcar Smoothing: 0 (JAZA3692)
Correct for Electrical Dark: No (JAZA3692)
Strobe/Lamp Enabled: Yes (JAZA3692)
Correct for Detector Non-linearity: No (JAZA3692)
Correct for Stray Light: No (JAZA3692)
Number of Pixels in Processed Spectrum: 2048
>>>>>Begin Processed Spectral Data<<<<<
W	D	R	S	P
190.244385	0.000000	0.000000	0.000000	0.000000
190.627136	0.000000	0.000000	0.000000	0.000000
191.009842	1424.476074	1381.241089	1260.638550	378.946655
191.392532	1344.832764	1360.761475	1315.250977	-185.713623
191.775177	1369.863525	1378.965576	1269.740601	-1100.004028
192.157791	1410.822876	1438.129150	1283.393677	-466.666382
192.540390	1367.588013	1419.924927	1312.975464	-104.348053
192.922943	1408.547363	1406.271851	1353.934937	2400.005371
193.305481	1335.730713	1406.271851	1331.179688	-6.451591
193.687958	1381.241089	1431.302612	1299.322388	-163.636047
194.070419	1347.108276	1358.485962	1369.863525	199.998932
194.452866	1447.231201	1442.680176	1394.894287	1150.002686
194.835251	1369.863525	1392.618774	1376.690063	29.999840
195.217621	1367.588013	1344.832764	1331.179688	159.999680
195.599960	1438.129150	1388.067749	1356.210449	163.636459
195.982254	1456.333252	1442.680176	1333.455200	900.002686
196.364517	1490.466064	1365.312500	1369.863525	96.363647
196.746750	1449.506714	1429.027100	1335.730713	555.557373
197.128952	1390.343262	1353.934937	1360.761475	81.250061
197.511139	1444.955688	1456.333252	1315.250977	-1140.004272
197.893280	1374.414551	1372.139038	1338.006226	1600.005371
198.275391	1399.445313	1340.281738	1376.690063	38.461586
198.657471	1410.822876	1392.618774	1369.863525	225.000671
199.039520	1394.894287	1431.302612	1322.077637	-200.000000
199.421539	1403.996338	1419.924927	1376.690063	-171.429337
199.803513	1435.853638	1440.404663	1353.934937	-1800.005371
200.185471	1406.271851	1381.241089	1299.322388	427.272095
200.567383	1385.792114	1429.027100	1403.996338	42.105309
200.949265	1456.333252	1431.302612	1326.628662	518.183289
201.331131	1392.618774	1449.506714	1267.465088	-220.000381
201.712967	1378.965576	1401.720825	1449.506714	309.999420
202.094742	1442.680176	1435.853638	1344.832764	1433.338745
202.476517	1401.720825	1458.608887	1353.934937	-83.999855
202.858231	1408.547363	1378.965576	1344.832764	215.384552
203.239944	1415.373901	1392.618774	1324.353149	400.001068
203.621582	1376.690063	1472.261963	1303.873413	-76.190437
204.003235	1331.179688	1367.588013	1349.383789	49.999832
204.384827	1328.904175	1444.955688	1353.934937	21.568665
204.766388	1369.863525	1438.129150	1246.985352	-180.000076
205.147934	1351.659302	1447.231201	1324.353149	-28.571320
205.529449	1392.618774	1433.578125	1246.985352	-355.556000
205.910904	1444.955688	1460.884399	1353.934937	-571.425720
206.292343	1360.761475	1476.812988	1333.455200	-23.529442
206.673767	1429.027100	1413.098389	1308.424438	757.140137
207.055115	1456.333252	1390.343262	1394.894287	93.103462
207.436462	1403.996338	1431.302612	1319.802124	-308.332855
207.817780	1431.302612	1390.343262	1353.934937	188.888916
208.199051	1358.485962	1463.159912	1244.709839	-108.695740
208.580307	1424.476074	1422.200562	1306.148926	5200.021484
208.961517	1388.067749	1454.057739	1358.485962	-44.827690
209.342712	1440.404663	1431.302612	1285.669312	1700.005371
209.723846	1390.343262	1463.159912	1281.118164	-150.000168
210.104965	1403.996338	1388.067749	1338.006226	414.287262
210.486069	1426.751587	1447.231201	1344.832764	-400.001801
210.867111	1383.516602	1456.333252	1338.006226	-62.499958
211.248123	1385.792114	1390.343262	1369.863525	-349.990601
211.629120	1385.792114	1424.476074	1285.669312	-258.822540
212.010071	1456.333252	1474.537476	1340.281738	-637.497742
212.390991	1406.271851	1378.965576	1331.179688	274.999664
212.771881	1349.383789	1397.169800	1283.393677	-138.095047
213.152756	1401.720825	1438.129150	1328.904175	-200.000000
213.533569	1392.618774	1417.649414	1276.567139	-463.638306
213.914368	1331.179688	1429.027100	1351.659302	20.930155
214.295135	1383.516602	1410.822876	1303.873413	-291.666260
214.675858	1433.578125	1458.608887	1374.414551	-236.363464
215.056549	1417.649414	1415.373901	1312.975464	4600.016113
215.437225	1365.312500	1431.302612	1340.281738	-37.931080
215.817841	1458.608887	1413.098389	1322.077637	299.999451
216.198441	1360.761475	1392.618774	1349.383789	-35.714531
216.579025	1356.210449	1378.965576	1278.842651	-340.001617
216.959549	1360.761475	1408.547363	1278.842651	-171.428894
217.340057	1413.098389	1442.680176	1335.730713	-261.538208
217.720535	1378.965576	1360.761475	1315.250977	350.001343
218.100967	1419.924927	1415.373901	1333.455200	1900.005371
218.481369	1340.281738	1435.853638	1328.904175	-11.904716
218.861740	1401.720825	1458.608887	1328.904175	-127.999878
219.242065	1424.476074	1367.588013	1353.934937	123.999893
219.622391	1338.006226	1510.945801	1272.016113	-38.157902
220.002670	1358.485962	1447.231201	1272.016113	-97.436043
220.382919	1338.006226	1365.312500	1299.322388	-141.666473
220.763123	1381.241089	1479.088501	1299.322388	-83.720863
221.143295	1378.965576	1358.485962	1317.526489	300.001190
221.523453	1363.036987	1399.445313	1340.281738	-62.500126
221.903549	1406.271851	1485.915039	1312.975464	-117.142960
222.283630	1312.975464	1469.986450	1224.230225	-56.521675
222.663696	1401.720825	1435.853638	1317.526489	-246.666855
223.043701	1376.690063	1385.792114	1333.455200	-475.001343
223.423676	1353.934937	1488.190552	1390.343262	27.118662
223.803635	1381.241089	1472.261963	1322.077637	-64.999870
224.183548	1394.894287	1442.680176	1251.536499	-300.000244
224.563431	1438.129150	1431.302612	1328.904175	1600.005371
224.943283	1419.924927	1451.782227	1367.588013	-164.285461
225.323105	1388.067749	1372.139038	1356.210449	199.999237
225.702881	1442.680176	1449.506714	1283.393677	-2333.342285
226.082642	1326.628662	1465.435425	1435.853638	78.688515
226.462357	1374.414551	1458.608887	1299.322388	-89.189095
226.842041	1303.873413	1451.782227	1326.628662	15.384647
227.221695	1326.628662	1467.710938	1303.873413	-16.129063
227.601318	1388.067749	1417.649414	1287.944824	-338.462769
227.980911	1419.924927	1488.190552	1299.322388	-176.666565
228.360474	1397.169800	1510.945801	1233.332275	-144.000076
228.739990	1374.414551	1508.670288	1369.863525	-3.389818
229.119476	1372.139038	1504.119263	1351.659302	-15.517277
229.498932	1403.996338	1604.242188	1283.393677	-60.227295
229.878372	1460.884399	1599.691162	1322.077637	-100.000000
230.257736	1358.485962	1702.089600	1376.690063	5.297995
230.637115	1465.435425	1679.334351	1256.087524	-97.872345
231.016449	1456.333252	1658.854614	1322.077637	-66.292076
231.395737	1363.036987	1599.691162	1324.353149	-16.346146
231.774994	1419.924927	1561.007324	1363.036987	-40.322495
232.154221	1449.506714	1608.793213	1324.353149	-78.571358
232.533417	1406.271851	1583.762451	1301.597900	-58.974361
232.912582	1401.720825	1567.833862	1388.067749	-8.219148
233.291702	1338.006226	1581.486938	1397.169800	24.299080
233.670792	1374.414551	1611.068726	1317.526489	-24.038479
234.049866	1419.924927	1615.619751	1290.220337	-66.279007
234.428894	1413.098389	1604.242188	1342.557251	-36.904747
234.807892	1351.659302	1495.017212	1340.281738	-7.936474
235.186874	1285.669312	1524.598877	1276.567139	-3.809563
235.565781	1460.884399	1601.966675	1290.220337	-120.967758
235.944687	1383.516602	1601.966675	1394.894287	5.208369
236.323547	1397.169800	1622.446289	1383.516602	-6.060640
236.702377	1383.516602	1665.681274	1344.832764	-13.709667
237.081177	1381.241089	1581.486938	1269.740601	-55.681797
237.459946	1372.139038	1706.640625	1340.281738	-9.523811
237.838669	1422.200562	1615.619751	1312.975464	-56.470661
238.217361	1381.241089	1608.793213	1287.944824	-40.999954
238.596039	1363.036987	1670.232300	1381.241089	5.925905
238.974670	1385.792114	1622.446289	1365.312500	-8.653815
239.353271	1344.832764	1674.783325	1328.904175	-4.827569
239.731842	1347.108276	1611.068726	1328.904175	-6.896526
240.110367	1383.516602	1704.365112	1356.210449	-8.510606
240.488876	1356.210449	1722.569214	1383.516602	7.453392
240.867340	1458.608887	1806.763550	1369.863525	-25.490211
241.245789	1401.720825	1818.141113	1315.250977	-20.765041
241.624176	1456.333252	1804.488037	1365.312500	-26.143761
242.002548	1394.894287	1904.610962	1306.148926	-17.410723
242.380890	1415.373901	1902.335449	1317.526489	-20.093458
242.759186	1356.210449	1943.294800	1319.802124	-6.201549
243.137451	1356.210449	2029.764526	1310.699951	-6.756770
243.515686	1331.179688	2123.060791	1356.210449	3.160924
243.893890	1310.699951	2204.979736	1324.353149	1.526726
244.272049	1495.017212	2209.530762	1331.179688	-22.929939
244.650192	1447.231201	2054.795166	1378.965576	-11.235957
245.028290	1426.751587	2029.764526	1333.455200	-15.471705
245.406357	1403.996338	1925.090576	1338.006226	-12.663758
245.784393	1394.894287	1904.610962	1281.118164	-22.321444
246.162384	1388.067749	1925.090576	1365.312500	-4.237297
246.540359	1385.792114	2029.764526	1290.220337	-14.840974
246.918289	1403.996338	2134.438477	1363.036987	-5.607474
247.296204	1378.965576	2218.632813	1374.414551	-0.542003
247.674057	1394.894287	2473.491211	1331.179688	-5.907174
248.051895	1383.516602	2769.308838	1392.618774	0.656821
248.429703	1376.690063	2805.717041	1399.445313	1.592360
248.807465	1315.250977	2810.268311	1306.148926	-0.608826
249.185196	1392.618774	2582.716064	1333.455200	-4.971323
249.562897	1340.281738	2416.603027	1292.495850	-4.439742
249.940567	1367.588013	2341.510986	1349.383789	-1.869165
250.318192	1419.924927	2214.081787	1338.006226	-10.315179
250.695801	1399.445313	2157.193604	1292.495850	-14.114115
251.073349	1449.506714	2066.172852	1378.965576	-11.439114
251.450882	1392.618774	1972.876587	1292.495850	-17.254904
251.828400	1406.271851	2020.662476	1335.730713	-11.481481
252.205872	1358.485962	2107.132324	1326.628662	-4.255320
252.583313	1378.965576	2118.509766	1335.730713	-5.846150
252.960693	1381.241089	2164.020264	1344.832764	-4.651162
253.338074	1374.414551	2234.561523	1338.006226	-4.232803
253.715408	1415.373901	2216.357178	1283.393677	-16.477276
254.092682	1360.761475	2091.203613	1265.189575	-13.084116
254.469955	1390.343262	2093.479248	1283.393677	-15.210370
