Jaz Data File
++++++++++++++++++++++++++++++++++++
Date: Wed Feb 07 06:39:53 2024
User: jaz
Dark Spectrum Present: Yes
Reference Spectrum Present: Yes
Processed Spectrum Present: Yes
Spectrometers: JAZA3692
Integration Time (usec): 43100 (JAZA3692)
Spectra Averaged: 1 (JAZA3692)
Boxcar Smoothing: 0 (JAZA3692)
Correct for Electrical Dark: No (JAZA3692)
Strobe/Lamp Enabled: Yes (JAZA3692)
Correct for Detector Non-linearity: No (JAZA3692)
Correct for Stray Light: No (JAZA3692)
Number of Pixels in Processed Spectrum: 2048
>>>>>Begin Processed Spectral Data<<<<<
W	D	R	S	P
190.244385	0.000000	0.000000	0.000000	0.000000
190.627136	0.000000	0.000000	0.000000	0.000000
191.009842	1165.066650	1165.066650	1208.301514	0.000000
191.392532	1169.617676	1219.679199	1105.903076	-127.272591
191.775177	1231.056763	1215.128052	1146.862427	528.569702
192.157791	1199.199463	1258.363037	1178.719727	-34.615448
192.540390	1246.985352	1210.577026	1215.128052	87.500038
192.922943	1276.567139	1251.536499	1153.689087	490.910553
193.305481	1253.812012	1281.118164	1135.484863	-433.335114
193.687958	1221.954712	1217.403687	1162.791138	1300.005371
194.070419	1253.812012	1246.985352	1167.342163	1266.649414
194.452866	1301.597900	1285.669312	1260.638550	257.143616
194.835251	1262.914063	1274.291626	1206.026001	-500.002136
195.217621	1196.923950	1231.056763	1187.821899	-26.666571
195.599960	1256.087524	1228.781250	1235.607788	75.000114
195.982254	1272.016113	1228.781250	1160.515625	257.894867
196.364517	1299.322388	1274.291626	1153.689087	581.817322
196.746750	1242.434326	1201.474976	1190.097412	127.777695
197.128952	1246.985352	1224.230225	1206.026001	180.000534
197.511139	1312.975464	1221.954712	1187.821899	137.500031
197.893280	1256.087524	1290.220337	1219.679199	-106.666641
198.275391	1160.515625	1274.291626	1149.138062	-9.999968
198.657471	1224.230225	1224.230225	1203.750488	0.000000
199.039520	1199.199463	1201.474976	1169.617676	-1300.005371
199.421539	1285.669312	1265.189575	1237.883301	233.333130
199.803513	1358.485962	1306.148926	1228.781250	247.825867
200.185471	1301.597900	1338.006226	1203.750488	-268.750092
200.567383	1165.066650	1278.842651	1190.097412	22.000036
200.949265	1240.158813	1335.730713	1183.270874	-59.523708
201.331131	1212.852539	1299.322388	1262.914063	57.894775
201.712967	1294.771362	1319.802124	1212.852539	-327.272583
202.094742	1283.393677	1278.842651	1183.270874	2200.005371
202.476517	1253.812012	1324.353149	1178.719727	-106.451767
202.858231	1358.485962	1237.883301	1201.474976	130.188660
203.239944	1267.465088	1253.812012	1180.995239	633.335999
203.621582	1301.597900	1262.914063	1276.567139	64.705994
204.003235	1260.638550	1233.332275	1281.118164	-74.999664
204.384827	1201.474976	1242.434326	1242.434326	100.000000
204.766388	1249.260864	1315.250977	1299.322388	75.862160
205.147934	1253.812012	1315.250977	1235.607788	-29.629770
205.529449	1253.812012	1269.740601	1212.852539	-257.144379
205.910904	1237.883301	1219.679199	1265.189575	-150.000671
206.292343	1242.434326	1217.403687	1219.679199	90.909088
206.673767	1215.128052	1233.332275	1203.750488	-62.499580
207.055115	1235.607788	1208.301514	1244.709839	-33.333183
207.436462	1180.995239	1215.128052	1215.128052	100.000000
207.817780	1297.046875	1262.914063	1176.444214	353.333496
208.199051	1160.515625	1283.393677	1240.158813	64.814819
208.580307	1235.607788	1274.291626	1192.372925	-111.764671
208.961517	1233.332275	1272.016113	1208.301514	-64.705994
209.342712	1171.893188	1242.434326	1212.852539	58.064487
209.723846	1165.066650	1308.424438	1190.097412	17.460342
210.104965	1196.923950	1240.158813	1249.260864	121.052574
210.486069	1231.056763	1256.087524	1217.403687	-54.545189
210.867111	1253.812012	1344.832764	1219.679199	-37.500034
211.248123	1201.474976	1315.250977	1221.954712	18.000050
211.629120	1210.577026	1244.709839	1203.750488	-19.999928
212.010071	1237.883301	1322.077637	1256.087524	21.621672
212.390991	1297.046875	1249.260864	1092.250000	428.570770
212.771881	1242.434326	1301.597900	1272.016113	50.000000
213.152756	1299.322388	1235.607788	1237.883301	96.428589
213.533569	1292.495850	1294.771362	1285.669312	-300.000000
213.914368	1203.750488	1369.863525	1240.158813	21.917801
214.295135	1158.240112	1274.291626	1217.403687	50.980442
214.675858	1256.087524	1237.883301	1187.821899	374.998840
215.056549	1233.332275	1310.699951	1244.709839	14.705836
215.437225	1237.883301	1258.363037	1094.525513	-699.998230
215.817841	1217.403687	1251.536499	1183.270874	-100.000000
216.198441	1190.097412	1235.607788	1155.964600	-75.000069
216.579025	1196.923950	1258.363037	1242.434326	74.073975
216.959549	1199.199463	1338.006226	1187.821899	-8.196692
217.340057	1242.434326	1219.679199	1194.648438	210.000534
217.720535	1224.230225	1169.617676	1242.434326	-33.333183
218.100967	1199.199463	1290.220337	1206.026001	7.499970
218.481369	1183.270874	1258.363037	1319.802124	181.818237
218.861740	1251.536499	1210.577026	1226.505737	61.111046
219.242065	1244.709839	1276.567139	1267.465088	71.428680
219.622391	1253.812012	1237.883301	1258.363037	-28.571209
220.002670	1237.883301	1281.118164	1210.577026	-63.157997
220.382919	1228.781250	1240.158813	1253.812012	220.001068
220.763123	1249.260864	1290.220337	1244.709839	-11.111045
221.143295	1281.118164	1292.495850	1267.465088	-119.998711
221.523453	1242.434326	1290.220337	1201.474976	-85.714104
221.903549	1226.505737	1290.220337	1246.985352	32.142735
222.283630	1242.434326	1338.006226	1226.505737	-16.666603
222.663696	1246.985352	1224.230225	1149.138062	430.001068
223.043701	1219.679199	1281.118164	1142.311401	-125.926270
223.423676	1192.372925	1272.016113	1233.332275	51.428566
223.803635	1219.679199	1215.128052	1201.474976	399.991943
224.183548	1194.648438	1331.179688	1228.781250	25.000000
224.563431	1201.474976	1281.118164	1219.679199	22.857225
224.943283	1246.985352	1244.709839	1210.577026	1600.005371
225.323105	1192.372925	1340.281738	1174.168701	-12.307734
225.702881	1267.465088	1308.424438	1190.097412	-188.888916
226.082642	1196.923950	1328.904175	1260.638550	48.275867
226.462357	1251.536499	1342.557251	1265.189575	14.999960
226.842041	1221.954712	1301.597900	1185.546387	-45.714298
227.221695	1281.118164	1333.455200	1215.128052	-126.086838
227.601318	1212.852539	1317.526489	1212.852539	0.000000
227.980911	1196.923950	1385.792114	1142.311401	-28.915699
228.360474	1215.128052	1376.690063	1194.648438	-12.676008
228.739990	1196.923950	1365.312500	1210.577026	8.108079
229.119476	1221.954712	1456.333252	1233.332275	4.854354
229.498932	1246.985352	1467.710938	1203.750488	-19.587608
229.878372	1228.781250	1481.364014	1221.954712	-2.702693
230.257736	1242.434326	1554.180664	1169.617676	-23.357660
230.637115	1192.372925	1542.803101	1185.546387	-1.948045
231.016449	1240.158813	1588.313477	1215.128052	-7.189552
231.395737	1278.842651	1549.629639	1249.260864	-10.924376
231.774994	1206.026001	1467.710938	1237.883301	12.173914
232.154221	1219.679199	1424.476074	1246.985352	13.333285
232.533417	1203.750488	1460.884399	1169.617676	-13.274333
232.912582	1237.883301	1495.017212	1285.669312	18.584095
233.291702	1240.158813	1513.221313	1178.719727	-22.500010
233.670792	1215.128052	1372.139038	1237.883301	14.492775
234.049866	1237.883301	1408.547363	1228.781250	-5.333314
234.428894	1276.567139	1444.955688	1237.883301	-22.972961
234.807892	1206.026001	1435.853638	1260.638550	23.762394
235.186874	1251.536499	1372.139038	1235.607788	-13.207608
235.565781	1194.648438	1433.578125	1242.434326	19.999979
235.944687	1192.372925	1435.853638	1272.016113	32.710266
236.323547	1201.474976	1449.506714	1187.821899	-5.504568
236.702377	1208.301514	1563.282837	1246.985352	10.897429
237.081177	1180.995239	1501.843750	1185.546387	1.418472
237.459946	1322.077637	1474.537476	1135.484863	-122.388145
237.838669	1260.638550	1492.741699	1192.372925	-29.411762
238.217361	1260.638550	1472.261963	1206.026001	-25.806479
238.596039	1219.679199	1458.608887	1228.781250	3.809510
238.974670	1251.536499	1510.945801	1215.128052	-14.035135
239.353271	1244.709839	1504.119263	1246.985352	0.877190
239.731842	1199.199463	1447.231201	1203.750488	1.834856
240.110367	1256.087524	1545.078613	1215.128052	-14.173265
240.488876	1228.781250	1522.323364	1155.964600	-24.806202
240.867340	1219.679199	1595.140137	1201.474976	-4.848500
241.245789	1253.812012	1586.037964	1196.923950	-17.123304
241.624176	1208.301514	1711.191650	1196.923950	-2.262435
242.002548	1294.771362	1649.752563	1185.546387	-30.769228
242.380890	1292.495850	1822.692139	1196.923950	-18.025759
242.759186	1192.372925	1843.171875	1219.679199	4.195808
243.137451	1251.536499	1934.192627	1194.648438	-8.333341
243.515686	1253.812012	2088.927979	1228.781250	-2.997280
243.893890	1185.546387	2043.417725	1233.332275	5.570286
244.272049	1267.465088	2148.091553	1303.873413	4.134367
244.650192	1237.883301	2075.274902	1210.577026	-3.260873
245.028290	1221.954712	1895.508789	1185.546387	-5.405405
245.406357	1203.750488	1847.722900	1221.954712	2.826864
245.784393	1199.199463	1804.488037	1262.914063	10.526318
246.162384	1251.536499	1843.171875	1196.923950	-9.230778
246.540359	1242.434326	1925.090576	1203.750488	-5.666664
246.918289	1240.158813	2002.458252	1256.087524	2.089561
247.296204	1251.536499	2186.775391	1201.474976	-5.352806
247.674057	1215.128052	2464.388916	1183.270874	-2.550082
248.051895	1237.883301	2691.941162	1265.189575	1.877936
248.429703	1233.332275	2767.033203	1210.577026	-1.483682
248.807465	1285.669312	2839.849854	1274.291626	-0.732070
249.185196	1278.842651	2546.307861	1283.393677	0.359065
249.562897	1240.158813	2373.368164	1253.812012	1.204826
249.940567	1180.995239	2311.929199	1231.056763	4.426565
250.318192	1174.168701	2102.581299	1212.852539	4.166665
250.695801	1210.577026	2088.927979	1253.812012	4.922290
251.073349	1185.546387	1945.570313	1274.291626	11.676638
251.450882	1235.607788	1927.366089	1228.781250	-0.986839
251.828400	1281.118164	1879.580200	1178.719727	-17.110264
252.205872	1251.536499	1931.917114	1253.812012	0.334447
252.583313	1235.607788	2025.213501	1233.332275	-0.288183
252.960693	1185.546387	2091.203613	1221.954712	4.020100
253.338074	1278.842651	2291.449463	1303.873413	2.471913
253.715408	1260.638550	2239.112549	1276.567139	1.627901
254.092682	1240.158813	2047.968750	1228.781250	-1.408446
254.469955	1142.311401	1890.957764	1294.771362	20.364750
254.847198	1217.403687	1936.468262	1265.189575	6.645563
