Jaz Data File
++++++++++++++++++++++++++++++++++++
Date: Wed Feb 07 06:53:12 2024
User: jaz
Dark Spectrum Present: Yes
Reference Spectrum Present: Yes
Processed Spectrum Present: Yes
Spectrometers: JAZA3692
Integration Time (usec): 49800 (JAZA3692)
Spectra Averaged: 1 (JAZA3692)
Boxcar Smoothing: 0 (JAZA3692)
Correct for Electrical Dark: No (JAZA3692)
Strobe/Lamp Enabled: Yes (JAZA3692)
Correct for Detector Non-linearity: No (JAZA3692)
Correct for Stray Light: No (JAZA3692)
Number of Pixels in Processed Spectrum: 2048
>>>>>Begin Processed Spectral Data<<<<<
W	D	R	S	P
190.244385	0.000000	0.000000	0.000000	0.000000
190.627136	0.000000	0.000000	0.000000	0.000000
191.009842	912.483826	932.963501	928.412476	77.777847
191.392532	962.545288	928.412476	907.932800	159.999969
191.775177	957.994263	923.861450	894.279663	186.666718
192.157791	955.718750	953.443237	937.514587	800.002686
192.540390	928.412476	907.932800	998.953613	-344.444611
192.922943	869.248962	1008.055725	928.412476	42.622932
193.305481	880.626526	978.473938	926.136963	46.511642
193.687958	944.341125	946.616638	928.412476	-700.002686
194.070419	944.341125	971.647400	1023.984375	291.666473
194.452866	955.718750	967.096313	955.718750	0.000000
194.835251	969.371887	951.167725	930.687988	212.500290
195.217621	978.473938	953.443237	939.790100	154.545563
195.599960	948.892151	1017.157776	957.994263	13.333375
195.982254	955.718750	914.759338	964.820801	-22.222122
196.364517	905.657288	971.647400	944.341125	58.620659
196.746750	1008.055725	944.341125	1001.229126	10.714340
197.128952	976.198425	948.892151	1010.331238	-124.999886
197.511139	953.443237	935.239075	946.616638	37.500210
197.893280	932.963501	1033.086426	983.024963	50.000000
198.275391	939.790100	901.106262	969.371887	-76.470665
198.657471	930.687988	980.749451	964.820801	68.181816
199.039520	964.820801	955.718750	985.300537	-225.001343
199.421539	960.269775	946.616638	992.127075	-233.333191
199.803513	914.759338	960.269775	939.790100	55.000046
200.185471	948.892151	1053.566162	939.790100	-8.695617
200.567383	962.545288	1030.810913	998.953613	53.333321
200.949265	1005.780212	935.239075	914.759338	129.032333
201.331131	964.820801	928.412476	957.994263	18.749937
201.712967	1080.872437	944.341125	957.994263	89.999992
202.094742	873.799988	1030.810913	967.096313	59.420277
202.476517	885.177612	1001.229126	1021.708862	117.647110
202.858231	928.412476	951.167725	928.412476	0.000000
203.239944	942.065613	985.300537	955.718750	31.578955
203.621582	946.616638	957.994263	930.687988	-139.999786
204.003235	907.932800	923.861450	901.106262	-42.856979
204.384827	903.381775	985.300537	903.381775	0.000000
204.766388	928.412476	935.239075	935.239075	100.000000
205.147934	1003.504700	955.718750	960.269775	90.476227
205.529449	980.749451	957.994263	946.616638	150.000137
205.910904	896.555176	964.820801	994.402588	143.333359
206.292343	962.545288	985.300537	962.545288	0.000000
206.673767	964.820801	1012.606750	946.616638	-38.095219
207.055115	892.004150	1001.229126	937.514587	41.666695
207.436462	937.514587	1001.229126	928.412476	-14.285769
207.817780	942.065613	944.341125	930.687988	-500.002686
208.199051	930.687988	1042.188477	1033.086426	91.836761
208.580307	887.453125	973.922913	957.994263	81.578941
208.961517	901.106262	1005.780212	882.902100	-17.391302
209.342712	948.892151	944.341125	903.381775	1000.002686
209.723846	944.341125	932.963501	921.585938	199.999466
210.104965	914.759338	930.687988	942.065613	171.428680
210.486069	917.034912	1021.708862	921.585938	4.347811
210.867111	871.524475	942.065613	978.473938	151.612900
211.248123	973.922913	1069.494751	912.483826	-64.285767
211.629120	937.514587	976.198425	923.861450	-35.294163
212.010071	946.616638	967.096313	885.177612	-300.000000
212.390991	994.402588	930.687988	967.096313	42.857170
212.771881	907.932800	980.749451	998.953613	125.000000
213.152756	989.851563	953.443237	1033.086426	-118.749939
213.533569	992.127075	983.024963	973.922913	199.999329
213.914368	1008.055725	992.127075	942.065613	414.285645
214.295135	962.545288	1017.157776	905.657288	-104.166656
214.675858	994.402588	1026.259888	1014.882263	64.285660
215.056549	928.412476	1033.086426	971.647400	41.304379
215.437225	926.136963	1026.259888	878.351013	-47.727280
215.817841	951.167725	976.198425	876.075500	-300.000488
216.198441	873.799988	1055.841675	903.381775	16.250008
216.579025	983.024963	960.269775	976.198425	29.999920
216.959549	932.963501	973.922913	942.065613	22.222271
217.340057	967.096313	1008.055725	980.749451	33.333332
217.720535	953.443237	917.034912	928.412476	68.750107
218.100967	926.136963	1010.331238	919.310425	-8.108079
218.481369	951.167725	910.208313	1001.229126	-122.221977
218.861740	996.678101	910.208313	1001.229126	-5.263139
219.242065	994.402588	996.678101	955.718750	-1700.005371
219.622391	926.136963	992.127075	992.127075	100.000000
220.002670	946.616638	951.167725	917.034912	-649.992615
220.382919	951.167725	992.127075	914.759338	-88.889069
220.763123	983.024963	953.443237	892.004150	307.692719
221.143295	978.473938	962.545288	942.065613	228.571320
221.523453	948.892151	957.994263	885.177612	-699.997314
221.903549	955.718750	1003.504700	905.657288	-104.761887
222.283630	910.208313	1055.841675	917.034912	4.687524
222.663696	919.310425	1042.188477	930.687988	9.259232
223.043701	948.892151	1030.810913	903.381775	-55.555496
223.423676	964.820801	1058.117188	1062.668213	104.878029
223.803635	1033.086426	1042.188477	1060.392700	300.001343
224.183548	1008.055725	998.953613	1026.259888	-199.999329
224.563431	951.167725	987.576050	987.576050	100.000000
224.943283	960.269775	1026.259888	955.718750	-6.896526
225.323105	873.799988	1069.494751	919.310425	23.255827
225.702881	885.177612	978.473938	955.718750	75.609772
226.082642	910.208313	1042.188477	939.790100	22.413813
226.462357	903.381775	1028.535400	955.718750	41.818184
226.842041	955.718750	1037.637451	957.994263	2.777770
227.221695	892.004150	1019.433350	964.820801	57.142830
227.601318	987.576050	1058.117188	951.167725	-51.612896
227.980911	930.687988	1044.463989	955.718750	22.000036
228.360474	917.034912	1012.606750	926.136963	9.523779
228.739990	962.545288	1133.209351	914.759338	-28.000008
229.119476	905.657288	1149.138062	894.279663	-4.672904
229.498932	821.463013	1149.138062	992.127075	52.083324
229.878372	885.177612	1210.577026	882.902100	-0.699298
230.257736	901.106262	1240.158813	960.269775	17.449659
230.637115	944.341125	1233.332275	946.616638	0.787399
231.016449	935.239075	1142.311401	939.790100	2.197795
231.395737	871.524475	1133.209351	967.096313	36.521729
231.774994	898.830688	1183.270874	951.167725	18.400015
232.154221	926.136963	1153.689087	935.239075	4.000012
232.533417	939.790100	1117.280762	992.127075	29.487171
232.912582	921.585938	1133.209351	935.239075	6.451620
233.291702	935.239075	1121.831787	962.545288	14.634127
233.670792	944.341125	1185.546387	957.994263	5.660381
234.049866	942.065613	1126.382813	971.647400	16.049391
234.428894	955.718750	1149.138062	967.096313	5.882331
234.807892	951.167725	1121.831787	944.341125	-4.000021
235.186874	944.341125	1128.658325	1026.259888	44.444447
235.565781	882.902100	1151.413574	951.167725	25.423727
235.944687	1019.433350	1149.138062	971.647400	-36.842106
236.323547	967.096313	1199.199463	967.096313	0.000000
236.702377	955.718750	1199.199463	964.820801	3.738305
237.081177	985.300537	1169.617676	878.351013	-58.024731
237.459946	932.963501	1274.291626	1010.331238	22.666676
237.838669	953.443237	1210.577026	983.024963	11.504411
238.217361	894.279663	1151.413574	994.402588	38.938049
238.596039	948.892151	1083.147949	983.024963	25.423716
238.974670	914.759338	1174.168701	953.443237	14.912298
239.353271	905.657288	1169.617676	967.096313	23.275850
239.731842	957.994263	1140.035889	876.075500	-45.000015
240.110367	914.759338	1240.158813	912.483826	-0.699298
240.488876	896.555176	1192.372925	973.922913	26.153852
240.867340	971.647400	1244.709839	1003.504700	11.666673
241.245789	901.106262	1303.873413	964.820801	15.819200
241.624176	935.239075	1376.690063	978.473938	9.793808
242.002548	932.963501	1281.118164	998.953613	18.954252
242.380890	887.453125	1401.720825	985.300537	19.026552
242.759186	957.994263	1529.150024	951.167725	-1.195215
243.137451	944.341125	1622.446289	948.892151	0.671139
243.515686	939.790100	1670.232300	962.545288	3.115262
243.893890	928.412476	1683.885376	923.861450	-0.602408
244.272049	869.248962	1665.681274	903.381775	4.285714
244.650192	1026.259888	1590.588989	996.678101	-5.241939
245.028290	932.963501	1590.588989	967.096313	5.190312
245.406357	928.412476	1510.945801	971.647400	7.421880
245.784393	912.483826	1497.292725	919.310425	1.167321
246.162384	973.922913	1433.578125	960.269775	-2.970300
246.540359	889.728638	1549.629639	935.239075	6.896555
246.918289	955.718750	1620.170776	1017.157776	9.246571
247.296204	964.820801	1795.385864	937.514587	-3.287667
247.674057	1005.780212	1995.631714	1003.504700	-0.229884
248.051895	996.678101	2339.235352	971.647400	-1.864405
248.429703	919.310425	2359.715088	1005.780212	6.003160
248.807465	907.932800	2325.582275	1028.535400	8.507223
249.185196	1001.229126	2093.479248	953.443237	-4.374995
249.562897	946.616638	1959.223389	935.239075	-1.123592
249.940567	889.728638	1884.131226	992.127075	10.297483
250.318192	976.198425	1642.926025	989.851563	2.047783
250.695801	960.269775	1667.956787	901.106262	-8.360125
251.073349	1019.433350	1661.130127	971.647400	-7.446812
251.450882	992.127075	1567.833862	953.443237	-6.719365
251.828400	985.300537	1563.282837	905.657288	-13.779531
252.205872	914.759338	1613.344238	1064.943726	21.498373
252.583313	905.657288	1633.823975	946.616638	5.624997
252.960693	978.473938	1733.946899	971.647400	-0.903611
253.338074	983.024963	1768.079712	912.483826	-8.985505
253.715408	951.167725	1722.569214	985.300537	4.424779
254.092682	928.412476	1720.293701	985.300537	7.183913
254.469955	894.279663	1570.109375	932.963501	5.723903
254.847198	930.687988	1658.854614	969.371887	5.312507
255.224365	866.973450	1565.558350	994.402588	18.241037
255.601563	919.310425	1535.976563	928.412476	1.476009
255.978683	1005.780212	1576.935913	969.371887	-6.374501
256.355743	896.555176	1576.935913	998.953613	15.050167
256.732819	937.514587	1526.874512	944.341125	1.158297
257.109894	894.279663	1586.037964	1026.259888	19.078951
257.486877	932.963501	1558.731689	960.269775	4.363641
257.863831	887.453125	1688.436401	980.749451	11.647724
258.240753	1008.055725	1818.141113	983.024963	-3.089892
258.617645	914.759338	1788.559326	903.381775	-1.302079
258.994507	967.096313	1797.661377	1001.229126	4.109589
259.371307	964.820801	1984.254150	996.678101	3.125001
259.748108	971.647400	2209.530762	944.341125	-2.205884
260.124878	951.167725	2364.266113	971.647400	1.449275
260.501617	919.310425	2555.409912	953.443237	2.086231
