"","Trial","Treatment","Group","Species","Mean_Predicted_prob","SE_Predicted_prob"
"1",1,"CORT-Cold","Blue","L. delicata",0.646538761861381,0.10466048565167
"2",1,"CORT-Cold","Blue","L. guichenoti",0.371942656813897,0.121230691132759
"3",1,"CORT-Cold","Red","L. delicata",0.154394413638909,0.0727475061998894
"4",1,"CORT-Cold","Red","L. guichenoti",0.0807500646730362,0.048549743268631
"5",1,"CORT-Hot","Blue","L. delicata",0.555717499530136,0.107201248036593
"6",1,"CORT-Hot","Blue","L. guichenoti",0.505040929524356,0.131030747134269
"7",1,"CORT-Hot","Red","L. delicata",0.352596971569501,0.110350086956015
"8",1,"CORT-Hot","Red","L. guichenoti",0.248565681920507,0.0997044083268804
"9",1,"Control-Cold","Blue","L. delicata",0.759690446436265,0.0891454322104729
"10",1,"Control-Cold","Blue","L. guichenoti",0.619183144099511,0.141696049253305
"11",1,"Control-Cold","Red","L. delicata",0.306509981379818,0.0972231400597925
"12",1,"Control-Cold","Red","L. guichenoti",0.204428778304443,0.100388048022668
"13",1,"Control-Hot","Blue","L. delicata",0.502573339034113,0.116274223159718
"14",1,"Control-Hot","Blue","L. guichenoti",0.517264355018474,0.124247652792524
"15",1,"Control-Hot","Red","L. delicata",0.332856996836391,0.114847228922336
"16",1,"Control-Hot","Red","L. guichenoti",0.302414885511059,0.111470587673451
"17",2,"CORT-Cold","Blue","L. delicata",0.649738201126658,0.100380707901962
"18",2,"CORT-Cold","Blue","L. guichenoti",0.386529045574869,0.118337021235193
"19",2,"CORT-Cold","Red","L. delicata",0.166570591095913,0.0746326669381072
"20",2,"CORT-Cold","Red","L. guichenoti",0.0885818768186742,0.0502997084452637
"21",2,"CORT-Hot","Blue","L. delicata",0.563379134242482,0.102940323019827
"22",2,"CORT-Hot","Blue","L. guichenoti",0.528455602088023,0.12544963401417
"23",2,"CORT-Hot","Red","L. delicata",0.366466627273459,0.10901254496147
"24",2,"CORT-Hot","Red","L. guichenoti",0.260778275531934,0.0985824334824698
"25",2,"Control-Cold","Blue","L. delicata",0.759174665428641,0.0858882160720356
"26",2,"Control-Cold","Blue","L. guichenoti",0.623115016454821,0.13672031090984
"27",2,"Control-Cold","Red","L. delicata",0.317598937768371,0.0962766242740166
"28",2,"Control-Cold","Red","L. guichenoti",0.218126290138134,0.100701593078955
"29",2,"Control-Hot","Blue","L. delicata",0.515230201820621,0.111995900955698
"30",2,"Control-Hot","Blue","L. guichenoti",0.532328640289593,0.119551334099518
"31",2,"Control-Hot","Red","L. delicata",0.349557061518386,0.114039078387855
