"","Specie","Group","Treatment","Mean","CI","PValue","Task"
"1","L. delicata","Red","CORT - Cold",0.1037,"0.06 , 0.151",0,"Associative"
"2","L. delicata","Red","Control - Cold",0.0665,"0.032 , 0.103",8e-04,"Associative"
"3","L. delicata","Red","CORT - Hot",0.0736,"0.033 , 0.115",3e-04,"Associative"
"4","L. delicata","Red","Control - Hot",0.1651,"0.054 , 0.278",0.005,"Associative"
"5","L. delicata","Blue","CORT - Cold",0.0046,"-0.04 , 0.052",0.8545,"Associative"
"6","L. delicata","Blue","Control - Cold",0.0034,"-0.042 , 0.049",0.8813,"Associative"
"7","L. delicata","Blue","CORT - Hot",0.0272,"-0.016 , 0.07",0.2043,"Associative"
"8","L. delicata","Blue","Control - Hot",0.0258,"-0.093 , 0.149",0.678,"Associative"
"9","L. guichenoti","Red","CORT - Cold",0.1192,"0.062 , 0.183",5e-04,"Associative"
"10","L. guichenoti","Red","Control - Cold",0.1037,"0.045 , 0.169",0.0017,"Associative"
"11","L. guichenoti","Red","CORT - Hot",0.0806,"0.029 , 0.135",0.0057,"Associative"
"12","L. guichenoti","Red","Control - Hot",0.1338,"-0.02 , 0.296",0.085,"Associative"
"13","L. guichenoti","Blue","CORT - Cold",0.0745,"0.006 , 0.143",0.0342,"Associative"
"14","L. guichenoti","Blue","Control - Cold",0.0017,"-0.085 , 0.086",0.9515,"Associative"
"15","L. guichenoti","Blue","CORT - Hot",0.1,"0.03 , 0.178",0.007,"Associative"
"16","L. guichenoti","Blue","Control - Hot",0.1037,"-0.084 , 0.294",0.2512,"Associative"
"17","L. delicata","Red","CORT - Cold",0.0445,"0.018 , 0.072",0.0012,"Reversal"
"18","L. delicata","Red","Control - Cold",0.0693,"0.042 , 0.097",0,"Reversal"
"19","L. delicata","Red","CORT - Hot",0.0529,"0.025 , 0.081",0,"Reversal"
"20","L. delicata","Red","Control - Hot",5e-04,"-0.069 , 0.073",0.991,"Reversal"
"21","L. delicata","Blue","CORT - Cold",0.0377,"0.014 , 0.063",0.004,"Reversal"
"22","L. delicata","Blue","Control - Cold",0.0571,"0.032 , 0.083",8e-04,"Reversal"
"23","L. delicata","Blue","CORT - Hot",0.0604,"0.037 , 0.086",0,"Reversal"
"24","L. delicata","Blue","Control - Hot",0.0166,"-0.05 , 0.083",0.6213,"Reversal"
"25","L. guichenoti","Red","CORT - Cold",0.0411,"0.008 , 0.076",0.02,"Reversal"
"26","L. guichenoti","Red","Control - Cold",0.0845,"0.042 , 0.134",0.0015,"Reversal"
"27","L. guichenoti","Red","CORT - Hot",0.0526,"0.018 , 0.088",0.0063,"Reversal"
"28","L. guichenoti","Red","Control - Hot",0.019,"-0.077 , 0.115",0.6727,"Reversal"
"29","L. guichenoti","Blue","CORT - Cold",0.0557,"0.021 , 0.093",0.0057,"Reversal"
"30","L. guichenoti","Blue","Control - Cold",0.0399,"-0.004 , 0.085",0.069,"Reversal"
"31","L. guichenoti","Blue","CORT - Hot",0.0799,"0.044 , 0.12",5e-04,"Reversal"
"32","L. guichenoti","Blue","Control - Hot",0.0455,"-0.049 , 0.145",0.3288,"Reversal"
