"","Specie","Group","Treatment","Mean","CI","PValue"
"1","L. delicata","Red","CORT-Cold",0.1,"0.055 , 0.147",0
"2","L. delicata","Red","Control-Cold",0.056,"0.017 , 0.096",0.006
"3","L. delicata","Red","CORT-Hot",0.066,"0.024 , 0.111",0.002
"4","L. delicata","Red","Control-Hot",0.082,"0.037 , 0.129",0
"5","L. delicata","Blue","CORT-Cold",0.011,"-0.037 , 0.059",0.62
"6","L. delicata","Blue","Control-Cold",-0.007,"-0.057 , 0.044",0.793
"7","L. delicata","Blue","CORT-Hot",0.032,"-0.016 , 0.08",0.178
"8","L. delicata","Blue","Control-Hot",0.053,"-0.001 , 0.107",0.054
"9","L. guichenoti","Red","CORT-Cold",0.12,"0.056 , 0.192",0
"10","L. guichenoti","Red","Control-Cold",0.097,"0.026 , 0.17",0.008
"11","L. guichenoti","Red","CORT-Hot",0.073,"0.01 , 0.138",0.029
"12","L. guichenoti","Red","Control-Hot",0.077,"0.017 , 0.142",0.015
"13","L. guichenoti","Blue","CORT-Cold",0.069,"0.013 , 0.129",0.02
"14","L. guichenoti","Blue","Control-Cold",0.014,"-0.063 , 0.086",0.675
"15","L. guichenoti","Blue","CORT-Hot",0.099,"0.036 , 0.172",0.005
"16","L. guichenoti","Blue","Control-Hot",0.064,"0.004 , 0.124",0.039
