"","X1.b_Intercept","X2.b_Intercept","X3.b_Intercept","X4.b_Intercept","treatment_level","species_level","bias_level"
"1",-0.602178454232639,-0.485983986683168,-0.435848827909522,-0.155251054270731,"CORT Cold","delicata","Red"
"2",-0.485806132858254,-0.445874954836121,-0.546386806518811,-0.516273226035304,"CORT Cold","delicata","Red"
"3",-0.486357837153977,-0.0575751036733511,-0.435906093487337,-0.127082064520697,"CORT Cold","delicata","Red"
"4",-0.0589858024293626,-0.332476743036189,-0.553793615491212,-0.281515960928307,"CORT Cold","delicata","Red"
"5",-0.797711273135536,-0.272884199472303,-0.40191145755319,-0.205394115617295,"CORT Cold","delicata","Red"
"6",-0.382180611220709,-0.367267806512616,-0.453859374144744,-0.140618472913883,"CORT Cold","delicata","Red"
"7",-0.386280894924644,-0.311721623412809,-0.242386517907198,-0.233990989280079,"CORT Cold","delicata","Red"
"8",-0.492697559063995,-0.234850530587051,-0.559660540105108,-0.231206187190338,"CORT Cold","delicata","Red"
"9",-0.400149052246563,-0.543289671085485,-0.475550244963933,-0.446842566758966,"CORT Cold","delicata","Red"
"10",-0.215134835235689,-0.161565818504141,-0.592492683559837,-0.429503994441761,"CORT Cold","delicata","Red"
"11",-0.603892158309717,-0.49803980968004,-0.482830023064215,-0.456383591072197,"CORT Cold","delicata","Red"
"12",-0.193325468671405,-0.268312618788518,-0.605127640775798,-0.635986135607409,"CORT Cold","delicata","Red"
"13",-0.298909668111394,-0.119417828212142,-0.60060195009224,-0.237358942711682,"CORT Cold","delicata","Red"
"14",-0.365834377649242,-0.388588572386577,-0.327788130871726,-0.625149814851009,"CORT Cold","delicata","Red"
"15",-0.286628970394239,-0.287000594544957,-0.342813533644934,-0.603169294594249,"CORT Cold","delicata","Red"
"16",-0.398579533970703,-0.311363581222496,-0.498272348424783,-0.806969159231031,"CORT Cold","delicata","Red"
"17",-0.190495630891057,-0.253923983421071,-0.490721848906333,-0.440149265621934,"CORT Cold","delicata","Red"
"18",-0.248776508705265,-0.236003771990321,-0.838939475887028,-0.500667769775162,"CORT Cold","delicata","Red"
"19",-0.443436790389787,-0.423619937263862,-0.177438046940638,-0.354601196517169,"CORT Cold","delicata","Red"
"20",-0.439083893585357,-0.611559757902981,-0.511912389364843,-0.422074194759099,"CORT Cold","delicata","Red"
"21",-0.421372656872511,-0.644521833871112,-0.511942818853398,-0.617546809595857,"CORT Cold","delicata","Red"
"22",-0.400921427043717,-0.763028840485253,-0.382978880456355,-0.740462522782879,"CORT Cold","delicata","Red"
"23",-0.197747149034587,-0.999165968616359,-0.543963819664118,0.021075305302889,"CORT Cold","delicata","Red"
"24",-0.641811153823663,-0.585976002310258,-0.423403110807982,-0.0366819995515155,"CORT Cold","delicata","Red"
"25",-0.551099216984626,-0.43602820360729,-0.243051967186559,-0.750564730133549,"CORT Cold","delicata","Red"
"26",-0.540454023642768,-0.439414635627618,-0.256320778004841,-0.59951677676784,"CORT Cold","delicata","Red"
"27",-0.700426530375723,-0.46271985361409,-0.421988825719552,-0.2502789038956,"CORT Cold","delicata","Red"
"28",-0.226450663863488,-0.793966242287583,-0.105673787079516,-0.337118735336506,"CORT Cold","delicata","Red"
"29",-0.571951625670147,-0.191793232909559,-0.549333454273006,-0.573966987800861,"CORT Cold","delicata","Red"
"30",-0.412068866270376,-0.0729055669888902,-0.192995919135933,-0.318658539146601,"CORT Cold","delicata","Red"
"31",-0.222080300639048,-0.277331414346687,-0.0263793104745494,-0.368512697867427,"CORT Cold","delicata","Red"
"32",-0.422466141044725,-0.305030541237694,-0.836037349707365,-0.511882065774875,"CORT Cold","delicata","Red"
"33",-0.577590454830961,-0.526505392948365,-0.292291644501649,-0.425009119061813,"CORT Cold","delicata","Red"
"34",-0.377862483618476,-0.666869619282267,-0.499338835860407,-0.137000278742406,"CORT Cold","delicata","Red"
"35",-0.369387993767025,-0.469801731135429,-0.213266605317976,-0.054421927367874,"CORT Cold","delicata","Red"
"36",-0.554195702587672,-0.48454637847059,-0.40395065504719,-0.44226884401127,"CORT Cold","delicata","Red"
"37",-0.453643963145875,-0.410520325678428,-0.51292599421902,-0.142129604518502,"CORT Cold","delicata","Red"
"38",-0.375513678047873,-0.581047522598457,-0.591974210236582,-0.457920839940961,"CORT Cold","delicata","Red"
