"","Specie","Group","Treatment","n"
"1","L. delicata","Red","CORT-Cold",5
"2","L. delicata","Red","CORT-Hot",5
"3","L. delicata","Red","Control-Cold",6
"4","L. delicata","Red","Control-Hot",5
"5","L. delicata","Blue","CORT-Cold",6
"6","L. delicata","Blue","CORT-Hot",6
"7","L. delicata","Blue","Control-Cold",6
"8","L. delicata","Blue","Control-Hot",5
"9","L. guichenoti","Red","CORT-Cold",5
"10","L. guichenoti","Red","CORT-Hot",5
"11","L. guichenoti","Red","Control-Cold",4
"12","L. guichenoti","Red","Control-Hot",5
"13","L. guichenoti","Blue","CORT-Cold",5
"14","L. guichenoti","Blue","CORT-Hot",5
"15","L. guichenoti","Blue","Control-Cold",3
"16","L. guichenoti","Blue","Control-Hot",5
