"","column","prob_choice"
"1","probright_drCORTCold_t","0.142"
"2","probright_drControlCold_t","0.294"
"3","probright_drCORTHot_t","0.340"
"4","probright_drControlHot_t","0.317"
"5","probright_dbCORTCold_t","0.633"
"6","probright_dbControlCold_t","0.752"
"7","probright_dbCORTHot_t","0.553"
"8","probright_dbControlHot_t","0.502"
"9","probright_grCORTCold_t","0.072"
"10","probright_grControlCold_t","0.191"
"11","probright_grCORTHot_t","0.235"
"12","probright_grControlHot_t","0.283"
"13","probright_gbCORTCold_t","0.355"
"14","probright_gbControlCold_t","0.614"
"15","probright_gbCORTHot_t","0.482"
"16","probright_gbControlHot_t","0.498"
