"","Intercept","treatment_level","species_level","bias_level"
"1",-0.602178454232639,"CORT Cold","delicata","Red"
"2",-0.485806132858254,"CORT Cold","delicata","Red"
"3",-0.486357837153977,"CORT Cold","delicata","Red"
"4",-0.0589858024293626,"CORT Cold","delicata","Red"
"5",-0.797711273135536,"CORT Cold","delicata","Red"
"6",-0.382180611220709,"CORT Cold","delicata","Red"
"7",-0.386280894924644,"CORT Cold","delicata","Red"
"8",-0.492697559063995,"CORT Cold","delicata","Red"
"9",-0.400149052246563,"CORT Cold","delicata","Red"
"10",-0.215134835235689,"CORT Cold","delicata","Red"
"11",-0.603892158309717,"CORT Cold","delicata","Red"
"12",-0.193325468671405,"CORT Cold","delicata","Red"
"13",-0.298909668111394,"CORT Cold","delicata","Red"
"14",-0.365834377649242,"CORT Cold","delicata","Red"
"15",-0.286628970394239,"CORT Cold","delicata","Red"
"16",-0.398579533970703,"CORT Cold","delicata","Red"
"17",-0.190495630891057,"CORT Cold","delicata","Red"
"18",-0.248776508705265,"CORT Cold","delicata","Red"
"19",-0.443436790389787,"CORT Cold","delicata","Red"
"20",-0.439083893585357,"CORT Cold","delicata","Red"
"21",-0.421372656872511,"CORT Cold","delicata","Red"
"22",-0.400921427043717,"CORT Cold","delicata","Red"
"23",-0.197747149034587,"CORT Cold","delicata","Red"
"24",-0.641811153823663,"CORT Cold","delicata","Red"
"25",-0.551099216984626,"CORT Cold","delicata","Red"
"26",-0.540454023642768,"CORT Cold","delicata","Red"
"27",-0.700426530375723,"CORT Cold","delicata","Red"
"28",-0.226450663863488,"CORT Cold","delicata","Red"
"29",-0.571951625670147,"CORT Cold","delicata","Red"
"30",-0.412068866270376,"CORT Cold","delicata","Red"
"31",-0.222080300639048,"CORT Cold","delicata","Red"
"32",-0.422466141044725,"CORT Cold","delicata","Red"
"33",-0.577590454830961,"CORT Cold","delicata","Red"
"34",-0.377862483618476,"CORT Cold","delicata","Red"
"35",-0.369387993767025,"CORT Cold","delicata","Red"
"36",-0.554195702587672,"CORT Cold","delicata","Red"
"37",-0.453643963145875,"CORT Cold","delicata","Red"
"38",-0.375513678047873,"CORT Cold","delicata","Red"
"39",-0.159803776495751,"CORT Cold","delicata","Red"
"40",-0.154872222500941,"CORT Cold","delicata","Red"
"41",-0.172172561468815,"CORT Cold","delicata","Red"
"42",-0.435031560311648,"CORT Cold","delicata","Red"
"43",-0.274721920725385,"CORT Cold","delicata","Red"
"44",-0.033787887564743,"CORT Cold","delicata","Red"
"45",-0.590582999494146,"CORT Cold","delicata","Red"
"46",-0.0389850020639419,"CORT Cold","delicata","Red"
"47",-0.115241363996848,"CORT Cold","delicata","Red"
"48",-0.174899091259336,"CORT Cold","delicata","Red"
