"","lizard_id","position","species","sex","trt","clutch","age.start","date_end_training","date_first_trial","days_since_training","group","trial_associative","position_feeder_associative","FC_associative","notes_associative","reinforcement","trial_reversal","position_feeder_reversal","FC_reversal","reinfor_reversal","notes_reversal","blue_asso","temp","cort"
"1",1255,"A1","delicata","Male","A_23","CL334_22",111,"31/3/2023","13/4/2023",13,"Blue",1,"C",NA,"",0,1,"C",0,1,"",NA,"Cold","Control"
"2",1382,"A1","delicata","Female","B_28","CL373_22",118,"1/4/2023","13/4/2023",12,"Blue",1,"L",NA,"",0,1,"R",0,1,"",NA,"Hot","CORT"
"3",1410,"A1","delicata","Female","A_28","CL379_22",120,"28/3/2023","13/4/2023",16,"Red",1,"R",0,"Correct choice made but not eaten",1,1,"R",1,1,"",1,"Hot","Control"
"4",2073,"A1","delicata","Male","B_23","CL560_22",57,"22/3/2023","13/4/2023",22,"Blue",1,"R",1,"",1,1,"L",0,0,"",1,"Cold","CORT"
"5",1373,"A2","guichenoti","Female","A_28","CL370_22",120,"24/3/2023","13/4/2023",20,"Blue",1,"C",0,"",0,1,"L",0,1,"",0,"Hot","Control"
"6",1478,"A2","guichenoti","Male","B_23","CL400_22",85,"23/3/2023","13/4/2023",21,"Blue",1,"C",NA,"",0,1,"R",0,1,"",NA,"Cold","CORT"
"7",2298,"A2","guichenoti","Female","B_28","CL619_23",62,"26/3/2023","13/4/2023",18,"Blue",1,"L",0,"",0,1,"C",0,0,"",0,"Hot","CORT"
"8",1207,"A3","delicata","Female","B_23","CL320_22",118,"30/3/2023","13/4/2023",14,"Red",1,"R",0,"",0,1,"R",0,1,"",1,"Cold","CORT"
"9",1381,"A3","delicata","Male","A_28","CL373_22",122,"30/3/2023","13/4/2023",14,"Red",1,"C",NA,"",0,1,"R",0,0,"",NA,"Hot","Control"
"10",1401,"A3","delicata","Female","B_28","CL377_22",115,"1/4/2023","13/4/2023",12,"Red",1,"C",1,"",1,1,"R",0,1,"",0,"Hot","CORT"
"11",1283,"A4","guichenoti","Female","A_23","CL344_22",106,"28/3/2023","13/4/2023",16,"Red",1,"L",NA,"",0,1,"R",1,1,"",NA,"Cold","Control"
"12",1562,"A4","guichenoti","Female","B_28","CL423_22",101,"26/3/2023","13/4/2023",18,"Blue",1,"R",0,"",1,1,"L",0,1,"",0,"Hot","CORT"
"13",1609,"A4","guichenoti","Female","A_28","CL437_22",101,"25/3/2023","13/4/2023",19,"Blue",1,"C",NA,"",0,1,"C",0,1,"",NA,"Hot","Control"
"14",1276,"B1","guichenoti","Female","A_28","CL341_22",129,"29/3/2023","13/4/2023",15,"Red",1,"L",0,"",1,1,"C",0,1,"",1,"Hot","Control"
"15",1438,"B1","guichenoti","Male","B_28","CL386_22",113,"21/3/2023","13/4/2023",23,"Blue",1,"C",NA,"",0,1,"C",0,1,"",NA,"Hot","CORT"
"16",1198,"B2","delicata","Male","A_23","CL318_22",120,"29/3/2023","13/4/2023",15,"Red",1,"R",1,"",1,1,"R",0,1,"",0,"Cold","Control"
"17",1233,"B2","delicata","Female","B_23","CL327_22",115,"31/3/2023","13/4/2023",13,"Blue",1,"R",NA,"",0,1,"C",1,1,"",NA,"Cold","CORT"
"18",1240,"B2","delicata","Female","A_28","CL330_22",132,"30/3/2023","13/4/2023",14,"Blue",1,"L",NA,"",0,1,"L",0,1,"",NA,"Hot","Control"
"19",1284,"B2","delicata","Male","B_28","CL345_22",129,"21/3/2023","13/4/2023",23,"Blue",1,"L",1,"",1,1,"C",0,1,"",1,"Hot","CORT"
"20",1432,"B3","guichenoti","Male","B_23","CL385_22",94,"20/3/2023","13/4/2023",24,"Red",1,"L",0,"Ramp slipery",0,1,"R",1,1,"",1,"Cold","CORT"
"21",2047,"B3","guichenoti","Male","A_23","CL552_22",55,"27/3/2023","13/4/2023",17,"Blue",1,"R",NA,"",0,1,"L",0,1,"",NA,"Cold","Control"
"22",1205,"B4","delicata","Male","A_28","CL320_22",136,"31/3/2023","13/4/2023",13,"Red",1,"L",0,"",1,1,"C",1,1,"",1,"Hot","Control"
"23",1296,"B4","delicata","Female","B_23","CL348_22",108,"5/4/2023","13/4/2023",8,"Blue",1,"L",1,"",1,1,"R",1,1,"",1,"Cold","CORT"
"24",1399,"B4","delicata","Male","A_23","CL377_22",97,"3/4/2023","13/4/2023",10,"Red",1,"R",0,"",1,1,"L",0,1,"",0,"Cold","Control"
"25",1366,"C1","guichenoti","Female","A_28","CL368_22",127,"1/4/2023","13/4/2023",12,"Blue",1,"L",NA,"",1,1,"R",0,0,"",NA,"Hot","Control"
"26",1374,"C1","guichenoti","Male","B_23","CL371_22",97,"20/3/2023","13/4/2023",24,"Red",1,"L",0,"",1,1,"R",0,0,"",0,"Cold","CORT"
"27",1463,"C1","guichenoti","Female","B_28","CL396_22",111,"27/3/2023","13/4/2023",17,"Blue",1,"L",1,"",1,1,"R",0,0,"",1,"Hot","CORT"
"28",1202,"C2","delicata","Male","B_28","CL319_22",134,"26/3/2023","13/4/2023",18,"Blue",1,"C",NA,"Wrong feeder",0,1,"L",0,1,"",NA,"Hot","CORT"
"29",1322,"C2","delicata","Male","B_23","CL356_22",108,"26/3/2023","13/4/2023",18,"Red",1,"C",0,"",1,1,"C",1,1,"",0,"Cold","CORT"
"30",2205,"C2","delicata","Male","A_28","CL595_22",69,"9/4/2023","13/4/2023",4,"Blue",1,"R",1,"",1,1,"R",NA,0,"",1,"Hot","Control"
"31",1611,"C3","guichenoti","Female","B_28","CL438_22",99,"26/3/2023","13/4/2023",18,"Blue",1,"L",NA,"",0,1,"R",0,1,"",NA,"Hot","CORT"
"32",1390,"C4","delicata","Male","A_23","CL374_22",101,"30/3/2023","13/4/2023",14,"Red",1,"L",0,"",0,1,"C",1,1,"",1,"Cold","Control"
"33",1454,"C4","delicata","Female","B_28","CL392_22",115,"28/3/2023","13/4/2023",16,"Red",1,"L",NA,"",0,1,"L",0,1,"",NA,"Hot","CORT"
"34",2105,"C4","delicata","Female","B_23","CL569_22",59,"1/4/2023","13/4/2023",12,"Blue",1,"R",NA,"",0,1,"C",0,1,"",NA,"Cold","CORT"
"35",1177,"D1","guichenoti","Male","A_23","CL314_22",125,"28/3/2023","13/4/2023",16,"Red",1,"R",NA,"",0,1,"R",0,1,"",NA,"Cold","Control"
"36",1358,"D1","guichenoti","Female","B_28","CL365_22",129,"20/3/2023","13/4/2023",24,"Red",1,"L",NA,"",0,1,"C",1,1,"",NA,"Hot","CORT"
"37",1479,"D1","guichenoti","Female","A_28","CL400_22",108,"28/3/2023","13/4/2023",16,"Red",1,"L",0,"",1,1,"L",0,1,"",1,"Hot","Control"
"38",1303,"D2","delicata","Female","B_23","CL350_22",113,"30/3/2023","13/4/2023",14,"Red",1,"L",NA,"",0,1,"R",0,1,"",NA,"Cold","CORT"
"39",1531,"D2","delicata","Male","A_23","CL414_22",85,"27/3/2023","13/4/2023",17,"Blue",1,"R",0,"",0,1,"R",0,1,"",0,"Cold","Control"
