"","lizard_id","position","species","trt","clutch","age.start","date_end_training","date_first_trial","days_since_training","group","trial_associative","position_feeder_associative","FC_associative","notes_associative","reinforcement","trial_reversal","position_feeder_reversal","FC_reversal","reinfor_reversal","notes_reversal","temp","cort"
"1",1255,"A1","delicata","A_23","CL334_22",111,"31/3/2023","13/4/2023",13,"Blue",1,"C",NA,"",0,1,"C",0,1,"","Cold","Control"
"2",1382,"A1","delicata","B_28","CL373_22",118,"1/4/2023","13/4/2023",12,"Blue",1,"L",NA,"",0,1,"R",0,1,"","Hot","CORT"
"3",1410,"A1","delicata","A_28","CL379_22",120,"28/3/2023","13/4/2023",16,"Red",1,"R",0,"Correct choice made but not eaten",1,1,"R",1,1,"","Hot","Control"
"4",2073,"A1","delicata","B_23","CL560_22",57,"22/3/2023","13/4/2023",22,"Blue",1,"R",1,"",1,1,"L",0,0,"","Cold","CORT"
"5",1207,"A3","delicata","B_23","CL320_22",118,"30/3/2023","13/4/2023",14,"Red",1,"R",0,"",0,1,"R",0,1,"","Cold","CORT"
"6",1381,"A3","delicata","A_28","CL373_22",122,"30/3/2023","13/4/2023",14,"Red",1,"C",NA,"",0,1,"R",0,0,"","Hot","Control"
"7",1401,"A3","delicata","B_28","CL377_22",115,"1/4/2023","13/4/2023",12,"Red",1,"C",1,"",1,1,"R",0,1,"","Hot","CORT"
"8",1198,"B2","delicata","A_23","CL318_22",120,"29/3/2023","13/4/2023",15,"Red",1,"R",1,"",1,1,"R",0,1,"","Cold","Control"
"9",1233,"B2","delicata","B_23","CL327_22",115,"31/3/2023","13/4/2023",13,"Blue",1,"R",NA,"",0,1,"C",1,1,"","Cold","CORT"
"10",1240,"B2","delicata","A_28","CL330_22",132,"30/3/2023","13/4/2023",14,"Blue",1,"L",NA,"",0,1,"L",0,1,"","Hot","Control"
"11",1284,"B2","delicata","B_28","CL345_22",129,"21/3/2023","13/4/2023",23,"Blue",1,"L",1,"",1,1,"C",0,1,"","Hot","CORT"
"12",1205,"B4","delicata","A_28","CL320_22",136,"31/3/2023","13/4/2023",13,"Red",1,"L",0,"",1,1,"C",1,1,"","Hot","Control"
"13",1296,"B4","delicata","B_23","CL348_22",108,"5/4/2023","13/4/2023",8,"Blue",1,"L",1,"",1,1,"R",1,1,"","Cold","CORT"
"14",1399,"B4","delicata","A_23","CL377_22",97,"3/4/2023","13/4/2023",10,"Red",1,"R",0,"",1,1,"L",0,1,"","Cold","Control"
"15",1202,"C2","delicata","B_28","CL319_22",134,"26/3/2023","13/4/2023",18,"Blue",1,"C",NA,"Wrong feeder",0,1,"L",0,1,"","Hot","CORT"
"16",1322,"C2","delicata","B_23","CL356_22",108,"26/3/2023","13/4/2023",18,"Red",1,"C",0,"",1,1,"C",1,1,"","Cold","CORT"
"17",2205,"C2","delicata","A_28","CL595_22",69,"9/4/2023","13/4/2023",4,"Blue",1,"R",1,"",1,1,"R",NA,0,"","Hot","Control"
