"","lizard_id","position","species","trt","clutch","age.start","date_end_training","date_first_trial","days_since_training","group","trial_associative","position_feeder_associative","FC_associative","notes_associative","reinforcement","trial_reversal","position_feeder_reversal","FC_reversal","reinfor_reversal","notes_reversal","temp","cort"
"1",1373,"A2","guichenoti","A_28","CL370_22",120,"24/3/2023","13/4/2023",20,"Blue",1,"C",0,"",0,1,"L",0,1,"","Hot","Control"
"2",1478,"A2","guichenoti","B_23","CL400_22",85,"23/3/2023","13/4/2023",21,"Blue",1,"C",NA,"",0,1,"R",0,1,"","Cold","CORT"
"3",2298,"A2","guichenoti","B_28","CL619_23",62,"26/3/2023","13/4/2023",18,"Blue",1,"L",0,"",0,1,"C",0,0,"","Hot","CORT"
"4",1283,"A4","guichenoti","A_23","CL344_22",106,"28/3/2023","13/4/2023",16,"Red",1,"L",NA,"",0,1,"R",1,1,"","Cold","Control"
"5",1562,"A4","guichenoti","B_28","CL423_22",101,"26/3/2023","13/4/2023",18,"Blue",1,"R",0,"",1,1,"L",0,1,"","Hot","CORT"
"6",1609,"A4","guichenoti","A_28","CL437_22",101,"25/3/2023","13/4/2023",19,"Blue",1,"C",NA,"",0,1,"C",0,1,"","Hot","Control"
"7",1276,"B1","guichenoti","A_28","CL341_22",129,"29/3/2023","13/4/2023",15,"Red",1,"L",0,"",1,1,"C",0,1,"","Hot","Control"
"8",1438,"B1","guichenoti","B_28","CL386_22",113,"21/3/2023","13/4/2023",23,"Blue",1,"C",NA,"",0,1,"C",0,1,"","Hot","CORT"
"9",1432,"B3","guichenoti","B_23","CL385_22",94,"20/3/2023","13/4/2023",24,"Red",1,"L",0,"Ramp slipery",0,1,"R",1,1,"","Cold","CORT"
"10",2047,"B3","guichenoti","A_23","CL552_22",55,"27/3/2023","13/4/2023",17,"Blue",1,"R",NA,"",0,1,"L",0,1,"","Cold","Control"
"11",1366,"C1","guichenoti","A_28","CL368_22",127,"1/4/2023","13/4/2023",12,"Blue",1,"L",NA,"",1,1,"R",0,0,"","Hot","Control"
"12",1374,"C1","guichenoti","B_23","CL371_22",97,"20/3/2023","13/4/2023",24,"Red",1,"L",0,"",1,1,"R",0,0,"","Cold","CORT"
"13",1463,"C1","guichenoti","B_28","CL396_22",111,"27/3/2023","13/4/2023",17,"Blue",1,"L",1,"",1,1,"R",0,0,"","Hot","CORT"
"14",1611,"C3","guichenoti","B_28","CL438_22",99,"26/3/2023","13/4/2023",18,"Blue",1,"L",NA,"",0,1,"R",0,1,"","Hot","CORT"
"15",1177,"D1","guichenoti","A_23","CL314_22",125,"28/3/2023","13/4/2023",16,"Red",1,"R",NA,"",0,1,"R",0,1,"","Cold","Control"
"16",1358,"D1","guichenoti","B_28","CL365_22",129,"20/3/2023","13/4/2023",24,"Red",1,"L",NA,"",0,1,"C",1,1,"","Hot","CORT"
"17",1479,"D1","guichenoti","A_28","CL400_22",108,"28/3/2023","13/4/2023",16,"Red",1,"L",0,"",1,1,"L",0,1,"","Hot","Control"
"18",1371,"D3","guichenoti","A_23","CL370_22",94,"27/3/2023","13/4/2023",17,"Blue",1,"R",NA,"",0,1,"C",0,1,"","Cold","Control"
"19",1459,"D3","guichenoti","B_23","CL394_22",92,"8/4/2023","13/4/2023",5,"Blue",1,"R",NA,"",0,1,"L",0,0,"","Cold","CORT"
"20",1442,"E1","guichenoti","B_23","CL388_22",94,"21/3/2023","13/4/2023",23,"Blue",1,"R",0,"",1,1,"C",0,1,"","Cold","CORT"
"21",1565,"E1","guichenoti","B_28","CL424_22",101,"29/3/2023","13/4/2023",15,"Red",1,"C",0,"",1,1,"L",0,1,"","Hot","CORT"
"22",1218,"E3","guichenoti","A_28","CL324_22",132,"21/3/2023","13/4/2023",23,"Red",1,"R",0,"",0,1,"L",0,1,"","Hot","Control"
"23",1443,"E3","guichenoti","A_23","CL388_22",94,"20/3/2023","13/4/2023",24,"Red",1,"C",0,"",0,1,"L",0,1,"","Cold","Control"
"24",2164,"E3","guichenoti","B_23","CL584_22",48,"20/3/2023","13/4/2023",24,"Blue",1,"L",1,"",1,1,"L",0,0,"","Cold","CORT"
"25",1419,"F2","guichenoti","A_28","CL382_22",118,"20/3/2023","13/4/2023",24,"Blue",1,"L",1,"",1,1,NA,NA,0,"No test made","Hot","Control"
"26",1534,"F2","guichenoti","A_23","CL415_22",85,"20/3/2023","13/4/2023",24,"Red",1,"R",0,"",0,1,"C",0,1,"","Cold","Control"
"27",1580,"F2","guichenoti","B_28","CL428_22",99,"20/3/2023","13/4/2023",24,"Red",1,"R",NA,"",0,1,"L",0,1,"","Hot","CORT"
"28",1613,"F2","guichenoti","B_23","CL439_22",80,"29/3/2023","13/4/2023",15,"Red",1,"C",0,"",0,1,"R",1,1,"","Cold","CORT"
"29",1340,"F4","guichenoti","B_28","CL360_22",122,"6/4/2023","13/4/2023",7,"Red",1,"L",0,"",0,1,"R",0,1,"","Hot","CORT"
"30",1417,"F4","guichenoti","B_28","CL381_22",97,"20/3/2023","13/4/2023",24,"Red",1,"L",NA,"",0,1,"L",1,1,"","Hot","CORT"
"31",1467,"F4","guichenoti","A_28","CL397_22",111,"20/3/2023","13/4/2023",24,"Red",1,"R",0,"",1,1,"L",0,1,"","Hot","Control"
"32",1421,"G1","guichenoti","B_23","CL382_22",97,"20/3/2023","13/4/2023",24,"Red",1,"L",NA,"",0,1,"L",0,1,"","Cold","CORT"
"33",1674,"G1","guichenoti","B_23","CL455_22",94,"6/4/2023","13/4/2023",7,"Red",1,"L",0,"",0,1,"R",1,1,"","Cold","CORT"
"34",2009,"G1","guichenoti","A_28","CL542_22",78,"3/4/2023","13/4/2023",10,"Blue",1,"L",NA,"",0,1,"C",0,1,"","Hot","Control"
"35",1360,"G3","guichenoti","A_28","CL366_22",120,"21/3/2023","13/4/2023",23,"Red",1,"R",NA,"",0,1,"R",0,1,"","Hot","Control"
"36",1795,"G3","guichenoti","A_23","CL489_22",66,"5/4/2023","13/4/2023",8,"Blue",1,"R",1,"",1,1,"R",1,1,"","Cold","Control"
"37",2081,"G3","guichenoti","B_23","CL562_22",52,"3/4/2023","13/4/2023",10,"Blue",1,"R",0,"",1,1,"R",0,1,"","Cold","CORT"
"38",1373,"A2","guichenoti","A_28","CL370_22",120,"24/3/2023","13/4/2023",20,"Blue",2,"R",1,"",1,2,"C",0,1,"","Hot","Control"
"39",1478,"A2","guichenoti","B_23","CL400_22",85,"23/3/2023","13/4/2023",21,"Blue",2,"R",NA,"",0,2,"R",0,1,"","Cold","CORT"
"40",2298,"A2","guichenoti","B_28","CL619_23",62,"26/3/2023","13/4/2023",18,"Blue",2,"C",1,"",1,2,"L",0,0,"","Hot","CORT"
"41",1283,"A4","guichenoti","A_23","CL344_22",106,"28/3/2023","13/4/2023",16,"Red",2,"C",NA,"",0,2,"C",0,1,"","Cold","Control"
"42",1562,"A4","guichenoti","B_28","CL423_22",101,"26/3/2023","13/4/2023",18,"Blue",2,"C",0,"",1,2,"L",0,1,"","Hot","CORT"
"43",1609,"A4","guichenoti","A_28","CL437_22",101,"25/3/2023","13/4/2023",19,"Blue",2,"C",0,"",1,2,"R",1,1,"","Hot","Control"
"44",1276,"B1","guichenoti","A_28","CL341_22",129,"29/3/2023","13/4/2023",15,"Red",2,"R",1,"",1,2,"C",1,1,"","Hot","Control"
"45",1438,"B1","guichenoti","B_28","CL386_22",113,"21/3/2023","13/4/2023",23,"Blue",2,"C",1,"",1,2,"R",0,1,"","Hot","CORT"
"46",1432,"B3","guichenoti","B_23","CL385_22",94,"20/3/2023","13/4/2023",24,"Red",2,"R",0,"",1,2,"R",0,1,"","Cold","CORT"
"47",2047,"B3","guichenoti","A_23","CL552_22",55,"27/3/2023","13/4/2023",17,"Blue",2,"C",1,"",1,2,"C",0,1,"","Cold","Control"
"48",1366,"C1","guichenoti","A_28","CL368_22",127,"1/4/2023","13/4/2023",12,"Blue",2,"L",NA,"",1,2,"R",0,1,"","Hot","Control"
"49",1374,"C1","guichenoti","B_23","CL371_22",97,"20/3/2023","13/4/2023",24,"Red",2,"C",NA,"",0,2,"C",0,1,"","Cold","CORT"
"50",1463,"C1","guichenoti","B_28","CL396_22",111,"27/3/2023","13/4/2023",17,"Blue",2,"C",0,"",0,2,"L",0,1,"","Hot","CORT"
"51",1611,"C3","guichenoti","B_28","CL438_22",99,"26/3/2023","13/4/2023",18,"Blue",2,"L",NA,"",0,2,"L",0,0,"","Hot","CORT"
"52",1177,"D1","guichenoti","A_23","CL314_22",125,"28/3/2023","13/4/2023",16,"Red",2,"R",NA,"",0,2,"R",0,1,"","Cold","Control"
"53",1358,"D1","guichenoti","B_28","CL365_22",129,"20/3/2023","13/4/2023",24,"Red",2,"L",NA,"",0,2,"L",1,1,"","Hot","CORT"
"54",1479,"D1","guichenoti","A_28","CL400_22",108,"28/3/2023","13/4/2023",16,"Red",2,"C",0,"",0,2,"C",0,1,"","Hot","Control"
"55",1371,"D3","guichenoti","A_23","CL370_22",94,"27/3/2023","13/4/2023",17,"Blue",2,"C",NA,"",0,2,"R",0,1,"","Cold","Control"
"56",1459,"D3","guichenoti","B_23","CL394_22",92,"8/4/2023","13/4/2023",5,"Blue",2,"L",NA,"",0,2,"L",0,1,"","Cold","CORT"
"57",1442,"E1","guichenoti","B_23","CL388_22",94,"21/3/2023","13/4/2023",23,"Blue",2,"C",0,"",1,2,"R",0,0,"","Cold","CORT"
"58",1565,"E1","guichenoti","B_28","CL424_22",101,"29/3/2023","13/4/2023",15,"Red",2,"R",NA,"",0,2,"L",0,1,"","Hot","CORT"
"59",1218,"E3","guichenoti","A_28","CL324_22",132,"21/3/2023","13/4/2023",23,"Red",2,"C",NA,"",0,2,"R",1,1,"","Hot","Control"
"60",1443,"E3","guichenoti","A_23","CL388_22",94,"20/3/2023","13/4/2023",24,"Red",2,"R",0,"",1,2,"C",1,1,"","Cold","Control"
"61",2164,"E3","guichenoti","B_23","CL584_22",48,"20/3/2023","13/4/2023",24,"Blue",2,"C",NA,"",0,2,"L",0,0,"","Cold","CORT"
"62",1419,"F2","guichenoti","A_28","CL382_22",118,"20/3/2023","13/4/2023",24,"Blue",2,"L",0,"",0,2,"R",0,1,"","Hot","Control"
"63",1534,"F2","guichenoti","A_23","CL415_22",85,"20/3/2023","13/4/2023",24,"Red",2,"C",0,"",1,2,"C",0,1,"","Cold","Control"
"64",1580,"F2","guichenoti","B_28","CL428_22",99,"20/3/2023","13/4/2023",24,"Red",2,"L",0,"",1,2,"L",0,1,"","Hot","CORT"
"65",1613,"F2","guichenoti","B_23","CL439_22",80,"29/3/2023","13/4/2023",15,"Red",2,"R",0,"",0,2,"R",1,1,"","Cold","CORT"
"66",1340,"F4","guichenoti","B_28","CL360_22",122,"6/4/2023","13/4/2023",7,"Red",2,"R",0,"",1,2,"L",0,1,"","Hot","CORT"
"67",1417,"F4","guichenoti","B_28","CL381_22",97,"20/3/2023","13/4/2023",24,"Red",2,"C",NA,"",0,2,"C",0,1,"","Hot","CORT"
"68",1467,"F4","guichenoti","A_28","CL397_22",111,"20/3/2023","13/4/2023",24,"Red",2,"C",1,"",1,2,"R",0,1,"","Hot","Control"
"69",1421,"G1","guichenoti","B_23","CL382_22",97,"20/3/2023","13/4/2023",24,"Red",2,"L",0,"",1,2,"L",0,1,"","Cold","CORT"
